timestamp,open,high,low,close,volume
1578528000000,109.037,109.208,109.031,109.19,4023659996.0327
1578529800000,109.19,109.244,109.178,109.185,3279020008.0872
1578531600000,109.185,109.255,109.18,109.228,2647840006.8283
1578533400000,109.227,109.244,109.189,109.236,3571110008.2397
1578535200000,109.236,109.236,109.193,109.199,2599459991.4551
1578537000000,109.199,109.206,109.18,109.196,1688599985.1227
1578538800000,109.196,109.203,109.149,109.183,2042890034.6756
1578540600000,109.182,109.202,109.178,109.191,2175510025.9781
1578542400000,109.191,109.21,109.183,109.195,1385030009.5081
1578544200000,109.196,109.222,109.196,109.215,852259995.4605
1578546000000,109.214,109.229,109.207,109.22,1483449995.9946
1578547800000,109.219,109.286,109.217,109.273,1227790000.9155
1578549600000,109.274,109.324,109.271,109.277,2779930037.4985
1578551400000,109.277,109.284,109.26,109.282,2135190003.3951
1578553200000,109.283,109.288,109.25,109.272,3235000011.4441
1578555000000,109.274,109.362,109.271,109.356,3683849998.4741
1578556800000,109.356,109.369,109.274,109.319,5158020011.9019
1578558600000,109.318,109.373,109.282,109.337,4280430034.6375
1578560400000,109.337,109.377,109.326,109.365,2993729999.5422
1578562200000,109.366,109.433,109.349,109.432,3335290002.8229
1578564000000,109.432,109.454,109.417,109.42,2808119992.2562
1578565800000,109.418,109.447,109.401,109.441,2214280002.594
1578567600000,109.44,109.446,109.417,109.446,1405469990.7303
1578569400000,109.446,109.488,109.443,109.45,1956679990.7684
1578571200000,109.45,109.457,109.317,109.437,3651590038.2996
1578573000000,109.435,109.435,109.335,109.353,3610580005.6458
1578574800000,109.353,109.418,109.351,109.387,2653080009.4604
1578576600000,109.387,109.462,109.38,109.431,2843740001.6785
1578578400000,109.432,109.517,109.427,109.494,2875229982.3761
1578580200000,109.493,109.516,109.451,109.487,5939580032.3486
1578582000000,109.482,109.568,109.459,109.517,3408440002.4414
1578583800000,109.519,109.581,109.519,109.54,3254120019.9127
1578585600000,109.54,109.559,109.493,109.5,2538910003.6621
1578587400000,109.504,109.521,109.47,109.476,3227459999.0845
1578589200000,109.479,109.487,109.443,109.458,2054280010.2234
1578591000000,109.459,109.516,109.443,109.511,2698179994.5831
1578592800000,109.511,109.511,109.391,109.446,4302459987.6404
1578594600000,109.446,109.461,109.422,109.452,2508889995.575
1578596400000,109.452,109.476,109.451,109.471,1624730002.4033
1578598200000,109.472,109.518,109.469,109.511,2148320009.2316
1578600000000,109.511,109.529,109.492,109.521,1940699977.8748
1578601800000,109.521,109.537,109.497,109.499,1856140007.019
1578603600000,109.5,109.517,109.493,109.511,740970008.8501
1578605400000,109.511,109.524,109.493,109.514,887699995.0409
1578607200000,109.512,109.55,109.464,109.521,1712119998.9319
1578609000000,109.521,109.525,109.454,109.476,3280409995.079
1578610800000,109.477,109.525,109.471,109.52,1322369990.3488
1578612600000,109.519,109.526,109.495,109.496,1059820001.1253
1579564800000,110.177,110.192,110.16,110.19,1781759986.4006
1579566600000,110.19,110.223,110.184,110.211,1554369976.0437
1579568400000,110.211,110.213,109.964,110.061,4965970008.8501
1579570200000,110.061,110.066,109.904,109.947,5325119991.3025
1579572000000,109.948,110.019,109.948,109.986,2746139999.3896
1579573800000,109.986,109.986,109.897,109.973,2250280000.6866
1579575600000,109.973,110.018,109.948,109.996,1930159996.9864
1579577400000,109.996,110.012,109.966,109.971,1318000001.9073
1579579200000,109.97,109.995,109.934,109.936,1743060015.6784
1579581000000,109.936,109.983,109.935,109.967,1170539995.1935
1579582800000,109.969,109.997,109.966,109.976,1207550005.9128
1579584600000,109.977,109.992,109.935,109.936,1248920011.9972
1579586400000,109.936,109.967,109.933,109.944,1211190000.5341
1579588200000,109.945,109.971,109.889,109.905,2134689997.673
1579590000000,109.906,109.976,109.902,109.975,2288140014.6484
1579591800000,109.974,110.022,109.937,109.975,2752169990.5396
1579593600000,109.976,109.988,109.936,109.962,3748889999.3896
1579595400000,109.962,109.985,109.921,109.962,3224140037.5366
1579597200000,109.965,110.001,109.946,109.946,1866920020.1035
1579599000000,109.946,109.973,109.94,109.955,1808829988.4796
1579600800000,109.956,110.001,109.954,109.974,1516749998.0927
1579602600000,109.973,110,109.957,110,1465549987.793
1579604400000,110.001,110.076,110.001,110.045,2415120000.8392
1579606200000,110.046,110.058,110.028,110.054,1986009992.5995
1579608000000,110.054,110.073,110.052,110.06,1414099987.9837
1579609800000,110.059,110.063,110.04,110.041,1047730002.8801
1579611600000,110.04,110.056,109.998,110.047,2514530014.0381
1579613400000,110.047,110.086,110.036,110.062,2361800001.1444
1579615200000,110.062,110.116,110.058,110.1,2664419990.5396
1579617000000,110.099,110.12,109.999,109.999,3641599981.308
1579618800000,109.998,110.042,109.901,109.937,3889930007.9346
1579620600000,109.937,109.953,109.86,109.907,3451610002.5177
1579622400000,109.908,109.973,109.881,109.973,2688670011.5204
1579624200000,109.975,109.975,109.927,109.957,1886470014.5721
1579626000000,109.958,109.974,109.936,109.956,1077379991.5314
1579627800000,109.956,109.957,109.918,109.918,854819988.7276
1579629600000,109.918,109.948,109.806,109.86,2858399992.9428
1579631400000,109.86,109.862,109.766,109.797,3863480024.3378
1579633200000,109.797,109.826,109.771,109.779,3332600017.5476
1579635000000,109.78,109.807,109.761,109.79,1446860002.0409
1579636800000,109.791,109.847,109.787,109.803,1361199997.9019
1579638600000,109.802,109.822,109.802,109.816,1550279994.9646
1579640400000,109.816,109.835,109.789,109.818,764750001.6689
1579642200000,109.819,109.876,109.819,109.86,1574630001.545
1579644000000,109.858,109.872,109.828,109.86,1457940006.2561
1579645800000,109.857,109.867,109.848,109.848,3210099992.7521
1579647600000,109.849,109.883,109.848,109.878,809149997.2343
1579649400000,109.878,109.931,109.87,109.912,1733769987.1063
