timestamp,open,high,low,close,volume
1578441600000,1594.935,1611.325,1592.505,1609.905,3708410.0544
1578443400000,1609.885,1609.885,1597.948,1598.878,2328729.9871
1578445200000,1598.878,1604.288,1596.658,1602.798,2861650.0162
1578447000000,1602.868,1604.685,1590.478,1593.365,3171589.9967
1578448800000,1593.288,1594.448,1585.275,1591.135,2626300.022
1578450600000,1591.145,1591.175,1583.538,1585.408,2589949.9878
1578452400000,1585.405,1593.828,1584.965,1590.135,3108399.9872
1578454200000,1590.125,1593.235,1589.645,1590.658,3030130.0064
1578456000000,1590.668,1591.288,1589.145,1590.845,1739180.0042
1578457800000,1590.855,1593.618,1590.795,1593.105,1471969.9956
1578459600000,1593.075,1593.858,1591.268,1592.895,1907419.9991
1578461400000,1592.895,1595.338,1591.188,1594.428,2511020.0085
1578463200000,1594.335,1594.498,1592.025,1593.135,2171570.0068
1578465000000,1593.155,1595.105,1592.755,1593.085,1408379.9925
1578466800000,1593.085,1593.318,1587.468,1587.895,2912749.989
1578468600000,1587.895,1589.615,1585.815,1588.515,1948510.0061
1578470400000,1588.515,1588.915,1584.285,1585.185,3138219.9973
1578472200000,1585.185,1586.085,1579.925,1580.915,2458619.9932
1578474000000,1580.915,1581.535,1579.185,1581.365,1958430.0118
1578475800000,1581.358,1585.655,1580.825,1583.645,1687510.0099
1578477600000,1583.665,1584.765,1580.965,1582.335,1860959.9993
1578479400000,1582.335,1582.925,1578.905,1580.665,1847570.0095
1578481200000,1580.745,1582.595,1578.525,1579.415,2101109.9927
1578483000000,1579.425,1579.525,1575.405,1577.165,1858680.008
1578484800000,1577.175,1579.315,1577.165,1578.315,2173679.9851
1578486600000,1578.345,1580.015,1573.415,1575.315,2412720.0022
1578488400000,1575.395,1575.395,1568.038,1569.165,2565355.0215
1578490200000,1569.155,1577.498,1568.985,1576.678,3654139.9918
1578492000000,1576.668,1577.865,1574.248,1577.205,2395260.0062
1578493800000,1577.185,1578.258,1570.918,1573.485,3585479.9934
1578495600000,1573.465,1574.628,1571.305,1573.875,1910699.9915
1578497400000,1573.885,1574.358,1570.018,1573.485,3672579.9777
1578499200000,1573.468,1573.468,1563.688,1564.788,4106349.96
