timestamp,open,high,low,close,volume
1578866400000,1.11141,1.11209,1.11141,1.11196,222160001.8144
1578868200000,1.11195,1.11196,1.11128,1.11166,420387996.912
1578870000000,1.11166,1.11182,1.11146,1.1116,787339998.2452
1578871800000,1.1116,1.11167,1.11151,1.11161,459190000.7129
1578873600000,1.11161,1.11187,1.1116,1.11163,835819999.6948
1578875400000,1.11163,1.11187,1.11159,1.11187,667740002.6321
1578877200000,1.11186,1.112,1.11172,1.11197,1169920003.891
1578879000000,1.11197,1.11214,1.11188,1.11213,928019992.3515
1578880800000,1.11213,1.11215,1.112,1.11207,1168939989.09
1578882600000,1.11208,1.11261,1.11205,1.11258,986389997.0055
1578884400000,1.11257,1.11285,1.11252,1.11264,1656360000.6104
1578886200000,1.11264,1.11299,1.11263,1.11293,1086130004.0483
1578888000000,1.11292,1.11306,1.11274,1.11292,870749981.9994
1578889800000,1.11293,1.11303,1.11272,1.11272,501670001.9836
1578891600000,1.11272,1.113,1.11271,1.11289,855470005.9891
1578893400000,1.11287,1.11318,1.11286,1.11297,882130005.8365
1578895200000,1.11296,1.11298,1.1125,1.11292,1320399997.7112
1578897000000,1.11293,1.11302,1.11277,1.11287,906829996.5858
1578898800000,1.11287,1.11301,1.11246,1.11273,2534109996.7957
1578900600000,1.11272,1.113,1.1122,1.11227,3377000000
1578902400000,1.11227,1.11286,1.112,1.11231,11657360181.8085
1578904200000,1.11232,1.11296,1.11214,1.1128,4356350021.3623
1578906000000,1.1128,1.11361,1.11195,1.11216,6177949993.1335
1578907800000,1.11216,1.11216,1.11147,1.11151,4212060035.7056
1578909600000,1.11151,1.11195,1.11125,1.11174,3354149986.2671
1578911400000,1.11174,1.11188,1.11145,1.11167,3599220005.0354
1578913200000,1.11167,1.11222,1.11164,1.11195,3125899963.3789
1578915000000,1.11199,1.1124,1.11175,1.11204,3206419996.2616
1578916800000,1.11204,1.11258,1.11184,1.11254,3519920001.9836
1578918600000,1.11252,1.11262,1.11192,1.11246,3356819990.1581
1578920400000,1.11245,1.11284,1.11242,1.11246,3579370018.0054
1578922200000,1.11245,1.11249,1.11182,1.11186,4250069976.8066
1578924000000,1.11187,1.11227,1.11175,1.11204,4895899997.7112
1578925800000,1.11205,1.11267,1.112,1.1124,6612809982.2998
1578927600000,1.11239,1.11298,1.1121,1.11295,5189419998.1689
1578929400000,1.11295,1.11382,1.11293,1.11331,5035999984.7412
1578931200000,1.1133,1.11442,1.11325,1.11434,4369239990.2344
1578933000000,1.11434,1.11469,1.1137,1.11372,3669790018.0817
1578934800000,1.11372,1.11404,1.11366,1.11399,2174939995.7657
1578936600000,1.11398,1.11418,1.11355,1.11397,1854749990.4633
1578938400000,1.11397,1.11448,1.11384,1.11431,1940319997.7875
1578940200000,1.11431,1.11431,1.11394,1.11396,1537019988.06
1578942000000,1.11395,1.11414,1.11382,1.11391,2504390025.1389
1578943800000,1.11392,1.11407,1.11376,1.11382,1234590004.921
1578945600000,1.11381,1.11386,1.11367,1.11376,1458360000.6104
1578947400000,1.11376,1.11382,1.11361,1.11375,1031280000.6866
1578949200000,1.11376,1.11379,1.11341,1.11361,813822504.5204
1578951000000,1.11362,1.11363,1.11331,1.11338,650149999.1417
1578952800000,1.11338,1.1139,1.1132,1.11376,854709996.4619
1578954600000,1.11374,1.11388,1.11352,1.11353,283649997.4132
1578956400000,1.11355,1.11364,1.11352,1.1136,565440000.0572
1578958200000,1.11359,1.11365,1.11333,1.11344,640940001.0109
1579046400000,1.11276,1.11302,1.1127,1.113,951649994.6117
1579048200000,1.113,1.11307,1.11286,1.11295,1129259997.8447
1579050000000,1.11294,1.11311,1.11274,1.11274,1314530001.6403
1579051800000,1.11275,1.11301,1.11272,1.11296,1448760001.1826
1579053600000,1.11295,1.11311,1.11294,1.11295,1431859997.7493
1579055400000,1.11295,1.11297,1.1127,1.11291,1034960000.0381
1579057200000,1.11292,1.11301,1.1128,1.11297,840339999.1989
1579059000000,1.11297,1.11311,1.11289,1.11302,803420000.5531
1579060800000,1.11303,1.11316,1.11297,1.11316,883930008.8882
1579062600000,1.11316,1.11337,1.11315,1.11331,1142190001.9646
1579064400000,1.1133,1.11332,1.11316,1.11326,1016300002.0981
1579066200000,1.11325,1.11346,1.11319,1.11339,766130009.6512
1579068000000,1.11339,1.11364,1.11329,1.11348,1432319992.5423
1579069800000,1.11347,1.11356,1.11322,1.11355,1548899991.9891
1579071600000,1.11355,1.11368,1.11335,1.11349,2161100002.2888
1579073400000,1.11348,1.11355,1.11271,1.11284,6702090105.0568
1579075200000,1.11283,1.11287,1.11185,1.11231,4891200016.0217
1579077000000,1.11231,1.11308,1.1122,1.11301,4147979980.4688
1579078800000,1.113,1.11321,1.11257,1.1132,4012319988.2507
1579080600000,1.11318,1.11334,1.11275,1.11282,4875279975.8911
1579082400000,1.11282,1.11306,1.11249,1.11306,2931209991.4551
1579084200000,1.11305,1.11393,1.11293,1.11387,3326990018.8446
1579086000000,1.11387,1.11549,1.1138,1.115,6127939994.812
1579087800000,1.115,1.11514,1.11456,1.1148,3914730010.9863
1579089600000,1.11478,1.11525,1.1147,1.11475,3128970020.2942
1579091400000,1.11474,1.11481,1.11396,1.1141,3633100017.5476
1579093200000,1.11416,1.11459,1.114,1.11447,4741300033.5693
1579095000000,1.11447,1.11494,1.1143,1.1149,22034750305.1758
1579096800000,1.11489,1.11607,1.11486,1.11602,5541739997.8638
1579098600000,1.11602,1.11634,1.11512,1.11522,6751929962.1582
1579100400000,1.11523,1.11548,1.11431,1.11536,6462649986.2671
1579102200000,1.11537,1.11537,1.1145,1.11521,6311569992.0654
1579104000000,1.11522,1.11594,1.11496,1.11554,5099369979.8584
1579105800000,1.11555,1.11599,1.11543,1.11595,3199230018.6157
1579107600000,1.11596,1.1161,1.11562,1.11605,3227150009.1553
1579109400000,1.11605,1.11614,1.11566,1.11576,2587589994.4305
1579111200000,1.11575,1.11596,1.11545,1.11546,2076790011.4059
1579113000000,1.11545,1.11553,1.11497,1.11516,2217670000.0763
1579114800000,1.11515,1.11528,1.11494,1.11527,3877489952.0874
1579116600000,1.11527,1.1154,1.11494,1.11504,1924939983.3679
1579118400000,1.11504,1.11511,1.11482,1.11482,1701790006.6376
1579120200000,1.11482,1.11529,1.11482,1.11523,1768639989.8529
1579122000000,1.11523,1.11523,1.11486,1.11487,838165005.1475
1579123800000,1.11486,1.11506,1.11481,1.11495,687169997.8113
1579125600000,1.11492,1.11539,1.1149,1.11523,450249998.9271
1579127400000,1.11522,1.11534,1.11504,1.11514,1265189989.9244
1579129200000,1.11515,1.1153,1.115,1.11505,620469996.3927
1579131000000,1.11507,1.11526,1.11505,1.11524,750090003.3712
1579132800000,1.11524,1.1158,1.11523,1.11574,1625209987.6404
1579134600000,1.11573,1.11577,1.11539,1.11548,968969995.2602
1579136400000,1.11548,1.11552,1.11536,1.11544,1395420005.7983
1579138200000,1.11544,1.11546,1.1153,1.11535,1274499984.2644
1579140000000,1.11534,1.11537,1.11517,1.11518,920389999.3896
1579141800000,1.11519,1.11522,1.11507,1.11516,2098340054.512
1579143600000,1.11516,1.11549,1.11513,1.11544,821190004.8256
1579145400000,1.11545,1.1155,1.11526,1.11527,894109999.1798
1579147200000,1.11527,1.11534,1.11525,1.11526,720939999.5804
1579149000000,1.11526,1.11534,1.11507,1.1151,951850008.0109
1579150800000,1.11511,1.11524,1.11509,1.11509,787320007.3242
1579152600000,1.11509,1.11513,1.11496,1.11498,1202819997.7875
1579154400000,1.11498,1.11498,1.11455,1.11461,1377780004.5013
1579156200000,1.11459,1.11504,1.11445,1.11503,1784440011.0245
1579158000000,1.11503,1.11529,1.11458,1.1148,3182019989.0137
1579159800000,1.11478,1.11507,1.11451,1.11476,3159519992.8284
1579161600000,1.11478,1.11566,1.11458,1.11547,3977579990.387
1579163400000,1.11546,1.11637,1.11546,1.11562,5494259967.804
1579165200000,1.11564,1.11593,1.11537,1.11537,3588310039.5203
1579167000000,1.11537,1.11567,1.11502,1.11534,3877159961.7004
1579168800000,1.11533,1.11632,1.11526,1.11621,3134749996.1853
1579170600000,1.11621,1.11624,1.11561,1.11573,2771369987.4878
1579172400000,1.11573,1.11606,1.11566,1.11597,2597139991.7603
1579174200000,1.11598,1.11604,1.11557,1.11589,2411249984.7412
1579176000000,1.11589,1.11622,1.11567,1.11619,2932759979.248
1579177800000,1.1162,1.11727,1.11605,1.11647,5493499954.2236
1579179600000,1.11647,1.11697,1.11624,1.11651,5572320014.9536
1579181400000,1.11649,1.11656,1.11501,1.11514,7665690032.959
1579183200000,1.11513,1.11602,1.11473,1.11563,5942800018.3105
1579185000000,1.11566,1.11566,1.11411,1.11414,8196320007.3242
1579186800000,1.11414,1.11468,1.1131,1.11377,7742320007.3242
1579188600000,1.11377,1.11427,1.11311,1.11407,8370310012.8174
1579190400000,1.11407,1.11423,1.11311,1.11323,6259169982.9102
1579192200000,1.11325,1.11355,1.11279,1.11302,4204920017.2424
1579194000000,1.11303,1.11344,1.11291,1.11342,2785740020.752
1579195800000,1.11343,1.1136,1.11325,1.11346,2389999986.6486
1579197600000,1.11347,1.11361,1.11323,1.11345,2222220015.5258
1579199400000,1.11346,1.11352,1.11317,1.11346,1693239989.2807
1579201200000,1.11346,1.11352,1.11334,1.11334,1247689997.673
1579203000000,1.11333,1.11355,1.11326,1.11348,1772699981.6895
1579204800000,1.11348,1.11366,1.11345,1.11358,1468519996.6431
1579206600000,1.11357,1.11381,1.11351,1.11379,1207355010.5095
1579208400000,1.11378,1.11381,1.11365,1.11372,673899995.8634
1579210200000,1.11372,1.11372,1.11343,1.11358,813200006.485
1579212000000,1.11358,1.11378,1.11343,1.11357,1386799985.4088
1579213800000,1.11358,1.11374,1.11344,1.11372,477379993.0811
1579215600000,1.11371,1.11372,1.11355,1.11366,570300004.9591
1579217400000,1.11366,1.11376,1.11362,1.11368,679270001.8883
1579564800000,1.10963,1.10968,1.10931,1.1094,879790001.1539
1579566600000,1.1094,1.1094,1.10908,1.10923,934210003.9721
1579568400000,1.10922,1.1093,1.10887,1.10905,2322939983.3679
1579570200000,1.10905,1.10917,1.10895,1.10905,2160849980.8311
1579572000000,1.10906,1.10964,1.10906,1.10946,1396030009.2697
1579573800000,1.10945,1.10959,1.10921,1.10957,1435779999.733
1579575600000,1.10958,1.10981,1.10953,1.10956,1670690007.2098
1579577400000,1.10957,1.10986,1.10941,1.10973,1318990002.1553
1579579200000,1.10973,1.10974,1.10946,1.10961,750620005.6076
1579581000000,1.10963,1.10993,1.10961,1.10992,925520010.9482
1579582800000,1.10992,1.10993,1.10971,1.10972,927310000.4196
1579584600000,1.10973,1.10973,1.1095,1.10952,983680002.6894
1579586400000,1.10952,1.10973,1.10937,1.10958,1259000001.4305
1579588200000,1.10958,1.10973,1.10941,1.10942,2025949995.0409
1579590000000,1.10941,1.10967,1.10927,1.10959,2856719982.1472
1579591800000,1.10962,1.10967,1.10915,1.10921,3626309986.1145
1579593600000,1.10922,1.10962,1.10864,1.10896,5387560005.188
1579595400000,1.10896,1.10948,1.10864,1.10904,4469670028.6865
1579597200000,1.10904,1.10918,1.10855,1.10866,3661610012.0544
1579599000000,1.10867,1.10935,1.1086,1.10905,4658040031.4331
1579600800000,1.10907,1.11072,1.109,1.11055,5252490009.3079
1579602600000,1.11054,1.11099,1.11023,1.11038,4053300033.5693
1579604400000,1.11037,1.11089,1.11018,1.11082,4156490047.4548
1579606200000,1.11082,1.11101,1.11049,1.11055,3908520027.1606
1579608000000,1.11054,1.11068,1.10997,1.11002,3339350008.0109
1579609800000,1.11002,1.11091,1.11002,1.11079,3409999971.3898
1579611600000,1.11084,1.11179,1.11076,1.11166,7000640007.019
1579613400000,1.11166,1.11174,1.11125,1.11136,4340310009.0027
1579615200000,1.11136,1.11137,1.11082,1.11127,4008610023.4985
1579617000000,1.11129,1.11137,1.11015,1.1103,7926510063.1714
1579618800000,1.11029,1.11037,1.10974,1.10992,5227729991.9128
1579620600000,1.10992,1.10994,1.10889,1.10977,5801109985.3516
1579622400000,1.10976,1.10998,1.10928,1.10958,4992290000.9155
1579624200000,1.10957,1.10972,1.1092,1.10957,3111050004.0054
1579626000000,1.10956,1.10964,1.10914,1.10915,1817410005.5695
1579627800000,1.10915,1.10926,1.10903,1.10917,1449149991.9891
1579629600000,1.10916,1.1095,1.10895,1.10928,2249550001.1444
1579631400000,1.10927,1.10948,1.10912,1.10924,2189440031.0516
1579633200000,1.10924,1.1094,1.10915,1.10933,1955770008.0872
1579635000000,1.10934,1.10952,1.1092,1.10948,1749040000.9155
1579636800000,1.10949,1.10952,1.10906,1.10909,1847569996.8338
1579638600000,1.10909,1.10913,1.10872,1.10872,1857110007.2861
1579640400000,1.10873,1.10881,1.10841,1.10851,1367524999.6185
1579642200000,1.10849,1.1085,1.10809,1.10819,2813799937.7251
1579644000000,1.10816,1.10846,1.10815,1.10826,563174995.8992
1579645800000,1.10828,1.10839,1.10816,1.10827,1563980003.3569
