asset,group,driver,lookback,horizon,tradeable,n,ic,nw_t,p_null,hit,ic_h1,ic_h2,stable,qspread_bp
SPX,index_us,y2,1,0,0,5030,0.20160232886811688,9.35417668453749,0.0,0.3349900596421471,0.32861941225971264,0.07375706066544618,1,
SPX,index_us,y2,1,1,1,5028,-0.012899365502554716,0.31214386311848163,,0.4017501988862371,-0.022339852657777978,-0.003933198390450252,0,3.944829350278515
SPX,index_us,y2,1,5,1,5024,-0.016298881938797114,0.2391704776501218,,0.3994824840764331,-0.006713299185164268,-0.025903491155341345,0,4.339552943338643
SPX,index_us,y2,1,21,1,5008,-0.01860966204615156,-0.05281149069715735,,0.39676517571884984,-0.008483687666745962,-0.030561831753519886,0,7.209205228145737
SPX,index_us,y2,5,0,0,5026,0.18633471456615178,5.334975316087459,0.0,0.3889773179466773,0.3324435340923999,0.03857964414501544,1,
SPX,index_us,y2,5,1,1,5024,-0.02001452027181396,0.24866696806094246,,0.4655652866242038,-0.0049099756767375735,-0.03661077576079179,0,2.0152661742113005
SPX,index_us,y2,5,5,1,5020,-0.02670128998687726,0.4319624760516335,0.2495,0.4641434262948207,-0.013815224009660624,-0.042604040112556536,0,5.970238231148767
SPX,index_us,y2,5,21,1,5004,-0.06584277201893032,-0.8337691416946518,0.041,0.48381294964028776,-0.06768241351429004,-0.07220341591446501,1,59.05205245908049
SPX,index_us,y2,21,0,0,5010,0.1645630932165958,2.9172894781754635,0.0,0.4275449101796407,0.3263673106511037,6.822289120420821e-05,0,
SPX,index_us,y2,21,1,1,5008,-0.03130485908156758,-0.05213564678224473,0.0255,0.4874201277955272,-0.02195055458241108,-0.044118628233682004,1,-0.3922949236504614
SPX,index_us,y2,21,5,1,5004,-0.08007044212253273,-0.7158939666531136,0.0035,0.5001998401278976,-0.0892080352196786,-0.07580323755541578,1,25.922948021869004
SPX,index_us,y2,21,21,1,4988,-0.09915638522096946,-0.7135141577078965,0.057,0.5058139534883721,-0.11288312805315637,-0.09726087075285159,1,36.09925062141779
SPX,index_us,y10,1,0,0,5030,0.24978091312093154,10.842199418799611,0.0,0.3727634194831014,0.41340999009755536,0.06671665379416263,1,
SPX,index_us,y10,1,1,1,5028,-0.002266756160671982,0.8157217296643203,,0.45803500397772473,-0.011680693278558725,0.00819631974708815,0,-4.402897952620663
SPX,index_us,y10,1,5,1,5024,-0.02054774310614077,-0.49043296118833135,,0.45720541401273884,-0.008674007900515026,-0.03467568821578235,0,9.73878289693225
SPX,index_us,y10,1,21,1,5008,-0.012574291122518469,-0.6572698342003772,,0.4544728434504792,-0.010940838407665252,-0.016549524131816984,0,13.125828869535528
SPX,index_us,y10,5,0,0,5026,0.2231084249788294,6.196899385879094,0.0,0.40151213688818144,0.43128756504830246,-0.009010147720408021,0,
SPX,index_us,y10,5,1,1,5024,-0.02055557572753042,-0.4389618635840894,,0.48128980891719747,-0.002695818668100956,-0.04292522554332183,0,4.771756679483868
SPX,index_us,y10,5,5,1,5020,-0.04194325701974967,-1.0371341204955649,0.0745,0.47689243027888445,-0.02342695012692259,-0.06876540299776511,1,26.19333869086845
SPX,index_us,y10,5,21,1,5004,-0.05055131851059957,-1.3430778538023664,0.093,0.49300559552358114,-0.07060435077335775,-0.03614521073781327,1,64.18771546946495
SPX,index_us,y10,21,0,0,5010,0.17765351413911384,2.676598933594199,0.0,0.4293413173652695,0.3946534032905806,-0.056897472600574955,0,
SPX,index_us,y10,21,1,1,5008,-0.022844559410844224,-0.5634782784559612,,0.49900159744408945,-0.028635435474141765,-0.02084665039958164,1,4.536291593105508
SPX,index_us,y10,21,5,1,5004,-0.06527571535643627,-1.3393157499627655,0.021,0.5063948840927258,-0.09162261560526967,-0.043444247814099675,1,36.18149723661659
SPX,index_us,y10,21,21,1,4988,-0.07784713146437372,-0.9200745142309888,0.12,0.5172413793103449,-0.15547951197146284,-0.005391548048427439,0,58.54506765405391
SPX,index_us,y30,1,0,0,5030,0.24435542537577748,11.57221950644175,0.0,0.3769383697813121,0.3974749533791332,0.07174113413243313,1,
