asset,group,driver,lookback,horizon,tradeable,base_rate,hit_raw,chance_agree,p_up_yields_fell,p_up_yields_rose,spread,p_null,spread_h1,spread_h2,n,stable
SPX,index_us,y2,1,0,0,0.5463220675944334,0.3349900596421471,0.49009094538138964,0.45472938796155793,0.617332035053554,-0.16260264709199612,0.0,-0.25235438718584785,-0.07590831109416696,5030,1
SPX,index_us,y2,1,1,1,0.5463404932378679,0.4017501988862371,0.49010149368785394,0.5569044006069803,0.5520934761441091,0.0048109244628712355,0.7545,0.0033738508682329416,0.0061088762466973145,5028,0
SPX,index_us,y2,1,5,1,0.5943471337579618,0.3994824840764331,0.47990616378960604,0.5953464845725848,0.5960038986354775,-0.0006574140628927694,0.9725,-0.007139040881372183,0.007991454456135583,5024,0
SPX,index_us,y2,1,21,1,0.6619408945686901,0.39676517571884984,0.4652059899049699,0.6541200406917599,0.6575476306790425,-0.003427589987282653,0.828,0.001813998122026983,-0.005381602348824122,5008,0
SPX,index_us,y2,5,0,0,0.5945085555113411,0.3889773179466773,0.4908988975591944,0.5160722148833113,0.6684989429175475,-0.15242672803423618,0.0,-0.24119045522585186,-0.05765064342850068,5026,1
SPX,index_us,y2,5,1,1,0.5461783439490446,0.4655652866242038,0.495569673211895,0.5473359753412593,0.5366060093101989,0.010729966031060467,0.4465,-0.007497741644083122,0.02929033817311877,5024,0
SPX,index_us,y2,5,5,1,0.5942231075697211,0.4641434262948207,0.49087800193647724,0.599911777679753,0.5886584849767245,0.01125329270302855,0.614,0.0032929343164072034,0.024268719448544807,5020,0
SPX,index_us,y2,5,21,1,0.6616706634692247,0.48381294964028776,0.4842981729724134,0.6861443116423196,0.6304624522698346,0.05568185937248504,0.0325,0.05585167074164632,0.06190218497345101,5004,1
SPX,index_us,y2,21,0,0,0.6620758483033932,0.4275449101796407,0.48887143875920813,0.6078011144449207,0.7031570315703157,-0.09535591712539504,0.029,-0.1949396818618555,0.012304778573620001,5010,0
SPX,index_us,y2,21,1,1,0.5461261980830671,0.4874201277955272,0.4968131660270086,0.5585585585585585,0.5325953259532595,0.02596323260529898,0.091,0.0043395674632967784,0.049179891553767785,5008,0
