side,oi_tercile,n_events,pct_break
call,weak,138,42.7536231884058
call,mid,138,64.4927536231884
call,strong,138,40.57971014492754
put,weak,140,62.142857142857146
put,mid,139,46.043165467625904
put,strong,139,51.798561151079134
