pre_vol_tercile,below_p75,p75_p90,above_p90
low_vol,72.44444444444444,77.77777777777779,42.857142857142854
mid_vol,63.23529411764706,82.97872340425532,60.0
high_vol,56.930693069306926,64.1025641025641,62.5
