date,side,level,touch_ts,touch_close,fwd_ret_15m,outcome_15m,fwd_ret_60m,outcome_60m,fwd_ret_240m,outcome_240m,outcome_1440m,fwd_ret_1440m
2020-10-12,call,12200.0,2020-10-12 18:23:00,12198.0,-0.0008198065256599385,reject,-0.0073782587309394465,reject,-0.006607640596819175,reject,,
2020-10-12,call,12200.0,2020-10-12 18:46:00,12194.2,-0.0019025438323138077,reject,-0.007675780288989853,reject,,,,
2020-10-12,call,12200.0,2020-10-12 18:50:00,12193.4,-0.0035757048895304067,reject,-0.009546147916085768,reject,,,,
2020-10-13,call,12200.0,2020-10-13 09:07:00,12194.8,-4.920129891416991e-05,reject,0.0010660281431429386,break,-0.0035424935218288933,reject,,
2020-10-13,call,12200.0,2020-10-13 09:11:00,12196.4,0.00031156734774206996,break,0.002787707848217469,break,-0.004903086156570757,reject,,
2020-10-13,call,12200.0,2020-10-13 09:14:00,12201.0,0.00036062617818211073,break,0.00211458077206772,break,-0.0038029669699204405,reject,,
2020-10-13,call,12200.0,2020-10-13 09:24:00,12196.2,0.0008199275184073151,break,0.004230825994981924,break,-0.002115412997491073,reject,,
2020-10-13,call,12200.0,2020-10-13 10:51:00,12199.2,0.0005983998950749303,break,0.0011476162371302223,break,-0.00698406452882161,reject,,
2020-10-13,call,12200.0,2020-10-13 11:03:00,12188.2,0.003806960830967654,break,0.0018214338458508728,break,-0.005070478003314727,reject,,
2020-10-13,call,12200.0,2020-10-13 11:06:00,12206.5,0.001761356654241597,break,0.00015565477409573703,break,-0.006578462294678955,reject,,
2020-11-09,call,12300.0,2020-11-09 00:58:00,12308.2,0.0027217627272875244,break,0.0016005589769421125,break,0.007929672900992779,break,,
2020-11-09,call,12300.0,2020-11-09 09:31:00,12300.8,6.503642039557e-05,break,0.00013820239334028095,break,-0.01058467741935476,reject,,
2020-11-09,call,12300.0,2020-11-09 09:37:00,12298.5,0.00021140789527174242,break,0.0005122575923892647,break,-0.006634955482375915,reject,,
2020-11-09,call,12300.0,2020-11-09 09:42:00,12297.6,-0.0005610850897735942,reject,0.00043911007025765336,break,-0.0015450169138693237,reject,,
2020-11-09,call,12300.0,2020-11-09 09:49:00,12299.4,-0.0003008276826510503,reject,0.0012358326422428068,break,-0.004431110460672905,reject,,
2020-11-09,call,12300.0,2020-11-09 10:06:00,12297.8,0.00030899835742981274,break,0.0010408365723950652,break,-0.01066044333132743,reject,,
2020-11-09,call,12300.0,2020-11-09 10:29:00,12300.2,0.0018536283962862221,break,-6.503959285220073e-05,reject,-0.008097429310092497,reject,,
2020-11-09,call,12300.0,2020-11-09 11:56:00,12327.4,-0.01117835066599604,reject,-0.01954994564952872,reject,-0.014358258838035542,reject,,
2021-02-10,call,13750.0,2021-02-10 03:00:00,13747.8,0.0004946245944805749,break,5.819112876248589e-05,reject,1.4547782190676983e-05,reject,,
2021-02-10,call,13750.0,2021-02-10 04:19:00,13747.8,-0.00013093003971542672,reject,0.0001454778219061037,reject,0.0010037969711518269,break,,
