pre_vol_tercile,asia,london,ny
low_vol,81.81818181818183,68.86792452830188,66.30434782608695
mid_vol,58.333333333333336,73.37662337662337,57.391304347826086
high_vol,33.33333333333333,57.14285714285714,59.79381443298969
