surface,side,def_pair,agreement_rate,median_abs_dist_when_diff_pct
near,call,a_vs_b,0.4635278514588859,0.8527985033537473
near,call,a_vs_c,0.30238726790450926,1.853885983473013
near,call,a_vs_d,0.09880636604774536,1.4993347592754105
near,call,a_vs_e,0.27718832891246686,1.6606399711308122
near,put,a_vs_b,0.6220159151193634,0.0
near,put,a_vs_c,0.3282493368700265,1.9400555162943594
near,put,a_vs_d,0.1273209549071618,1.401856057420015
near,put,a_vs_e,0.4204244031830239,0.8672011553115755
all,call,a_vs_b,0.5298408488063661,0.0
all,call,a_vs_c,0.34615384615384615,1.6701116697182625
all,call,a_vs_d,0.126657824933687,1.6912556483148316
all,call,a_vs_e,0.5099469496021221,0.0
all,put,a_vs_b,0.5172413793103449,0.0
all,put,a_vs_c,0.31432360742705573,1.8832929142783963
all,put,a_vs_d,0.1319628647214854,1.82795314611988
all,put,a_vs_e,0.29973474801061006,1.6885617524870264
