wall_type,outcome,n_events,mean_fwd_ret_1d_pct,pct_continuation_1d,mean_fwd_ret_3d_pct,pct_continuation_3d,mean_fwd_ret_5d_pct,pct_continuation_5d
call,break,35,0.07857440813744145,45.714285714285715,0.005692468743910352,45.714285714285715,0.2058826455800603,51.42857142857142
call,reject,60,-0.022414964004379517,48.333333333333336,0.0020648509791054703,55.00000000000001,0.03178574008589563,50.0
put,break,39,0.008102448244417228,38.46153846153847,0.13015664086601902,38.46153846153847,0.15837010491745362,35.8974358974359
put,reject,80,-0.003402894213141578,52.5,0.054539118941382414,43.75,0.0022460766460352666,53.75
