segment,n_trades,win_rate_pct,mean_r,median_r,sum_r,std_r,sharpe_like,worst_r,best_r
ALL,1114,42.72890484739677,-0.04267754194201377,-0.15307557206201755,-47.542781723403344,1.035118288562085,-0.04122962796966757,-2.92355998267647,6.962750716332448
mode=break,831,45.96871239470517,-0.017539479666512946,-0.08523799538688993,-14.575307602872257,0.8438905077988164,-0.020784070331899458,-2.92355998267647,4.30571428571453
mode=fade,251,29.482071713147413,-0.12503498796260448,-1.0195094760312156,-31.383781978613722,1.5339201263336881,-0.08151336292943616,-1.0466666666666717,6.962750716332448
mode=maxpain,32,62.5,-0.04949037943491752,0.03158954496167386,-1.5836921419173606,0.5957824539999269,-0.08306786999625805,-1.0214723926380365,0.9832535885167467
IS (first 60%),668,42.51497005988024,0.013320104763244252,-0.1855066082661615,8.89782998184716,1.122726218335005,0.011864072064690777,-1.0466666666666649,6.962750716332448
validation (20%),223,43.946188340807176,-0.2217236660966726,-0.12487462387163725,-49.44437753955799,0.8219271489435673,-0.26976072804220746,-2.92355998267647,4.30571428571453
OOS (last 20%),223,42.152466367713004,-0.03137324737978704,-0.10723951285520106,-6.996234165692511,0.9312777381593227,-0.03368838971905041,-1.0646783422923423,5.44332723948852
