side,oi_tercile,n_events,pct_break
call,weak,104,48.07692307692308
call,mid,103,38.83495145631068
call,strong,104,47.11538461538461
put,weak,68,48.529411764705884
put,mid,68,26.47058823529412
put,strong,68,57.35294117647059
