date,side,level,touch_ts,touch_close,fwd_ret_15m,outcome_15m,fwd_ret_60m,outcome_60m,fwd_ret_240m,outcome_240m,outcome_1440m,fwd_ret_1440m
2020-09-10,call,1.19,2020-09-10 12:53:00,1.18946,-0.0002522152909723019,reject,0.0014460343349083082,break,-0.0033964992517613313,reject,,
2020-09-10,call,1.19,2020-09-10 13:10:00,1.18997,0.0001428607443885177,break,0.0007647251611384576,break,-0.003201761388942459,reject,,
2020-09-10,call,1.19,2020-09-10 13:23:00,1.18992,-0.00042860024203306146,reject,0.00047061987360486057,break,-0.00305902917843226,reject,,
2020-09-10,call,1.19,2020-09-10 13:32:00,1.19016,0.0003696981918397402,break,0.00018484909591975907,break,-0.0035541439806413555,reject,,
2020-09-10,call,1.19,2020-09-10 13:43:00,1.19002,3.3612880455669014e-05,break,-0.00034453202467188415,reject,-0.003327675165123445,reject,,
2020-09-10,call,1.19,2020-09-10 14:17:00,1.19008,0.00025208389351982774,break,-0.0020082683517075317,reject,-0.004470287711750509,reject,,
2020-09-10,call,1.19,2020-09-10 14:30:00,1.18981,-0.0004118304603256684,reject,-0.0017817970936536698,reject,-0.006227885124515775,reject,,
2020-09-10,call,1.19,2020-09-10 14:45:00,1.18932,-0.002110449668718317,reject,-0.0006978777788987367,reject,-0.0053980425789526,reject,,
2020-10-06,call,1.18,2020-10-06 03:33:00,1.17974,-0.0005594453015071998,reject,-0.0003136284266024303,reject,-0.0008645972841473393,reject,,
2020-10-06,call,1.18,2020-10-06 07:07:00,1.1798,-0.0008815053398880668,reject,-0.002220715375487403,reject,-0.0013731140871333647,reject,,
2020-10-06,call,1.18,2020-10-06 11:39:00,1.17974,-0.00030515198264013943,reject,3.390577584894139e-05,reject,-0.0008052621764117474,reject,,
2020-10-06,call,1.18,2020-10-06 12:22:00,1.18045,-0.0005167520860688279,reject,-0.0003812105552967182,reject,-0.0021856071837011992,reject,,
2020-10-06,call,1.18,2020-10-06 13:08:00,1.17972,-5.0859525989377374e-05,reject,-0.0007544163021734329,reject,-0.0016190282439901837,reject,,
2020-10-09,call,1.18,2020-10-09 08:51:00,1.17975,0.0002119093028183361,reject,-0.0001780038143675,reject,0.0008561135833862199,break,,
2020-10-09,call,1.18,2020-10-09 09:30:00,1.17986,-0.00035597443764501246,reject,9.323140033568045e-05,reject,0.0014069465868831177,break,,
2020-10-09,call,1.18,2020-10-09 10:09:00,1.17988,0.00015255788724277686,break,0.0003305420890258315,break,0.0010848560870595492,break,,
2020-10-09,call,1.18,2020-10-09 12:19:00,1.17978,0.00018647544457439658,reject,0.0011866619200189277,break,0.0020597060468900974,break,,
2020-10-12,call,1.18,2020-10-12 12:05:00,1.17966,0.000330603733279089,break,0.000771408710984467,break,0.0005425292033296447,break,,
2020-10-13,call,1.18,2020-10-13 00:39:00,1.1797,0.00010172077646863897,reject,0.0006696617784183179,break,-5.0860388234208465e-05,reject,,
2020-10-13,call,1.18,2020-10-13 00:48:00,1.17979,0.0002458064570813878,break,-4.238042363458039e-05,reject,-0.00011018910145021987,reject,,
2020-10-13,call,1.18,2020-10-13 04:54:00,1.17983,4.237898680337082e-05,reject,-0.00014408855513081686,reject,-0.0004661688548348586,reject,,
2020-10-13,call,1.18,2020-10-13 06:32:00,1.17982,-0.0005170280212235534,reject,-0.0010594836500484872,reject,-0.0007458764896339787,reject,,
2020-10-13,call,1.18,2020-10-13 08:40:00,1.17978,-0.00043228398514982835,reject,-0.000322093949719493,reject,3.390462628627411e-05,reject,,
2020-10-13,call,1.18,2020-10-13 12:39:00,1.1798,-0.0004322766570605818,reject,-0.0038481098491269794,reject,-0.005441600271232305,reject,,
2020-10-20,call,1.18,2020-10-20 09:30:00,1.18003,0.00031355135038935167,break,0.0012796284840217442,break,0.0012965772056643399,break,,
2020-10-23,call,1.18,2020-10-23 00:23:00,1.1798,-0.0006272249533818552,reject,0.0002712324122733367,break,4.2380064417812946e-05,reject,,
2020-10-23,call,1.18,2020-10-23 00:54:00,1.1798,0.0,reject,0.00015256823190368252,reject,0.0003051364638075871,break,,
