pre_T5_T1_mean_absret,expiry_day_absret,post_T1_absret
0.0030392520659664767,0.005195961730922136,0.00023699891768574427
0.00455441590535831,0.004786697586934786,0.005759621941395989
0.004908329175973189,0.0019285455353040056,0.0008832136341399918
0.0039205238757860405,0.003919972353182417,0.002168556788713925
0.003035218257334094,0.006688096758183862,0.00031533961507742236
0.004643300596825576,0.004547689399518459,0.006333846578249731
0.00283580726042645,0.0013184803277216004,0.0013272962910971671
0.004070734845456755,0.00808143573204569,0.002484432450116733
0.0017075242587578192,0.003029207808438522,0.0019788572607519557
0.0025832372015425903,0.0025712914877086515,0.0008173480461601186
0.0012137976286780007,0.00607760327019824,0.0009879067401997827
0.0020230573504710506,0.00044626130602645633,0.0025467837447287773
0.0016225697355272764,0.001296803992610386,0.001046771756617985
0.004830314042972997,0.0010984497396134213,0.0016928661842114143
0.002886455904754568,0.0004421492060287149,0.0018063012933318935
0.003249003402325587,0.005879098525725716,0.0020807992130989377
0.005112109704376899,0.0013806725543227753,0.0011705204910913663
0.004708667893713753,0.011670949976837956,0.0006991591975849128
0.0037366513521873215,0.0010763223934379964,0.0006892970821556955
0.004917207862123811,0.0005880846631968463,0.0029579649546676886
0.004992734830207148,0.002887779256733598,0.003315420662806648
0.006748219731783035,0.00165078154810947,0.012021932423792575
0.005577631843279576,0.006461488646365434,0.0025331134496299566
0.005155992178265657,0.0036596290476395735,0.005821913907586926
0.008346044404451828,0.0048332027977266625,0.00238609595879283
0.004185956568582744,0.021281393368983614,0.008924064799774555
0.0033717996134469104,0.0021622860365136075,0.0019466251203319972
0.006636430313877324,0.01167968222091615,0.006534107517528638
0.005823448459849788,0.010203558811639757,0.005595174133219791
0.005702642208148831,0.003353305579965609,0.005612034587090687
0.006121811478784149,0.0015396744064771956,0.0017047802121558527
0.0036699620323211884,0.0003810941076347727,0.001971374831616417
0.0030338390918561325,0.00299098284412884,0.001134240227214509
0.002905325614662762,0.0072466737358588594,0.0034862111650078415
0.0027083443078665193,0.005336843172456129,2.7266158608943568e-05
0.004585985623028508,0.00014955507393451837,0.0029258586457533513
0.0035279649310094143,0.003861154814035039,0.0011917712453379452
0.0023959987045938705,0.010579035427817284,0.0012214510677164953
0.0027961584830142657,0.0026727561988139684,0.0
0.0036625129241831104,0.00019186405120421606,0.0007217413464525023
0.003009869556382083,0.0007327196747693776,0.0024014958296053224
0.002632652209803697,0.0011146745299826552,0.0011155000790980722
0.002972048890735477,9.227560885377054e-05,0.002987278636764302
0.0028788431611651874,0.0030894091422526753,0.0008362059040250374
0.0022504934556717366,0.008306683391967988,0.0014111707630016423
0.0016632028001725481,0.002586749899576084,0.00046176153608137177
0.0037369705067043712,5.496871365445838e-05,0.002141975280032391
0.0028663831469442646,0.002306639817504026,0.004628884496881514
0.0026431399186396774,0.005470204733654839,0.0003645510594126703
0.006965814572344462,0.007139567372838577,0.004696733089581906
0.0027778989137469145,0.0018058311492048789,0.001070080926356227
0.0036108007870205737,0.004014254516985231,0.007540493182980937
0.0038984590079060993,0.00561989099934516,0.0008733540258766985
0.007684701730347292,0.004245898085254561,0.001917086616378479
0.005690571719314639,0.0073331632542429975,0.006247166175380408
0.002736067438181864,0.001922067881883698,0.01186202516356353
0.0046919683980014126,0.004989025761634216,0.0017167987679417773
0.002044454594291569,0.0025118818366901747,0.0006964912413244668
0.004723288778626877,0.0030276413118435017,0.00269086601011123
0.0025082280066817558,0.0052364204050892,0.004803934147519774
0.001328001153421345,0.0015510749841353983,0.0002220191799533308
0.0024472741464026835,0.0015401257640879156,0.001186142190401719
0.0015345258556396673,3.4353636335801314e-05,3.436189952912738e-05
0.001657508199603482,0.0018631012708569582,0.0037610492826565646
0.0037058439242681554,0.0034162274199701836,0.006489534207450206
0.0036754485064761817,0.0008784244043409325,0.007968582851059745
0.004158139894346348,0.0016822903923317273,0.002698401252099175
0.0019710198483711984,0.0046351700404211865,0.0009428393752012935
0.0009026223284099803,0.007763168445730089,0.0005379562996870482
0.001868110048537222,0.003947338920759479,0.0013123246649413966
0.0022112352783389888,0.0029373431684338765,0.0007964816710842941
