n_events,n_episodes,observed_break_rate_pct,boot_mean_pct,boot_ci_lo_pct,boot_ci_hi_pct,cluster_bootstrap_p_vs_50pct,side,horizon_min,n_pairs
2908,181,38.033012379642365,38.05134934806865,35.5018215432696,40.55833764934903,0.0,call,15,7
2882,181,45.35045107564192,45.339708381422206,42.542628937179586,48.11416668789752,0.0,call,60,7
2635,181,47.703984819734345,47.68550391375295,43.56564190098055,51.82284406752126,0.2836,call,240,7
2638,184,40.14404852160728,40.15054195829127,37.91419880809464,42.44373643208106,0.0,put,15,7
2591,184,42.68622153608646,42.74380599695328,39.776725984863035,45.81260801117621,0.0,put,60,7
2323,178,47.395609126130005,47.480518845427504,43.08025723876507,52.13726864044512,0.2708,put,240,7
