surface,call_wall_strength_tercile,n,mean_dist_to_wall_pct,mean_abs_fwd_ret_1d_pct,corr_dist_vs_fwd_ret_1d
near,weak,503,1.6692332263625878,0.2885439869577254,0.01579585433668668
near,mid,502,2.358739611691711,0.28981732402313437,0.005701744057726882
near,strong,503,3.3181048412389904,0.31139637634411066,0.013617203059971465
