date,side,level,touch_ts,touch_close,fwd_ret_15m,outcome_15m,fwd_ret_60m,outcome_60m,fwd_ret_240m,outcome_240m,outcome_1440m,fwd_ret_1440m
2022-01-05,call,1.36,2022-01-05 18:29:00,1.35965,-8.090317361086896e-05,reject,-0.0017063214797926607,reject,-0.0031405141028941763,reject,,
2022-01-10,call,1.36,2022-01-10 09:17:00,1.35996,-0.0001911820935911468,reject,-0.000529427336098176,reject,-0.0019853525103680214,reject,,
2022-01-10,call,1.36,2022-01-10 09:31:00,1.35985,-0.0006691914549398215,reject,-0.0004118101261167961,reject,-0.0023311394639113914,reject,,
2022-01-11,call,1.36,2022-01-11 05:38:00,1.35982,-0.00012501654630758807,reject,-0.0008015766792663914,reject,0.0007648071068229179,break,,
2022-01-11,call,1.36,2022-01-11 08:00:00,1.35968,0.0010517180513063273,break,0.0010590727229937702,break,-0.0010296540362438877,reject,,
2022-01-11,call,1.36,2022-01-11 11:17:00,1.35997,-0.0006176606836915122,reject,-0.0009485503356689851,reject,-0.000963256542423685,reject,,
2022-01-11,call,1.36,2022-01-11 11:41:00,1.3598,-0.0005515516987790736,reject,-0.0012060597146638097,reject,0.0001691425209591202,break,,
2022-01-11,call,1.36,2022-01-11 11:51:00,1.35978,-0.0004118313256555872,reject,-0.0012502022385973977,reject,-7.354130815273585e-05,reject,,
2022-01-11,call,1.36,2022-01-11 15:36:00,1.3599,-0.00016177660122074222,reject,0.0014339289653650944,break,0.001831016986542977,break,,
2022-01-11,call,1.36,2022-01-11 15:45:00,1.35984,0.0007647958583363312,break,0.0016325450052947499,break,0.001911989645840828,break,,
2022-01-11,call,1.36,2022-01-11 15:55:00,1.36008,0.0011322863360978541,break,0.0016616669607671941,break,0.0019704723251574574,break,,
2022-01-18,call,1.36,2022-01-18 12:28:00,1.35986,-0.00017648875619546978,reject,-0.0011912991043196985,reject,-0.0012354212933685105,reject,,
2022-01-18,call,1.36,2022-01-18 13:35:00,1.35946,0.00013240551395421463,reject,-0.000720874464861021,reject,-0.0010813116972914205,reject,,
2022-01-18,call,1.36,2022-01-18 19:31:00,1.35983,0.0003015082767696686,break,-0.0007868630637654084,reject,,,,
2022-01-18,call,1.36,2022-01-18 21:48:00,1.35976,-0.00016179325763376884,reject,0.0001250220627169174,reject,,,,
2022-01-18,call,1.36,2022-01-18 22:30:00,1.35961,8.090555379847153e-05,reject,0.00022800656070498526,reject,,,,
2022-01-18,call,1.36,2022-01-18 22:44:00,1.35984,0.0,reject,,,,,,
2022-01-19,call,1.36,2022-01-19 01:01:00,1.35984,-0.00014707612660314062,reject,7.353806330145929e-05,reject,0.0003897517354984892,break,,
2022-01-19,call,1.36,2022-01-19 01:09:00,1.35976,-0.0001323763017003765,reject,7.354238983348083e-05,reject,0.00044125433900088495,break,,
2022-01-19,call,1.36,2022-01-19 01:38:00,1.35996,0.0001397099914701716,break,0.00034559839995296215,break,0.0007353157445806335,break,,
