date,wall_type,level,outcome,fwd_ret_1d,fwd_ret_3d,fwd_ret_5d
2020-09-25,put,1.16,reject,0.003911757625778112,0.00789229340761377,0.007316276350631146
2020-09-28,put,1.16,reject,0.005549323033972486,0.0057291622063697645,0.009599986297967877
2020-10-05,call,1.18,reject,-0.004410816679672802,-0.0018830794286295305,0.0020187968649272303
2020-10-06,call,1.18,reject,0.002436696997580201,0.00776164673005475,0.00044303581774185474
2020-10-09,call,1.18,break,-0.0012935079428151308,-0.007067795033944169,-0.009375819010339681
2020-10-19,call,1.18,reject,0.005166377757384044,0.003942761972740572,0.0034669113898235793
2020-10-20,call,1.18,break,0.0018936191796572466,0.0027051702566531777,-0.004015487099719328
2020-10-28,call,1.18,reject,-0.005958258145790207,-0.009175717544516737,-0.0013618875761806093
2020-11-05,call,1.18,break,0.004798172124904854,0.00012693577050026938,-0.0010916476263010955
2020-11-12,call,1.18,break,0.002600791250497725,0.005049093111715308,0.00520158250099545
2020-11-17,call,1.19,reject,-0.0015593786086970374,-0.0006153223699182364,0.002865885010578495
2020-11-18,call,1.19,reject,0.0017137743558572893,-0.00023638266977343836,0.006019315841015782
2020-11-19,call,1.19,reject,-0.0007669293329399807,0.002713749947326205,0.008250811175255945
2020-11-20,call,1.19,reject,-0.0011807968692014725,0.005068992274214867,0.006840187578017076
2020-11-23,call,1.19,reject,0.004669661555090299,0.01021752347497129,0.01928663108829287
2020-11-24,call,1.19,reject,0.0015801373374686456,0.003345184363364506,0.0181799843667263
2020-12-30,call,1.23,reject,-0.006748735628445468,1.626201356264012e-05,-0.0024067780072527523
2020-12-31,call,1.23,reject,0.0030371001015097043,0.010052719473460314,0.00044205769671568085
2021-01-04,call,1.23,reject,0.0037624360345067664,0.001330319031723537,-0.00750038766965655
2021-02-03,put,1.2,reject,-0.006253321817698443,0.0008968907786341962,0.006427717246877629
2021-02-04,put,1.2,break,0.006710512021259607,0.01252684622648581,0.013730225717222488
2021-03-02,put,1.2,reject,-0.003194042201075664,-0.01423251965246164,-0.015556474968969725
2021-03-04,put,1.2,break,-0.004537364317765968,-0.005874340912319531,0.001153142312802391
2021-03-24,put,1.18,reject,-0.003140634391216257,-0.003733206917861054,-0.007254780790491688
2021-03-25,put,1.18,break,0.0015540345454236881,-0.004466787819086604,0.00015285585692681458
2021-04-06,put,1.18,reject,-0.00010948382587017136,0.0021812546846444736,0.006729044374636839
