side,oi_tercile,n_events,pct_break
call,weak,130,33.84615384615385
call,mid,129,44.96124031007752
call,strong,130,43.07692307692308
put,weak,131,56.48854961832062
put,mid,130,59.23076923076923
put,strong,131,40.458015267175576
