surface,call_wall_strength_tercile,n,mean_dist_to_wall_pct,mean_abs_fwd_ret_1d_pct,corr_dist_vs_fwd_ret_1d
all,weak,505,2.7931271567421194,0.27779632858734254,-0.05570816657946074
all,mid,500,1.9096744973952566,0.29520230403470316,0.1156435912270426
all,strong,503,2.3212481654225114,0.31684981089667985,0.0816764743441768
