date,regime,intraday_realized_vol_ann,intraday_range_pct,n_bars
2020-09-08,above_flip,0.05436868453293294,0.5193729888410142,1418
2020-09-09,above_flip,0.04380995576707032,0.45679338593377883,1392
2020-09-10,above_flip,0.04340665022285616,0.30027485974622786,1393
2020-09-11,above_flip,0.03473051889358615,0.19597128266973038,1248
2020-09-14,above_flip,0.04299832938174385,0.5841616808781177,1386
2020-09-15,above_flip,0.0484521676254727,0.48799863814332706,1385
2020-09-16,above_flip,0.07877307997157888,0.5693355853718657,1409
2020-09-17,above_flip,0.06513637631293441,0.6178010471204197,1393
2020-09-18,above_flip,0.06092595221150736,0.5702223580652501,1256
2020-09-21,above_flip,0.07444540267122693,0.8684590590418269,1379
2020-09-22,above_flip,0.05776870415132417,0.64174799931241,1398
2020-10-09,below_flip,0.04083967194248161,0.4235049990567799,1252
2020-11-10,below_flip,0.07640198406538388,0.6332965653645704,1421
2020-11-11,below_flip,0.05678803566846005,0.6374449004408027,1420
2020-11-12,below_flip,0.05335206228937836,0.3888909966991659,1418
2020-12-03,below_flip,0.050994848359731504,0.8270475169429914,1401
2020-12-09,below_flip,0.04166155476074198,0.3408512640301003,1415
2020-12-10,below_flip,0.04542300167325738,0.3892766740814525,1409
2020-12-11,below_flip,0.046348025640083945,0.3408152685240337,1307
2021-01-08,below_flip,0.07880147638746567,0.47199799641666335,1319
2021-01-11,above_flip,0.05562651339208668,0.35169988276670544,1415
2021-01-12,below_flip,0.05588349377057134,0.586687663235524,1407
2021-01-13,below_flip,0.05141182077977346,0.45504063551438717,1398
2021-01-14,below_flip,0.06034971330875297,0.6115883961936962,1423
2021-01-15,below_flip,0.04787610581460981,0.28602245805966703,1317
2021-01-19,below_flip,0.04681455701378876,0.41756673352876944,1402
2021-01-20,below_flip,0.0443694976645,0.4639343946715051,1410
2021-01-25,below_flip,0.03660695663279346,0.2563064886011113,1420
2021-01-26,below_flip,0.03416138492803003,0.2630894214923783,1398
2021-01-28,below_flip,0.04759822034609072,0.31491829406454747,1426
2021-01-29,above_flip,0.055383973194075634,0.6260306016796465,1319
