date,side,level,touch_ts,touch_close,fwd_ret_15m,outcome_15m,fwd_ret_60m,outcome_60m,fwd_ret_240m,outcome_240m,outcome_1440m,fwd_ret_1440m,kind,k,pair
2020-10-28,call,104.16666666666667,2020-10-28 11:18:00,104.16,0.0007296466973887306,break,0.002054531490015332,break,0.0011904761904761862,break,,,wall,0.0,USD_JPY
2020-10-29,call,104.16666666666667,2020-10-29 11:14:00,104.126,1.9207498607398676e-05,reject,0.0011332424178398526,break,0.003687839732631648,break,,,wall,0.0,USD_JPY
2020-10-29,call,104.16666666666667,2020-10-29 11:30:00,104.134,0.0004033264831850847,break,0.0013156125761037973,break,0.004628651545124596,break,,,wall,0.0,USD_JPY
2020-11-05,call,104.16666666666667,2020-11-05 11:04:00,104.178,0.00021117702393991244,break,8.639060070270155e-05,break,-0.004252337345696744,reject,,,wall,0.0,USD_JPY
2020-11-05,call,104.16666666666667,2020-11-05 11:55:00,104.14,0.0004129057038602113,break,-0.0026310735548300546,reject,-0.004637987324755177,reject,,,wall,0.0,USD_JPY
2020-11-09,call,104.16666666666667,2020-11-09 11:59:00,104.206,0.00210160643341073,break,0.007293246070283699,break,0.011323724161756532,break,,,wall,0.0,USD_JPY
2020-11-17,call,104.16666666666667,2020-11-17 13:57:00,104.158,0.00034562875631261036,break,-0.00034562875631249934,reject,0.0005472455308281887,break,,,wall,0.0,USD_JPY
2020-11-17,call,104.16666666666667,2020-11-17 14:44:00,104.148,-0.0006433152820984889,reject,0.0006049083995851579,break,0.0009217651803203886,break,,,wall,0.0,USD_JPY
2020-11-17,call,104.16666666666667,2020-11-17 14:55:00,104.141,-0.0002976733467127124,reject,0.0004417088370574085,break,0.0007585869158159841,break,,,wall,0.0,USD_JPY
2020-11-17,call,104.16666666666667,2020-11-17 15:03:00,104.148,-0.00013442408879671408,reject,0.0006529170027269604,break,0.0005665015170719379,break,,,wall,0.0,USD_JPY
2020-11-17,call,104.16666666666667,2020-11-17 15:19:00,104.152,0.000556878408479955,break,0.0007105000384053373,break,0.0005184730009986094,break,,,wall,0.0,USD_JPY
2020-11-18,call,104.16666666666667,2020-11-18 01:47:00,104.152,-0.000412858130424798,reject,-0.00038405407481378884,reject,-0.0013153852062370852,reject,,,wall,0.0,USD_JPY
2020-11-19,call,104.16666666666667,2020-11-19 10:15:00,104.144,0.0005569211860501078,break,-1.9204178829390628e-05,reject,-0.0008833922261484162,reject,,,wall,0.0,USD_JPY
2020-11-19,call,104.16666666666667,2020-11-19 11:07:00,104.145,-0.0002784579192471881,reject,-0.0016611455182677926,reject,-0.0017571654904219303,reject,,,wall,0.0,USD_JPY
2020-11-23,call,104.16666666666667,2020-11-23 15:11:00,104.144,0.0008833922261484162,break,0.00457059456137654,break,0.0032070978644951342,break,,,wall,0.0,USD_JPY
2020-11-27,call,104.16666666666667,2020-11-27 11:59:00,104.144,0.00021124596712240873,reject,8.641880473181374e-05,reject,-0.001190659087417556,reject,,,wall,0.0,USD_JPY
2020-11-30,call,104.16666666666667,2020-11-30 08:03:00,104.142,9.602273818454243e-05,reject,0.0009410228342070504,break,-0.0009986364771177314,reject,,,wall,0.0,USD_JPY
2020-11-30,call,104.16666666666667,2020-11-30 08:15:00,104.15,0.00012481997119540011,reject,0.0012674027844454816,break,-0.00032645223235727716,reject,,,wall,0.0,USD_JPY
2020-11-30,call,104.16666666666667,2020-11-30 12:17:00,104.141,-0.0005665395953564634,reject,0.00018244495443675568,reject,0.001968485034712586,break,,,wall,0.0,USD_JPY
2020-11-30,call,104.16666666666667,2020-11-30 12:57:00,104.148,0.0002880516188501492,break,0.0001248223681684646,reject,0.0021315819794907043,break,,,wall,0.0,USD_JPY
2020-11-30,call,104.16666666666667,2020-11-30 13:11:00,104.154,0.00021122568504328143,break,0.00040324903508270893,break,0.0019490370028996118,break,,,wall,0.0,USD_JPY
2020-11-30,call,104.16666666666667,2020-11-30 15:30:00,104.161,0.0007584412592045453,break,0.0018913028868769999,break,0.001632088785630037,break,,,wall,0.0,USD_JPY
2021-04-15,call,108.69565217391305,2021-04-15 14:23:00,108.671,-0.00015643547956689652,reject,0.00035888139430007016,break,-8.281878330007597e-05,reject,,,wall,0.0,USD_JPY
2021-04-15,call,108.69565217391305,2021-04-15 19:08:00,108.676,0.00021163826419812182,break,0.0001656299458943078,reject,-2.760499098242164e-05,reject,,,wall,0.0,USD_JPY
2021-04-16,call,108.69565217391305,2021-04-16 00:19:00,108.684,9.200986345736517e-05,reject,0.0019322071326046686,break,0.001361745979168827,break,,,wall,0.0,USD_JPY
2021-04-19,call,108.69565217391305,2021-04-19 04:32:00,108.683,-0.00023002677511663183,reject,-0.00010121178105138018,reject,-0.005456235105766316,reject,,,wall,0.0,USD_JPY
2021-04-27,call,108.69565217391305,2021-04-27 16:58:00,108.678,-0.00037726126722981146,reject,0.00022083586374432862,break,-9.201494322674808e-05,reject,,,wall,0.0,USD_JPY
2021-04-27,call,108.69565217391305,2021-04-27 17:49:00,108.675,0.00015642972164697788,reject,0.0005337014032666954,break,0.0004324821716126248,break,,,wall,0.0,USD_JPY
2021-04-28,call,108.69565217391305,2021-04-28 18:39:00,108.672,0.00013803003533574554,reject,-0.0005245141342756776,reject,-0.0011870583038868787,reject,,,wall,0.0,USD_JPY
2021-04-28,call,108.69565217391305,2021-04-28 18:47:00,108.682,0.0002576323586240825,break,-0.0002208277359636579,reject,-0.0011685467694741991,reject,,,wall,0.0,USD_JPY
2021-07-19,call,109.2896174863388,2021-07-19 14:24:00,109.284,0.0001647084660152398,break,0.0017843417151641727,break,0.0015189780754729654,break,,,wall,0.0,USD_JPY
2021-07-19,call,109.2896174863388,2021-07-19 14:33:00,109.275,0.0011805078929305601,break,0.0027087622969570457,break,0.0017112788835507153,break,,,wall,0.0,USD_JPY
2022-01-14,call,113.63636363636363,2022-01-14 14:21:00,113.656,0.0005279087773630842,break,0.001310973463785503,break,0.003255437460406796,break,,,wall,0.0,USD_JPY
2023-12-07,call,144.92753623188406,2023-12-07 09:55:00,144.902,-0.0005658997115290942,reject,-0.0002898510717586067,reject,6.9012159942261064e-06,reject,,,wall,0.0,USD_JPY
2023-12-07,call,144.92753623188406,2023-12-07 09:58:00,144.834,-0.0012428021044782467,reject,-1.3808912272095242e-05,reject,-0.00019332477180766805,reject,,,wall,0.0,USD_JPY
2023-12-07,call,144.92753623188406,2023-12-07 10:00:00,144.884,-0.0014080229701001201,reject,-0.000414124402970506,reject,-0.000289887082079221,reject,,,wall,0.0,USD_JPY
2023-12-07,call,144.92753623188406,2023-12-07 10:33:00,144.912,-0.0011110191012476678,reject,0.001946008612123018,break,-0.0019667108314010973,reject,,,wall,0.0,USD_JPY
2023-12-07,call,144.92753623188406,2023-12-07 10:37:00,144.9,-3.4506556245705866e-05,reject,0.001683919944789558,break,-0.0009661835748793202,reject,,,wall,0.0,USD_JPY
