segment,n,spearman_ic,p_value
full,1507,-0.000293514434156179,0.9909164364150992
train,904,0.0031764796338909925,0.9240177542987877
val,301,-0.005339377058742092,0.9264994494155455
OOS,302,-0.016848099273566494,0.7705960997383957
