n_events,n_episodes,observed_break_rate_pct,boot_mean_pct,boot_ci_lo_pct,boot_ci_hi_pct,cluster_bootstrap_p_vs_50pct,pair,side,horizon_min
412,27,31.55339805825243,31.600112510824417,26.64936210223572,36.578190498369814,0.0,EUR_USD,call,15
445,31,37.752808988764045,37.76508144900131,32.22921018711943,43.62446613788895,0.0,GBP_USD,call,15
331,28,30.815709969788518,30.784019535564823,26.50241559005537,35.08818589025755,0.0,AUD_USD,call,15
436,32,36.92660550458716,36.83222943995825,30.627248616236162,42.75074618257321,0.0,USD_CAD,call,15
275,19,31.636363636363633,32.12509843566826,23.98520235202352,42.32271841320797,0.0012,USD_CHF,call,15
191,11,41.361256544502616,42.39208278994716,34.97259378457206,53.125,0.1756,USD_JPY,call,15
818,33,46.33251833740831,46.404513671651024,42.34948782851154,50.78653897195434,0.1152,NAS100_USD,call,15
407,27,39.31203931203931,39.401352564176676,31.98940905899103,46.9816897887764,0.0052,EUR_USD,call,60
441,31,42.40362811791383,42.42517845316439,36.45833333333333,48.8066793374966,0.0168,GBP_USD,call,60
329,28,43.76899696048632,43.6089867488478,36.524024402541095,49.42535311291722,0.0304,AUD_USD,call,60
435,32,42.298850574712645,42.33404478991162,35.388479525430796,49.50996984867448,0.0344,USD_CAD,call,60
269,19,38.66171003717472,38.7832767901844,30.742206021811285,47.806564608199245,0.02,USD_CHF,call,60
191,11,53.403141361256544,55.7168694039321,45.03301576236397,72.03412611627482,0.53,USD_JPY,call,60
810,33,52.59259259259259,52.669531832945694,48.007746287883926,57.71078676715932,0.27,NAS100_USD,call,60
389,27,40.616966580976865,40.41024704490538,30.649350649350648,49.8552330482958,0.0472,EUR_USD,call,240
414,31,49.275362318840585,49.474724458375455,39.5236660929432,59.904643336722096,0.9116,GBP_USD,call,240
311,28,44.69453376205787,44.64279113560107,38.09356136820926,50.36496350364964,0.0672,AUD_USD,call,240
407,32,42.01474201474201,42.14052515933015,32.238462419361,51.789700870882236,0.1104,USD_CAD,call,240
241,19,42.32365145228216,42.650695685275785,33.22250603012789,51.92307692307693,0.1348,USD_CHF,call,240
191,11,49.73821989528796,51.74945728576169,36.74668059995083,73.81043956043956,1.0,USD_JPY,call,240
682,33,56.89149560117303,56.72575715976761,47.64476981928505,65.32764050387595,0.1492,NAS100_USD,call,240
425,43,37.411764705882355,37.32829385236583,31.436696094216398,43.58987603305785,0.0,EUR_USD,put,15
448,30,40.17857142857143,40.20802700831384,35.13513513513514,45.0199879216167,0.0004,GBP_USD,put,15
227,20,37.00440528634361,37.09382225850612,29.70258353960396,45.04515654268129,0.0032,AUD_USD,put,15
92,10,39.130434782608695,39.475611055198875,31.323418674698793,50.0,0.0608,USD_CAD,put,15
270,21,39.25925925925926,38.886242727317665,29.729411014788376,49.7240140472552,0.0428,USD_CHF,put,15
557,44,41.651705565529625,41.54544855134532,36.33801122694467,46.487760784116105,0.0024,USD_JPY,put,15
619,16,42.32633279483037,42.47276330943077,39.49694379010641,46.374196918931986,0.0044,NAS100_USD,put,15
421,43,41.80522565320665,41.84903092491064,35.670571806242535,48.08214143747515,0.01,EUR_USD,put,60
443,30,46.50112866817156,46.77859932857037,39.88241506445012,54.77707006369427,0.3828,GBP_USD,put,60
224,20,39.285714285714285,39.16083448558197,32.608695652173914,45.53581908115358,0.0024,AUD_USD,put,60
90,10,41.11111111111111,41.59144006143502,30.354793233082706,55.55555555555556,0.2252,USD_CAD,put,60
264,21,45.45454545454545,45.189268505406616,34.224465684794,56.274431176854954,0.4776,USD_CHF,put,60
550,44,40.36363636363636,40.37235493892775,35.12466875651694,45.95079158155037,0.0004,USD_JPY,put,60
599,16,42.904841402337226,43.652706196342606,36.643815376145604,54.41176470588235,0.1948,NAS100_USD,put,60
392,41,52.04081632653062,52.007941785246516,43.645083932853716,60.70528967254408,0.6808,EUR_USD,put,240
418,30,53.34928229665071,53.84919759974435,44.29526955979905,64.93616088552795,0.476,GBP_USD,put,240
204,20,44.11764705882353,44.60319942242846,38.059625959272466,52.94117647058824,0.1788,AUD_USD,put,240
75,9,54.666666666666664,54.44070600245114,41.89110622250157,66.0721852300242,0.4692,USD_CAD,put,240
241,21,52.282157676348554,51.22064319142004,34.12878324982688,64.50132539100537,0.8148,USD_CHF,put,240
522,44,40.229885057471265,40.45729131847377,33.8288596107588,47.84954482485652,0.0136,USD_JPY,put,240
471,13,43.94904458598726,45.08172314318235,33.925870420829554,59.4413295955146,0.474,NAS100_USD,put,240
