surface,feature,target,train_ic,train_p,train_n,val_ic,val_p,val_n,test_ic,test_p,test_n,same_sign_train_test
near,dist_call_wall_pct,fwd_ret_1d,-0.02672248223661099,0.4222721045930306,904,0.0811763384753873,0.15937772001924105,302,0.06884428014534126,0.2337135246541692,301,False
near,dist_call_wall_pct,fwd_abs_ret_1d,0.0546592670635134,0.10051294701448488,904,-0.015915523838704693,0.7829683961031147,302,0.04855692880550021,0.40123292123595583,301,True
near,dist_put_wall_pct,fwd_ret_1d,-0.0024369786153010825,0.9416705430214276,904,-0.02321137737184258,0.6878664785145568,302,-0.0031431662042089477,0.956692059063738,301,True
near,dist_put_wall_pct,fwd_abs_ret_1d,0.07535542858553718,0.02346557434439266,904,-0.06643473369915043,0.2497335376868773,302,0.008280348599706267,0.8862401107465971,301,True
near,dist_gamma_flip_pct,fwd_ret_1d,-3.391435967064882e-05,0.9993125014002258,648,-0.01394971499187544,0.8558781297594344,172,-0.07303051639436078,0.29449380504835815,208,True
near,dist_gamma_flip_pct,fwd_abs_ret_1d,0.02691538843562676,0.4940035817031686,648,-0.03052900432287871,0.690956550719674,172,0.003844553615720663,0.9560484362194951,208,True
near,pc_oi_ratio_z,fwd_ret_1d,0.0265392235578048,0.4303826333586857,885,-0.09033360047628271,0.11722579505401186,302,-0.047262326461464,0.41391947354702313,301,False
near,pc_oi_ratio_z,fwd_abs_ret_1d,0.06988553656124603,0.037651851464765254,885,-0.10604500418359365,0.06570718610103866,302,-0.004287254405843656,0.940953141920224,301,False
near,net_gex_z,fwd_ret_1d,-0.008688866924528858,0.7963110495874846,885,-0.07157593935891357,0.21486803204157576,302,0.004168005104398144,0.9425926577796467,301,False
near,net_gex_z,fwd_abs_ret_1d,0.02190823007225201,0.5151085830058503,885,0.03189181429418822,0.5809053580264715,302,-0.06352071461574003,0.27195671220424006,301,False
near,call_oi_chg_z,fwd_ret_1d,-0.04980128419227841,0.13877703804227196,885,0.060264007523279886,0.29653961353332364,302,-0.0220430793601901,0.7032862091981641,301,True
near,call_oi_chg_z,fwd_abs_ret_1d,-0.05041761546484079,0.13395031939296065,885,0.07768980237884299,0.1781278008739911,302,-0.015444324657323273,0.7895846101526971,301,True
near,put_oi_chg_z,fwd_ret_1d,-0.04444810404903128,0.18647853098715353,885,0.06058989432858932,0.2939305151371681,302,-0.12160040483157689,0.03496689192214246,301,True
near,put_oi_chg_z,fwd_abs_ret_1d,-0.06154631527999422,0.06723713597478939,885,-0.034220946461546775,0.5535800924284948,302,0.008174517612373765,0.8876844180911186,301,False
near,call_wall_oi_pctile,fwd_ret_1d,-0.0609250880981379,0.06710407134642503,904,0.04675216999866996,0.41820484453113776,302,0.050061913211565785,0.3867804767121577,301,False
near,call_wall_oi_pctile,fwd_abs_ret_1d,-0.02819257305917559,0.39719019883663886,904,0.0534425036410785,0.3546841208938316,302,-0.041189446504599374,0.47650252122284864,301,True
near,put_wall_oi_pctile,fwd_ret_1d,-0.0015455062986888222,0.9629883744889154,904,0.007181868267818389,0.9010844038572801,302,-0.030800361666491468,0.5945395428612978,301,True
near,put_wall_oi_pctile,fwd_abs_ret_1d,0.010777602397104503,0.7462357215973512,904,0.11656659296990249,0.04294789678676348,302,0.007782047232972378,0.8930437829077368,301,True
near,yday_ret,fwd_ret_1d,-0.04229480694675437,0.20391734955118448,904,-0.05000597967433539,0.38651791280811126,302,0.03208950298123254,0.5791967006812573,301,False
near,yday_ret,fwd_abs_ret_1d,0.10823143665797681,0.0011171648118443965,904,-0.03742840456407085,0.5170068994007163,302,-0.02968823568238323,0.6079221901627447,301,False
