horizon_min,momentum_feature,n,point_biserial_r,p
15,prior_ret_60m,837,0.043782374724479226,0.20573527804127853
15,prior_ret_240m,837,0.012746216985886292,0.7127061732254091
60,prior_ret_60m,828,0.001018621759250926,0.9766519987645695
60,prior_ret_240m,828,-0.037955264728238236,0.27531447414511967
