side,oi_tercile,n_events,pct_break
call,weak,228,69.73684210526315
call,mid,227,45.37444933920705
call,strong,227,55.50660792951542
put,weak,157,49.681528662420384
put,mid,157,29.29936305732484
put,strong,157,52.86624203821656
