regime,n_days,mean_intraday_range_pct,mean_intraday_rv_ann,mannwhitney_p_range_above_vs_below
above_flip,530,0.9501913016700239,0.1033136578091901,0.19375465010067006
below_flip,587,0.9772854501888005,0.10094697497281942,0.19375465010067006
