surface,horizon_days,n_crossing_events,mean_abs_fwd_ret_after_crossing_pct,mean_abs_fwd_ret_baseline_pct,mannwhitney_p
all,1,179,0.35580110968768885,0.3818741267302819,0.4909540378609324
all,3,179,0.635836649834598,0.6705339471037148,0.9033805716795401
all,5,179,0.8732748902601364,0.8901792565152068,0.7481033351479784
