surface,horizon_days,n_crossing_events,mean_abs_fwd_ret_after_crossing_pct,mean_abs_fwd_ret_baseline_pct,mannwhitney_p
near,1,183,0.3839395631626799,0.3631872058391424,0.3395162655820777
near,3,183,0.5921797520027957,0.6437612983548395,0.12300347847830145
near,5,183,0.7172193926990126,0.8326793215155319,0.04908819164530166
