date,regime,intraday_realized_vol_ann,intraday_range_pct,n_bars
2020-09-22,below_flip,0.07421918703486513,0.4690001428045324,1397
2020-09-23,below_flip,0.07077643491424106,0.7535420990885238,1401
2020-09-24,below_flip,0.08624377702114486,0.6962186066663675,1410
2020-09-25,below_flip,0.06471036081608043,0.592607021381807,1257
2020-09-28,below_flip,0.06027064009755366,0.3661717121142982,1385
2020-09-29,below_flip,0.061354717553387415,0.4977433141471242,1369
2020-09-30,below_flip,0.07938924315067672,0.8848896130102578,1398
2020-10-01,below_flip,0.067460052135894,0.4140242253013229,1391
2020-10-02,below_flip,0.07080680591994147,0.37030904246511687,1252
2020-10-05,below_flip,0.05123875134757126,0.30844229119961425,1382
2020-10-07,below_flip,0.05633599226487575,0.6882627557530452,1377
2020-10-29,below_flip,0.07608937942528461,0.8382783745211493,1382
2020-10-30,below_flip,0.07667623220662607,0.5174848284564129,1258
2020-11-02,below_flip,0.06752840726052256,1.1655744082353239,1399
2021-01-04,above_flip,0.08357542756315423,1.0435493249933174,1420
2021-01-05,above_flip,0.07864652272649116,1.0452525505414063,1393
2021-01-08,above_flip,0.08540584446677268,0.6660728502400282,1318
2021-01-11,above_flip,0.07593574146851627,0.9136617173383635,1419
2021-01-12,above_flip,0.06612916352506323,0.6598515920974308,1375
2021-01-13,above_flip,0.06637520232394119,0.5216898659973196,1394
2021-01-14,above_flip,0.06516851696627003,0.6512477655193051,1402
2021-01-15,above_flip,0.06970466305265122,1.0144698347434093,1313
2021-01-19,above_flip,0.05823304148077492,0.38121234939759713,1384
2021-01-20,above_flip,0.07799653292924356,0.9933514609496554,1373
2021-01-29,above_flip,0.09940611137454937,1.0670387142534221,1320
2021-02-02,below_flip,0.07679417853050557,0.6995836737870164,1405
2021-02-05,below_flip,0.06478637531166319,0.6191226237075665,1291
2021-04-21,below_flip,0.11600723261443215,1.537998065610687,1347
2021-06-16,below_flip,0.09218792738927847,1.0414529458592265,1381
2021-06-17,below_flip,0.0727357541019679,0.941383410153261,1383
2021-06-18,above_flip,0.08952279757672027,1.1484571150886922,1237
2021-06-21,above_flip,0.07587315240902813,1.0736368746486873,1389
2021-06-22,below_flip,0.07003135828950682,0.8212423715798365,1362
2021-06-23,below_flip,0.06666676772807845,0.6189184359719911,1337
2021-06-24,below_flip,0.056642682805045697,0.47382964889466855,1314
2021-06-25,below_flip,0.054067249540923026,0.46659958452349404,1231
2021-06-28,below_flip,0.05862399990713612,0.48800325335502276,1315
2021-06-29,below_flip,0.06174261758236175,0.5813434953581627,1333
2021-06-30,below_flip,0.07893998747805407,0.5468623971608331,1326
2021-07-01,below_flip,0.06351859543004514,0.6541905299669325,1331
2021-07-02,below_flip,0.07932455416930607,1.1310107554540947,1213
2021-07-06,below_flip,0.09235886116979528,1.5557518251723972,1379
2021-07-07,below_flip,0.09046837702998642,0.7735391824878328,1352
2021-07-08,above_flip,0.09161852131041234,0.8956323901688699,1386
2021-07-09,above_flip,0.07904440127554888,0.9161718700121254,1251
2021-07-12,below_flip,0.06654532684046885,0.5284291680051422,1342
2021-07-13,below_flip,0.08935272014774605,0.7795815469595602,1353
2021-07-14,below_flip,0.09043764492859943,0.7944555783556689,1358
2021-07-15,below_flip,0.07796194617580492,0.8963809219461539,1376
2021-07-16,below_flip,0.07380595657277525,0.4749273313531535,1238
2021-07-19,above_flip,0.10586185630278523,1.5041288257017416,1374
2021-07-20,above_flip,0.08688335412029503,0.8823875446096086,1377
2021-07-21,below_flip,0.08860805789115733,1.6124451737086247,1372
2021-07-22,below_flip,0.08535837702943574,0.5202450083525567,1365
2021-07-23,below_flip,0.0612895533090231,0.4107266518613902,1222
2021-07-26,below_flip,0.06954357689258177,0.4980111376292707,1345
2021-07-27,below_flip,0.08239134724365223,0.5276750414487827,1363
2021-07-28,below_flip,0.10130056400478024,0.6957682043461766,1372
2021-07-29,below_flip,0.06931641097028281,0.7827351000782761,1376
2021-08-02,below_flip,0.06468801403855233,0.49709759148199095,1325
2021-08-03,below_flip,0.06923559102755031,0.6904220935069855,1362
2021-08-04,below_flip,0.06876829497891551,0.37500398940415447,1331
2021-08-05,below_flip,0.06684687799022093,0.562863748704462,1303
2021-08-09,below_flip,0.06457388047734858,0.44537761659350145,1372
2021-08-10,below_flip,0.056544161007112036,0.5773773073221976,1358
2021-08-11,below_flip,0.06025202252818955,0.4745091147289592,1316
2021-08-12,below_flip,0.04923679745946286,0.2614661293417855,1332
2021-08-13,below_flip,0.04585474009211663,0.24442065913702435,1221
2021-08-17,below_flip,0.06866761728116816,0.6236377809949624,1345
2021-08-18,below_flip,0.06891020643894563,0.5203177343607667,1390
2021-08-19,above_flip,0.08903911475984522,1.3671042031938536,1401
2021-08-20,above_flip,0.10597909217520861,1.0515156947876314,1256
2021-08-23,below_flip,0.07212208971677675,1.4319809069212357,1371
2021-08-24,below_flip,0.06986518834904439,0.6267684671440534,1342
2021-08-27,below_flip,0.08513372832730777,0.8107341516837042,1244
2021-09-01,below_flip,0.061632428547024366,0.451064639386106,1372
2021-09-02,below_flip,0.06099609874159195,0.7141102155011818,1337
2021-09-08,below_flip,0.08936294669727314,1.0737384758922723,1381
2021-09-09,below_flip,0.08015393395017166,0.8277219925182138,1371
2021-09-10,below_flip,0.07524209736916317,0.8922226608764381,1256
2021-09-13,below_flip,0.0638736074822016,0.4495835436648012,1357
2021-09-14,below_flip,0.07488390552531175,0.769352415592632,1374
2021-09-15,below_flip,0.0812611865854567,0.7154789296183043,1378
2021-09-16,below_flip,0.07764532629364408,0.6574726119089833,1381
2021-09-17,below_flip,0.07904386299967929,1.0843249978313618,1254
2021-09-20,above_flip,0.09607467969837463,1.0669967410378687,1391
2021-09-21,above_flip,0.09850373190134412,0.8245683899833779,1395
2021-09-22,above_flip,0.11120003707099264,0.9993602845953402,1405
2021-09-23,below_flip,0.09673146745789064,1.273287553379536,1371
2021-09-24,below_flip,0.08100443797024708,0.7108387106965348,1247
2021-09-27,below_flip,0.07621184594546761,0.4956051599848234,1350
2021-09-29,below_flip,0.09748259331181015,0.8360808316637963,1385
2021-09-30,below_flip,0.0952544035824321,0.9963313683682428,1375
2021-10-01,below_flip,0.08919100753841837,0.8768955374533769,1260
2021-10-04,below_flip,0.07674805953838816,0.7705343849979422,1378
2021-11-11,below_flip,0.07183951420400132,0.9177103686857382,1381
2021-11-12,below_flip,0.06525452303596074,0.5035822650081823,1272
2021-11-15,below_flip,0.05916068373565651,0.43359051201939297,1361
2021-11-16,below_flip,0.05818823776994371,0.6033146345751184,1400
2021-11-17,below_flip,0.06722694443801183,0.6556959607855639,1392
2021-11-18,below_flip,0.05958454983848601,0.431396805760425,1373
2021-11-19,below_flip,0.06651693326230369,0.6148402605335959,1295
2021-11-22,above_flip,0.06612976700889046,0.6132981371859407,1379
2021-11-23,above_flip,0.06327481922833332,0.6676061438659608,1394
2021-11-24,above_flip,0.06333178272514248,0.4686168702073319,1383
2021-11-26,above_flip,0.09588658463184607,1.0912823752369052,1302
2021-11-29,above_flip,0.07223909133361045,0.5706291068003758,1404
2021-11-30,above_flip,0.10049467654379214,0.82430522845032,1410
2021-12-01,above_flip,0.07944805475516978,0.9113115370161493,1408
2021-12-02,above_flip,0.08105675603289655,0.45898772910357727,1396
2021-12-03,above_flip,0.10520518404663404,0.863575373669933,1313
2021-12-06,above_flip,0.0627811797005818,0.7019897509496281,1392
2021-12-07,below_flip,0.06010726342299988,1.0374712031218103,1404
2021-12-08,below_flip,0.07834405506253826,0.5115918651358426,1383
2021-12-09,below_flip,0.06101580315671298,0.5675440676626325,1366
2021-12-10,below_flip,0.06841020319091037,0.4753584864081962,1299
2021-12-14,below_flip,0.058540302023645595,0.5496993831498349,1366
2021-12-15,below_flip,0.07876085721173269,0.8183725810212116,1371
2021-12-16,below_flip,0.07022817461747731,0.7322868383126301,1391
2021-12-17,below_flip,0.06757262393523311,0.9656014272747204,1318
2021-12-20,below_flip,0.06946322824888546,0.5977949043993445,1397
2021-12-21,above_flip,0.054409734746434714,0.2674913026671835,1378
2021-12-22,above_flip,0.051827490204598224,0.7072551689983848,1346
2021-12-23,below_flip,0.05549629258116573,0.4310646674810807,1321
2021-12-27,below_flip,0.04710779192212143,0.5352642379507095,1260
2021-12-29,below_flip,0.062156859867304834,0.4057491533887757,1264
2021-12-30,below_flip,0.05422257200845614,0.6148695162400635,1290
2021-12-31,below_flip,0.07659033426510839,1.0223617104747036,1275
2022-01-04,below_flip,0.06971011612794105,0.7716436637390096,1333
2022-01-06,below_flip,0.083221430071924,0.8402439215563374,1393
2022-01-27,below_flip,0.08973086809161585,0.7709807886754291,1402
2022-01-28,below_flip,0.08800069885883523,0.6582302315181755,1318
2022-01-31,below_flip,0.07347481608581866,0.730304502499647,1391
2022-02-01,below_flip,0.07394197350462664,0.5613207547169752,1392
2022-02-02,below_flip,0.06478378819660484,0.43964009391594194,1376
2022-02-03,below_flip,0.07522533892627024,0.4540259330784682,1382
2022-02-04,below_flip,0.09142027147614606,0.9811189803933945,1314
2022-02-07,below_flip,0.06576665289106672,0.7727672127031879,1404
2022-02-08,below_flip,0.06053312713420193,0.44763393491543446,1375
2022-02-09,below_flip,0.05131640942974518,0.3935210691180322,1329
2022-02-10,below_flip,0.08812801834943294,0.7785630896412493,1376
2022-02-11,below_flip,0.09636517622656929,0.6619760337976801,1317
2022-02-14,below_flip,0.08644513563246053,0.5045979721763633,1401
2022-02-15,below_flip,0.07074884395286037,0.5766269679162968,1401
2022-02-16,below_flip,0.07409159639578505,0.48569250477439285,1397
2022-02-17,below_flip,0.0812286347845462,0.474202441906273,1396
2022-02-18,below_flip,0.06202277234933716,0.6877719807675639,1319
2022-02-22,below_flip,0.07020315180953368,0.5063568953894976,1408
2022-02-23,below_flip,0.0617745337646607,0.681390977443621,1415
2022-02-24,above_flip,0.10354989759463123,1.1442168750392638,1402
2022-02-25,below_flip,0.0843247415157728,0.978348285743299,1319
2022-02-28,below_flip,0.08500304016661403,1.1786464374157504,1401
2022-03-01,below_flip,0.07404836341793537,0.7650100659219181,1410
2022-03-02,below_flip,0.08676256622165987,0.9178421280106803,1405
2022-03-03,below_flip,0.0802120361995851,0.8350466550688064,1397
2022-03-04,below_flip,0.09565789902079191,0.9644449706010118,1319
2022-03-07,below_flip,0.09696877144609936,1.066591155788382,1415
2022-03-08,below_flip,0.10258607223942685,0.8210937500000015,1405
2022-03-09,below_flip,0.08186450106967536,0.7332004003506916,1407
2022-03-10,below_flip,0.08050414002761112,0.7145314112386195,1393
2022-03-11,below_flip,0.08355630666671765,0.7854819111825281,1319
2022-03-14,below_flip,0.07423943677215453,0.7324770757442579,1393
2022-03-15,below_flip,0.07154791823649803,0.8571406287777795,1402
2022-03-16,below_flip,0.09400042278790245,0.8033575019183439,1410
2022-03-17,below_flip,0.073094767950252,0.6770069828659601,1396
2022-03-18,below_flip,0.0666315967086442,0.4591077478390295,1259
2022-03-21,below_flip,0.06554409525794946,0.4505755150284313,1400
2022-03-22,below_flip,0.0690097905362921,0.471765546819161,1396
2022-03-23,above_flip,0.06249214252473654,0.5055804636077397,1389
2022-03-24,above_flip,0.06505738657392905,0.6091831371737213,1399
2022-03-25,above_flip,0.06201195064065353,0.700434477030235,1259
2022-03-28,above_flip,0.07236939317246907,0.9555007368488496,1398
2022-03-29,above_flip,0.07611977364998837,0.48556870637467564,1390
2022-03-30,above_flip,0.06568831163885125,0.6351695118634174,1390
2022-03-31,above_flip,0.06676382472959952,0.5566947550543087,1407
2022-04-01,above_flip,0.06438624874428288,0.475131581052333,1258
2022-04-04,above_flip,0.05060482996056685,0.48533614317416907,1377
2022-04-05,above_flip,0.0675984805150386,0.76393337604099,1382
2022-04-06,above_flip,0.07800059777735598,0.7055337551053084,1427
2022-04-07,below_flip,0.06832809842034347,0.5841902518226022,1422
2022-04-08,below_flip,0.06513471351314605,0.43215761042261597,1258
2022-04-11,below_flip,0.06231062083619717,0.5675269654794113,1424
2022-04-12,below_flip,0.07291454421448743,0.6329264143927472,1408
2022-04-13,below_flip,0.07404941298989061,0.9609295845998005,1407
2022-04-14,above_flip,0.08273305748270313,0.9592803407236311,1403
2022-04-15,below_flip,0.04978117445384273,0.2608543972598407,1204
2022-04-18,below_flip,0.05620409224499269,0.35198427169380536,1427
2022-04-19,above_flip,0.07036863038601948,0.6252777248777921,1422
2022-04-20,below_flip,0.07103161032368992,1.2082890373355644,1432
