level,is_key,n_touches,pct_continuation,avg_continuation_pips,avg_reversion_pips,avg_fade_pnl_pips,pct_mean_reversion,p_value,significant
-9.5,False,171,39.76608187134503,52.2644356725149,61.335926900584475,11.988225146198511,60.23391812865497,0.007439181496316172,True
-9.0,False,198,40.4040404040404,51.091954545454485,56.571666666666715,10.932439393939404,59.5959595959596,0.006922651100971677,True
-8.5,False,238,44.957983193277315,48.27241596638636,49.51402521008425,6.81955882352962,55.042016806722685,0.11978207864521395,False
-8.0,False,285,45.614035087719294,46.27362456140324,48.666536842105536,7.646024561403803,54.385964912280706,0.13864063381321845,False
-7.5,False,347,44.09221902017291,43.98001729106594,51.499412103746764,13.096311239193472,55.90778097982709,0.02773635507691785,True
-7.0,False,428,44.39252336448598,41.993154205607304,49.82621261682261,10.874689252336653,55.60747663551402,0.020331813998620607,True
-6.5,False,516,44.76744186046512,41.299518410852556,48.08888275193812,8.538345930232722,55.23255813953488,0.017443801536039638,True
-6.0,False,631,46.11727416798732,40.439608557844664,44.957814580031744,4.567107765451711,53.88272583201268,0.051097599839885266,False
-5.5,False,786,45.038167938931295,39.23120038167928,40.68798918575075,0.9474840966922239,54.961832061068705,0.0053997103331295815,True
-5.0,False,996,44.87951807228915,37.891189759036145,40.52000803212849,2.268896586345354,55.12048192771085,0.0012292977591426002,True
-4.5,False,1233,46.47201946472019,37.93563787510134,38.46793309002434,0.30587550689376797,53.52798053527981,0.013225554690172281,True
-4.0,False,1596,45.48872180451128,36.8189154135338,39.754560776942384,2.851132205513818,54.51127819548872,0.000312744268179177,True
-3.5,False,2102,44.67174119885823,35.82511607992383,38.916808753568084,3.60445195052336,55.32825880114177,1.0303339024186897e-06,True
-3.0,False,2758,45.902828136330676,35.76651849166055,37.76337490935469,2.534968817984126,54.097171863669324,1.681998484537317e-05,True
-2.5,False,3713,46.37759224346889,35.66598680312408,37.43701858335585,2.192663883652123,53.62240775653111,1.012043167381016e-05,True
-2.0,False,5116,47.458952306489444,35.95523182173568,37.99937920250201,1.8270445660672958,52.541047693510556,0.00027794756211663163,True
-1.5,False,7403,47.22409833851142,36.56165162771846,37.62215750371474,0.8815861137377066,52.77590166148858,1.7809810177737972e-06,True
-1.0,False,11531,48.009712947706184,37.20337004596304,37.524920908854426,-0.6336109617552386,51.990287052293816,1.9161851493754156e-05,True
-0.5,False,20490,48.16983894582723,37.994506881405556,39.300984968277234,0.4792787213274904,51.83016105417277,1.6100762056936446e-07,True
-0.25,False,28031,48.38928329349649,39.66561789625771,40.253932101958554,-0.006994015554201002,51.61071670650351,6.910897409895256e-08,True
0.0,True,38412,48.98989898989899,42.483736722899096,42.26463540039572,-0.6545961157971423,51.01010101010101,7.514150347165405e-05,True
0.25,True,46388,50.21772872294559,43.503255577951194,42.939721808441845,-1.350436745494526,49.78227127705441,0.3483046722935095,False
0.5,True,48692,50.32448862236096,43.02591629015033,42.26565639119363,-1.6155760083791928,49.67551137763904,0.15212942337979185,False
0.75,True,47442,50.274018801905484,42.977731261329616,42.47292090341892,-1.19730701698916,49.725981198094516,0.2325989333931595,False
1.0,True,39782,49.64054094816751,41.31561776682922,41.85991252325172,0.41737486803076956,50.35945905183249,0.1515971627379542,False
1.25,False,28934,49.5921752955001,38.128436337872394,38.65369409691021,-0.14779757378862518,50.4078247044999,0.16531391123518624,False
1.5,False,21025,49.73127229488704,36.63083255648037,36.74328810939359,-0.7820258501783534,50.26872770511296,0.43579692231429634,False
2.0,False,12120,49.8927392739274,34.962786303630374,35.0399910891089,-0.7960858085808696,50.1072607260726,0.8133018933606737,False
2.5,False,7866,48.919399949148236,33.803196160691584,34.515822273073994,0.3165287312484066,51.080600050851764,0.055266065710555035,False
3.0,False,5489,48.82492257241756,32.97000582984153,32.65903115321549,-0.8499912552377873,51.17507742758244,0.08165243587485715,False
3.5,False,4025,49.01863354037267,32.31064621118016,31.899102608695607,-1.2695242236025226,50.98136645962733,0.21305293539594095,False
4.0,False,3035,49.62108731466227,31.911713014827107,31.500130148270088,-2.0587884678748987,50.37891268533773,0.6763183423808541,False
4.5,False,2319,49.76282880551962,31.938886157826825,30.286865890469873,-3.3832117291937847,50.23717119448038,0.8193163967625916,False
5.0,False,1817,48.70665932856357,31.73609356081474,30.224269124930995,-2.82210952118899,51.29334067143643,0.2701982562423939,False
5.5,False,1420,47.6056338028169,32.055583802817175,31.933415492957497,-0.16746549295801555,52.3943661971831,0.07114784797388651,False
6.0,False,1112,49.010791366906474,32.79130035971252,33.15045953237384,1.2374739208630163,50.989208633093526,0.5094231585898537,False
6.5,False,892,48.87892376681614,33.142154147982374,33.230841367712735,1.1665700672642707,51.12107623318386,0.503081231912279,False
7.0,False,722,46.67590027700831,33.48147091412775,34.090088642659,2.1536897506922226,53.32409972299169,0.07403855644782276,False
7.5,False,567,48.67724867724868,35.33201058201072,35.829472663139256,1.6202134038799636,51.32275132275132,0.5287333251214292,False
8.0,False,459,50.108932461873636,36.464296296296645,38.08925490196046,1.780529411764371,49.891067538126364,0.9627714564853711,False
8.5,False,390,49.48717948717949,36.08488461538512,40.76997435897388,7.604294871794356,50.51282051282051,0.8394884363242661,False
9.0,False,317,49.52681388012618,37.50266561514248,44.344842271292876,10.789716088327525,50.47318611987382,0.8661924712241882,False
9.5,False,271,45.75645756457565,37.100138376384294,49.728551660516075,16.252666051659972,54.24354243542435,0.1623683183606779,False
10.0,False,217,43.31797235023041,39.34626728110707,51.23942396313256,16.846682027648672,56.68202764976959,0.048993494708753804,True
