level,is_key,n_touches,pct_continuation,avg_continuation_pips,avg_reversion_pips,avg_fade_pnl_pips,pct_mean_reversion,p_value,significant
-4.0,False,2,0.0,14.300000000002111,524.7999999999993,524.7999999999993,100.0,0.15729920705028522,False
-3.5,False,2,0.0,117.45000000000175,421.6499999999996,421.6499999999996,100.0,0.15729920705028522,False
-3.0,False,4,25.0,133.07500000000158,431.67499999999893,284.3749999999987,75.0,0.31731050786291415,False
-2.5,False,13,7.6923076923076925,126.50384615384698,433.78076923076844,388.45769230769145,92.3076923076923,0.0022819372533153803,True
-2.0,False,32,15.625,157.87812500000032,443.1124999999995,408.5249999999994,84.375,0.00010062192211957033,True
-1.5,False,75,38.666666666666664,184.65070000000034,318.0766999999996,141.93936666666633,61.333333333333336,0.04964722965745616,True
-1.0,False,202,43.06930693069307,179.34878217821793,220.11133663366326,58.42591584158404,56.93069306930693,0.04882999045688474,True
-0.5,False,542,48.154981549815496,180.8744584870849,191.9835101476014,2.814940036900297,51.845018450184504,0.3902999339196016,False
-0.25,False,876,49.31506849315068,186.76306678082193,187.75862728310497,-4.268644406392718,50.68493150684932,0.6851523298988411,False
0.0,True,1441,46.98126301179737,190.54817765440666,189.88201943095072,-0.35481540596809286,53.01873698820263,0.021913973682119003,True
0.25,True,1965,49.262086513994916,185.77311628498725,194.74835903307888,9.773942239185759,50.737913486005084,0.512976964013139,False
0.5,True,2133,50.210970464135016,191.87047773089543,198.8675086732302,6.979323488045027,49.789029535864984,0.8454939839779023,False
0.75,True,2064,50.048449612403104,196.03426841085275,202.70806637596897,7.742601259689903,49.951550387596896,0.964886432722533,False
1.0,True,1586,51.891551071878936,191.9275491803279,186.2849003783102,-11.866779949558667,48.108448928121064,0.13191170860162527,False
1.25,False,987,50.050658561296856,174.74685131712263,166.198290526849,-12.730037740628193,49.949341438703144,0.9746073425324053,False
1.5,False,582,50.85910652920962,172.6908917525774,166.94898797250858,-10.016209621993173,49.14089347079038,0.678498202293011,False
2.0,False,216,44.44444444444444,170.66074074074075,204.31469907407416,41.06657407407407,55.55555555555556,0.10247043485974916,False
2.5,False,75,45.33333333333333,190.12500000000003,250.6117333333334,88.88966666666671,54.66666666666667,0.41892344094638223,False
3.0,False,28,53.57142857142857,241.75428571428606,308.66232142857115,125.09749999999966,46.42857142857143,0.7054569861112734,False
3.5,False,13,76.92307692307693,267.3686538461542,297.4325,9.694038461538202,23.076923076923066,0.05220363534131467,False
4.0,False,10,50.0,181.62,354.7900000000004,156.07000000000014,50.0,1.0,False
4.5,False,5,60.0,190.50999999999996,183.63000000000065,35.44999999999974,40.0,0.6547208460185772,False
5.0,False,5,40.0,91.04000000000069,265.09999999999974,202.27999999999977,60.0,0.6547208460185772,False
5.5,False,2,0.0,63.04999999999774,450.8500000000017,450.8500000000017,100.0,0.15729920705028522,False
