pair,date,band,depth,gex,base,atr,rng,absret,fwd_date,rng_atr,ret_atr,cvol,rng_cvol,ret_cvol
AUD/USD,2026-07-28,long,0.004159226664970213,4765943344.661373,0.69732,0.0036074999999999914,0.006680000000000019,0.0014600000000000168,2026-07-29,1.8516978516978615,0.4047124047124103,8.1962,1.8553765533729942,0.4055164323240412
AUD/USD,2026-07-29,long,0.0015442956660333066,3938222304.907983,0.69586,0.003755499999999995,0.00869999999999993,0.007039999999999935,2026-07-30,2.316602316602301,1.874583943549446,7.4739,2.65552483592077,2.1488384879174944
AUD/USD,2026-07-30,long,0.002713127989048955,4169005183.366556,0.7029,0.003994999999999993,0.005330000000000057,0.000140000000000029,2026-07-31,1.3341677096370628,0.03504380475595224,7.7843,1.5463734022888351,0.040617687865005525
AUD/USD,2026-07-31,long,0.014396095491912632,12454767713.667068,0.70304,0.004060999999999998,0.0011399999999999189,0.0015600000000000058,2026-08-02,0.28071903472049237,0.3841418369859657,7.7085,0.33392982490202266,0.45695660249753894
AUD/USD,2026-08-01,long,0.014396095491912632,12454767713.667068,0.70304,0.004060999999999998,0.0011399999999999189,0.0015600000000000058,2026-08-02,0.28071903472049237,0.3841418369859657,,,
AUD/USD,2026-08-02,long,0.013970599098066454,13179179457.039595,0.7046,0.004049499999999995,0.006630000000000025,0.0046800000000000175,2026-08-03,1.6372391653290612,1.1556982343499256,,,
AUD/USD,2026-08-03,long,0.014396095491912632,12454767713.667068,0.69992,0.004200499999999996,0.005309999999999926,0.005029999999999979,2026-08-04,1.264135221997365,1.1974764908939373,7.9396,1.516867914002661,1.4368824119460375
AUD/USD,2026-08-04,long,0.008200393570884371,8948093579.079317,0.70495,0.004364999999999991,0.0024799999999999267,0.0008500000000000174,2026-08-05,0.5681557846506143,0.1947308132875187,7.4215,0.7524920994579772,0.25791059860456156
AUD/USD,2026-08-05,long,0.010581764777584464,5742990663.4992485,0.7058,0.004306999999999989,0.0037599999999999856,0.0028199999999999337,2026-08-06,0.872997446018109,0.6547480845135688,7.4551,1.1343654434871613,0.8507740826153543
AUD/USD,2026-08-06,long,0.012506506938268228,5945865019.214559,0.70298,0.0040939999999999865,0.005530000000000035,0.003869999999999929,2026-08-07,1.3507572056668424,0.9452857840742408,7.2603,1.7199976990747101,1.2036873590269375
AUD/USD,2026-08-07,long,0.009084214437212915,5560662782.999589,0.70685,0.004124499999999992,0.0011399999999999189,0.00032999999999994145,2026-08-09,0.2763971390471381,0.08000969814521569,7.0841,0.3614041841405584,0.1046170006722558
AUD/USD,2026-08-08,long,0.009084214437212915,5560662782.999589,0.70685,0.004124499999999992,0.0011399999999999189,0.00032999999999994145,2026-08-09,0.2763971390471381,0.08000969814521569,,,
AUD/USD,2026-08-09,long,0.009084214437212915,5560662782.999589,0.70652,0.004049999999999987,0.0021299999999999653,0.0008799999999999919,2026-08-10,0.525925925925919,0.21728395061728267,,,
AUD/USD,2026-08-10,long,0.013035590456775131,9764173524.574276,0.70564,0.003981499999999988,0.003009999999999957,0.0007499999999999174,2026-08-11,0.7559964837372766,0.18837121687804087,7.1104,0.9523345527709701,0.23729266265055118
AUD/USD,2026-08-11,long,0.011487682647024397,6230720464.138439,0.70639,0.004045999999999983,0.0036999999999999256,0.00012999999999996348,2026-08-12,0.914483440434983,0.03213049925851805,7.0789,1.1746045386399937,0.041269889195448474
AUD/USD,2026-08-12,long,0.011487682647024397,6230720464.138439,0.70626,0.004025499999999982,0.0023600000000000287,4.999999999999449e-05,2026-08-13,0.5862625760775156,0.012420817289776355,6.8428,0.775200093751508,0.016423730799818077
AUD/USD,2026-08-13,long,0.011487682647024397,6230720464.138439,0.70621,0.003982999999999981,0.004029999999999978,0.0023100000000000342,2026-08-14,1.01180015064022,0.5799648506151256,6.6569,1.3608160428245286,0.7800211064329342
AUD/USD,2026-08-14,long,0.011487682647024397,6230720464.138439,0.70852,0.004022499999999979,0.0007500000000000284,0.00027999999999994696,2026-08-16,0.18645121193288558,0.06960845245492812,6.7565,0.2487067880070839,0.09285053418929022
AUD/USD,2026-08-15,long,0.011487682647024397,6230720464.138439,0.70852,0.004022499999999979,0.0007500000000000284,0.00027999999999994696,2026-08-16,0.18645121193288558,0.06960845245492812,,,
AUD/USD,2026-08-16,long,0.011487682647024397,6230720464.138439,0.7088,0.003764499999999976,0.0045000000000000595,0.0017900000000000693,2026-08-17,1.1953778722274109,0.47549475361936,,,
AUD/USD,2026-08-17,long,0.011487682647024397,6230720464.138439,0.71059,0.003814499999999982,0.0037999999999999146,0.0022100000000000453,2026-08-18,0.9961987154279546,0.5793682002883879,7.1066,1.1945460704799093,0.6947228462528192
