position_id,bot,magic,account,ticket,symbol,direction,lots,open_price,close_price,pnl,swap,commission,net,result,time_open,time_close,session,day_of_week,comment,eng_regime,eng_conf,eng_score,eng_vol_z,eng_run_len,eng_decay,eng_bocpd,eng_consensus,eng_slope,eng_1h_regime,eng_exhaustion,eng_exit_type,eng_sig,eng_grade,eng_stars,eng_rr,eng_dist_pips,eng_vu_signal,eng_vu_mf,eng_vu_vwap,eng_vu_conf,eng_htf_bias,eng_zone_score,eng_composition,eng_close_reason
152090813764,RegimeV1,20260002,10011001704,152090813764,XAUUSD,SELL,0.78,4540.74,4502.07,2248.62,0.0,0.0,2248.62,WIN,2026-05-21T12:19:31+00:00,2026-05-21T16:00:03+00:00,NY,Thursday,BSys,,,,,,,,,,,,,,,,,,,,,,,,,
152091011789,RegimeV1,20260002,10011001704,152091011789,EURUSD,SELL,10.34,1.16271,1.1608,1471.37,0.0,0.0,1471.37,WIN,2026-05-21T13:00:01+00:00,2026-05-21T13:31:15+00:00,NY,Thursday,BSys,,,,,,,,,,,,,,,,,,,,,,,,,
152091057557,RegimeV1,20260002,10011001704,152091057557,AUDUSD,BUY,9.78,0.71384,0.71281,-750.1,0.0,0.0,-750.1,LOSS,2026-05-21T13:10:06+00:00,2026-05-21T13:26:01+00:00,NY,Thursday,BSys,,,,,,,,,,,,,,,,,,,,,,,,,
152091084260,RegimeV1,20260002,10011001704,152091084260,USDJPY,BUY,14.15,158.962,159.102,928.02,0.0,0.0,928.02,WIN,2026-05-21T13:16:14+00:00,2026-05-21T13:39:49+00:00,NY,Thursday,BSys,,,,,,,,,,,,,,,,,,,,,,,,,
152091095914,RegimeV1,20260002,10011001704,152091095914,GBPUSD,SELL,8.76,1.34391,1.34165,1475.62,0.0,0.0,1475.62,WIN,2026-05-21T13:18:48+00:00,2026-05-21T13:40:22+00:00,NY,Thursday,BSys,,,,,,,,,,,,,,,,,,,,,,,,,
152091392026,RegimeV1,20260002,10011001704,152091392026,AUDUSD,BUY,9.33,0.71247,0.71541,2042.4,0.0,0.0,2042.4,WIN,2026-05-21T13:56:05+00:00,2026-05-21T20:17:59+00:00,NY_CLOSE,Thursday,BSys,,,,,,,,,,,,,,,,,,,,,,,,,
152091425743,RegimeV1,20260002,10011001704,152091425743,EURUSD,SELL,9.56,1.16088,1.15873,1533.39,0.0,0.0,1533.39,WIN,2026-05-21T14:01:52+00:00,2026-05-21T16:31:54+00:00,NY,Thursday,BSys,,,,,,,,,,,,,,,,,,,,,,,,,
152091474339,RegimeV1,20260002,10011001704,152091474339,USDJPY,BUY,13.7,159.077,159.226,956.56,0.0,0.0,956.56,WIN,2026-05-21T14:09:51+00:00,2026-05-21T16:19:16+00:00,NY,Thursday,BSys,,,,,,,,,,,,,,,,,,,,,,,,,
152091823553,RegimeV1,20260002,10011001704,152091823553,GBPUSD,SELL,7.85,1.34155,1.3429,-789.15,0.0,0.0,-789.15,LOSS,2026-05-21T15:15:02+00:00,2026-05-21T15:46:11+00:00,NY,Thursday,BSys,,,,,,,,,,,,,,,,,,,,,,,,,
152092728240,RegimeV1,20260002,10011001704,152092728240,EURUSD,SELL,8.71,1.15919,1.16043,-804.74,0.0,0.0,-804.74,LOSS,2026-05-21T17:00:45+00:00,2026-05-21T20:15:07+00:00,NY_CLOSE,Thursday,BSys,,,,,,,,,,,,,,,,,,,,,,,,,
152096295355,RegimeV1,20260002,10011001704,152096295355,EURUSD,BUY,18.34,1.16091,1.16031,-820.18,0.0,0.0,-820.18,LOSS,2026-05-22T10:00:02+00:00,2026-05-22T10:12:08+00:00,LONDON,Friday,BSys,,,,,,,,,,,,,,,,,,,,,,,,,
152096295396,RegimeV1,20260002,10011001704,152096295396,USDJPY,BUY,17.29,159.112,159.048,-517.24,0.0,0.0,-517.24,LOSS,2026-05-22T10:00:02+00:00,2026-05-22T16:09:40+00:00,NY,Friday,BSys,,,,,,,,,,,,,,,,,,,,,,,,,
152096295413,RegimeV1,20260002,10011001704,152096295413,AUDUSD,SELL,17.04,0.71359,0.71425,-836.93,0.0,0.0,-836.93,LOSS,2026-05-22T10:00:03+00:00,2026-05-22T11:20:30+00:00,LONDON,Friday,BSys,,,,,,,,,,,,,,,,,,,,,,,,,
152096299725,RegimeV1,20260002,10011001704,152096299725,XAUUSD,BUY,0.99,4523.68,4512.68,-811.26,0.0,0.0,-811.26,LOSS,2026-05-22T10:00:47+00:00,2026-05-22T13:44:44+00:00,NY,Friday,BSys,,,,,,,,,,,,,,,,,,,,,,,,,
152096383907,RegimeV1,20260002,10011001704,152096383907,GBPUSD,SELL,12.68,1.34214,1.34302,-830.84,0.0,0.0,-830.84,LOSS,2026-05-22T10:22:22+00:00,2026-05-22T11:03:09+00:00,LONDON,Friday,BSys,,,,,,,,,,,,,,,,,,,,,,,,,
152096558770,RegimeV1,20260002,10011001704,152096558770,EURUSD,BUY,17.51,1.161,1.16038,-808.74,0.0,0.0,-808.74,LOSS,2026-05-22T11:03:10+00:00,2026-05-22T11:35:21+00:00,LONDON,Friday,BSys,,,,,,,,,,,,,,,,,,,,,,,,,
152096720789,RegimeV1,20260002,10011001704,152096720789,GBPUSD,BUY,11.83,1.34237,1.34412,1540.23,0.0,0.0,1540.23,WIN,2026-05-22T11:35:21+00:00,2026-05-22T16:07:10+00:00,NY,Friday,BSys,,,,,,,,,,,,,,,,,,,,,,,,,
152096862816,RegimeV1,20260002,10011001704,152096862816,EURUSD,SELL,16.24,1.16048,1.16117,-832.99,0.0,0.0,-832.99,LOSS,2026-05-22T12:07:48+00:00,2026-05-22T16:09:40+00:00,NY,Friday,BSys,,,,,,,,,,,,,,,,,,,,,,,,,
152097447379,RegimeV1,20260002,10011001704,152097447379,XAUUSD,SELL,0.88,4513.32,4525.27,-783.34,0.0,0.0,-783.34,LOSS,2026-05-22T13:54:45+00:00,2026-05-22T14:47:45+00:00,NY,Friday,BSys,,,,,,,,,,,,,,,,,,,,,,,,,
152097763344,RegimeV1,20260002,10011001704,152097763344,XAUUSD,SELL,0.89,4520.41,4532.1,-774.93,0.0,0.0,-774.93,LOSS,2026-05-22T14:58:20+00:00,2026-05-22T15:19:11+00:00,NY,Friday,BSys,,,,,,,,,,,,,,,,,,,,,,,,,
152097996319,RegimeV1,20260002,10011001704,152097996319,XAUUSD,BUY,0.93,4521.92,4510.75,-773.26,0.0,0.0,-773.26,LOSS,2026-05-22T15:30:01+00:00,2026-05-22T16:49:50+00:00,NY,Friday,BSys,,,,,,,,,,,,,,,,,,,,,,,,,
152098224268,RegimeV1,20260002,10011001704,152098224268,AUDUSD,SELL,14.07,0.71342,0.71417,-783.84,0.0,0.0,-783.84,LOSS,2026-05-22T16:07:11+00:00,2026-05-22T16:11:23+00:00,NY,Friday,BSys,,,,,,,,,,,,,,,,,,,,,,,,,
152098326994,RegimeV1,20260002,10011001704,152098326994,EURUSD,BUY,12.88,1.16127,1.16047,-766.69,0.0,0.0,-766.69,LOSS,2026-05-22T16:19:43+00:00,2026-05-22T16:40:44+00:00,NY,Friday,BSys,,,,,,,,,,,,,,,,,,,,,,,,,
152098331951,RegimeV1,20260002,10011001704,152098331951,USDJPY,BUY,17.02,159.055,159.174,947.96,0.0,0.0,947.96,WIN,2026-05-22T16:20:37+00:00,2026-05-22T17:06:19+00:00,NY_CLOSE,Friday,BSys,,,,,,,,,,,,,,,,,,,,,,,,,
152098370064,RegimeV1,20260002,10011001704,152098370064,AUDUSD,SELL,12.8,0.71334,0.71176,1506.69,0.0,0.0,1506.69,WIN,2026-05-22T16:26:30+00:00,2026-05-22T17:02:28+00:00,NY_CLOSE,Friday,BSys,,,,,,,,,,,,,,,,,,,,,,,,,
152108677543,RegimeV1,20260002,10011001704,152108677543,XAUUSD,SELL,1.71,4509.41,4515.35,-754.13,0.0,0.0,-754.13,LOSS,2026-05-26T15:14:31+00:00,2026-05-26T15:15:41+00:00,NY,Tuesday,RegimeBot S,BULL,100.0,,1.47,54,0.0,,,,,,regime_shift,,,,,,,,,,,,,
152108694006,RegimeV1,20260002,10011001704,152108694006,XAUUSD,SELL,1.36,4513.61,4519.68,-612.88,0.0,0.0,-612.88,LOSS,2026-05-26T15:16:28+00:00,2026-05-26T15:49:14+00:00,NY,Tuesday,RegimeBot S,BULL,100.0,,1.64,35,0.249,,,,,,regime_shift,,,,,,,,,,,,,
152110906996,RegimeV1,20260002,10011001704,152110906996,XAUUSD,BUY,3.8,4506.33,4503.52,-793.94,-35.6,0.0,-829.54,LOSS,2026-05-26T22:52:43+00:00,2026-05-27T01:05:28+00:00,ASIA,Wednesday,RegimeBot L,BULL,100.0,,-1.69,2,0.0,,,,,,regime_shift,,,,,,,,,,,,,
152105354394,RegimeV1,20260002,10011043879,152105354394,XAUUSD,SELL,4.09,4565.12,4567.22,-636.01,0.0,0.0,-636.01,LOSS,2026-05-25T20:50:38+00:00,2026-05-25T21:03:32+00:00,ASIA_PRE,Monday,RegimeBot S,BEAR,100.0,,-0.04,48,0.197,,,,,,regime_shift,,,,,,,,,,,,,
152105393451,RegimeV1,20260002,10011043879,152105393451,XAUUSD,SELL,3.15,4569.01,4571.57,-597.13,0.0,0.0,-597.13,LOSS,2026-05-25T21:04:39+00:00,2026-05-25T21:06:51+00:00,ASIA_PRE,Monday,RegimeBot S,BEAR,100.0,,-1.32,18,0.022,,,,,,regime_shift,,,,,,,,,,,,,
152108625795,RegimeV1,20260002,10011043879,152108625795,XAUUSD,SELL,1.83,4508.78,4514.31,-751.35,0.0,0.0,-751.35,LOSS,2026-05-26T15:05:39+00:00,2026-05-26T15:15:40+00:00,NY,Tuesday,RegimeBot S,BULL,77.0,,-0.73,45,0.188,,,,,,regime_shift,,,,,,,,,,,,,
152113956928,RegimeV1,20260002,10011043879,152113956928,XAUUSD,BUY,0.69,4436.57,4421.82,-757.03,0.0,0.0,-757.03,LOSS,2026-05-27T15:05:44+00:00,2026-05-27T16:06:57+00:00,NY,Wednesday,RegimeBot L,BULL,94.0,,1.4,94,0.18,,,,,,regime_shift,,,,,,,,,,,,,
152115837677,RegimeV1,20260002,10011043879,152115837677,XAUUSD,BUY,0.61,4452.58,4435.52,-775.88,-17.17,0.0,-793.05,LOSS,2026-05-27T19:42:18+00:00,2026-05-28T04:17:11+00:00,ASIA,Thursday,RegimeBot L,BULL,99.0,,0.79,138,0.0,,,,,,regime_shift,,,,,,,,,,,,,
152120190604,RegimeV1,20260002,10011043879,152120190604,XAUUSD,BUY,0.66,4400.12,4493.12,4564.65,-6.19,0.0,4558.46,WIN,2026-05-28T15:41:17+00:00,2026-05-29T01:00:00+00:00,ASIA,Friday,RegimeBot L,BULL,98.0,,-1.73,40,0.013,,,,,,regime_shift,,,,,,,,,,,,,
152120949185,RegimeV1,20260002,10011043879,152120949185,EURUSD,SELL,5.0,1.16284,1.1635,-245.87,0.0,0.0,-245.87,LOSS,2026-05-28T17:10:31+00:00,2026-05-28T17:12:54+00:00,NY_CLOSE,Thursday,RegimeBot S,BULL,100.0,,-0.25,17,0.0,,,,,,regime_shift,,,,,,,,,,,,,
152120949190,RegimeV1,20260002,10011043879,152120949190,USDJPY,BUY,5.0,159.475,159.424,-119.21,0.0,0.0,-119.21,LOSS,2026-05-28T17:10:31+00:00,2026-05-28T17:12:50+00:00,NY_CLOSE,Thursday,RegimeBot L,BEAR,99.0,,0.26,18,0.0,,,,,,regime_shift,,,,,,,,,,,,,
152121381003,RegimeV1,20260002,10011043879,152121381003,GBPUSD,BUY,4.97,1.34332,1.34166,-614.92,-0.74,0.0,-615.66,LOSS,2026-05-28T17:49:51+00:00,2026-05-29T11:38:23+00:00,LONDON,Friday,RegimeBot L,BULL,90.0,,0.53,149,0.158,,,,,,regime_shift,,,,,,,,,,,,,
152123091720,RegimeV1,20260002,10011043879,152123091720,XAUUSD,BUY,1.14,4499.1,4514.2,1282.78,0.0,0.0,1282.78,WIN,2026-05-29T03:21:55+00:00,2026-05-29T11:14:31+00:00,LONDON,Friday,RegimeBot L,BULL,74.0,,1.07,27,0.246,,,,,,regime_shift,,,,,,,,,,,,,
152124564875,RegimeV1,20260002,10011043879,152124564875,XAUUSD,SELL,0.97,4513.93,4525.32,-823.71,0.0,0.0,-823.71,LOSS,2026-05-29T11:18:50+00:00,2026-05-29T12:11:24+00:00,NY,Friday,RegimeBot S,BEAR,87.0,,0.45,7,0.0,,,,,,regime_shift,,,,,,,,,,,,,
152124857897,RegimeV1,20260002,10011043879,152124857897,XAUUSD,BUY,0.92,4529.37,4517.52,-812.27,0.0,0.0,-812.27,LOSS,2026-05-29T12:17:59+00:00,2026-05-29T15:33:34+00:00,NY,Friday,RegimeBot L,BEAR,100.0,,0.62,51,0.034,,,,,,regime_shift,,,,,,,,,,,,,
152125957735,RegimeV1,20260002,10011043879,152125957735,XAUUSD,SELL,0.84,4517.33,4531.61,-892.46,0.0,0.0,-892.46,LOSS,2026-05-29T15:49:11+00:00,2026-05-29T16:31:10+00:00,NY,Friday,RegimeBot S,BEAR,82.0,,0.92,38,0.204,,,,,,regime_shift,,,,,,,,,,,,,
152126489374,RegimeV1,20260002,10011043879,152126489374,XAUUSD,BUY,0.77,4548.02,4534.12,-796.48,0.0,0.0,-796.48,LOSS,2026-05-29T17:07:56+00:00,2026-05-29T17:23:59+00:00,NY_CLOSE,Friday,RegimeBot L,BEAR,100.0,,1.14,31,0.041,,,,,,regime_shift,,,,,,,,,,,,,
152126697510,RegimeV1,20260002,10011043879,152126697510,XAUUSD,SELL,0.74,4531.57,4545.91,-788.46,0.0,0.0,-788.46,LOSS,2026-05-29T17:34:02+00:00,2026-05-29T17:51:24+00:00,NY_CLOSE,Friday,RegimeBot S,BEAR,94.0,,2.42,92,0.077,,,,,,regime_shift,,,,,,,,,,,,,
152127157849,RegimeV1,20260002,10011043879,152127157849,XAUUSD,BUY,0.48,4588.88,4567.05,-777.74,0.0,0.0,-777.74,LOSS,2026-05-29T18:17:51+00:00,2026-05-29T18:41:51+00:00,NY_CLOSE,Friday,RegimeBot L,BEAR,84.0,,1.6,89,0.218,,,,,,regime_shift,,,,,,,,,,,,,
