pair,date,band,depth,gex,base,atr,rng,absret,fwd_date,rng_atr,ret_atr,cvol,rng_cvol,ret_cvol
AUD/USD,2026-07-28,long,0.004159226664970213,4765943344.661373,0.69732,0.0036074999999999914,0.012250000000000094,0.005719999999999947,2026-07-31,3.3957033957034297,1.5855855855855747,8.1962,1.9644051449986208,0.9172569330115854
AUD/USD,2026-07-29,long,0.0015442956660333066,3938222304.907983,0.69586,0.003755499999999995,0.010359999999999925,0.00873999999999997,2026-08-02,2.758620689655156,2.3272533617361155,7.4739,1.8257034782729935,1.540217027037261
AUD/USD,2026-07-30,long,0.002713127989048955,4169005183.366556,0.7029,0.003994999999999993,0.006630000000000025,0.0029799999999999827,2026-08-03,1.6595744680851154,0.7459324155193962,7.7843,1.1105549781472108,0.4991634743406722
AUD/USD,2026-07-31,long,0.014396095491912632,12454767713.667068,0.70304,0.004060999999999998,0.006630000000000025,0.0019099999999999673,2026-08-04,1.6326028071903542,0.47032750554049946,7.7085,1.1212520742047065,0.32301530342849843
AUD/USD,2026-08-01,long,0.014396095491912632,12454767713.667068,0.70304,0.004060999999999998,0.006630000000000025,0.0019099999999999673,2026-08-04,1.6326028071903542,0.47032750554049946,,,
AUD/USD,2026-08-02,long,0.013970599098066454,13179179457.039595,0.7046,0.004049499999999995,0.008059999999999956,0.0011999999999999789,2026-08-05,1.990369181380409,0.29633288060253865,,,
AUD/USD,2026-08-03,long,0.014396095491912632,12454767713.667068,0.69992,0.004200499999999996,0.006819999999999937,0.0030600000000000627,2026-08-06,1.6236162361623483,0.7284847042018964,7.9396,1.1248043599993236,0.5046776160700928
AUD/USD,2026-08-04,long,0.008200393570884371,8948093579.079317,0.70495,0.004364999999999991,0.005530000000000035,0.0019000000000000128,2026-08-07,1.2668957617411332,0.43528064146621226,7.4215,0.9687568082676831,0.3328459196579744
AUD/USD,2026-08-05,long,0.010581764777584464,5742990663.4992485,0.7058,0.004306999999999989,0.005530000000000035,0.0007200000000000539,2026-08-09,1.2839563501277105,0.1671697237056085,7.4551,0.9632292164060395,0.12541139888108427
AUD/USD,2026-08-06,long,0.012506506938268228,5945865019.214559,0.70298,0.0040939999999999865,0.005530000000000035,0.0026599999999999957,2026-08-10,1.3507572056668424,0.6497313141182228,7.2603,0.9930411345663209,0.47766535586734044
AUD/USD,2026-08-07,long,0.009084214437212915,5560662782.999589,0.70685,0.004124499999999992,0.003489999999999993,0.00046000000000001595,2026-08-11,0.8461631712934902,0.11152867014183947,7.0841,0.6387826688327912,0.08419485033326496
AUD/USD,2026-08-08,long,0.009084214437212915,5560662782.999589,0.70685,0.004124499999999992,0.003489999999999993,0.00046000000000001595,2026-08-11,0.8461631712934902,0.11152867014183947,,,
AUD/USD,2026-08-09,long,0.009084214437212915,5560662782.999589,0.70652,0.004049999999999987,0.005179999999999962,0.000260000000000038,2026-08-12,1.2790123456790072,0.06419753086420711,,,
AUD/USD,2026-08-10,long,0.013035590456775131,9764173524.574276,0.70564,0.003981499999999988,0.005179999999999962,0.0005699999999999594,2026-08-13,1.3010172045711361,0.14316212482731663,7.1104,0.9462201202248138,0.10412074682009834
AUD/USD,2026-08-11,long,0.011487682647024397,6230720464.138439,0.70639,0.004045999999999983,0.005199999999999982,0.0021300000000000763,2026-08-14,1.2852199703410787,0.5264458724666548,7.0789,0.9530872654569927,0.3903992068122066
AUD/USD,2026-08-12,long,0.011487682647024397,6230720464.138439,0.70626,0.004025499999999982,0.005199999999999982,0.0025399999999999867,2026-08-16,1.2917649981368788,0.630977518320705,6.8428,0.9861535214308883,0.4816980662373946
AUD/USD,2026-08-13,long,0.011487682647024397,6230720464.138439,0.70621,0.003982999999999981,0.007410000000000028,0.0043800000000000505,2026-08-17,1.8604067285965509,1.09967361285465,6.6569,1.4446144513745702,0.8539016595169591
AUD/USD,2026-08-14,long,0.011487682647024397,6230720464.138439,0.70852,0.004022499999999979,0.0049000000000000155,0.000140000000000029,2026-08-18,1.218147917961477,0.034804226227477864,6.7565,0.9381274159004577,0.026803640454304258
AUD/USD,2026-08-15,long,0.011487682647024397,6230720464.138439,0.70852,0.004022499999999979,0.0049000000000000155,0.000140000000000029,2026-08-18,1.218147917961477,0.034804226227477864,,,
AUD/USD,2026-08-16,long,0.011487682647024397,6230720464.138439,0.7088,0.003764499999999976,0.006269999999999998,0.0036399999999999766,2026-08-19,1.665559835303503,0.9669278788683755,,,
AUD/USD,2026-08-17,long,0.011487682647024397,6230720464.138439,0.71059,0.003814499999999982,0.006589999999999985,0.0009499999999998954,2026-08-20,1.7276182985974613,0.2490496788569668,7.1066,1.1960355669376541,0.17241787383773124
AUD/USD,2026-08-18,long,0.011487682647024397,6230720464.138439,0.70838,0.0038889999999999814,0.011329999999999951,0.008680000000000021,2026-08-21,2.9133453329904873,2.2319362303934334,7.0764,2.071528382289928,1.5870138003774665
EUR/USD,2026-07-28,short,-0.002982563536248055,-63845857145.48735,1.13854,0.00445350000000001,0.017300000000000093,0.014519999999999866,2026-07-31,3.8845851577411143,3.2603570225664833,6.3403,2.1964819837293375,1.8435212950144229
EUR/USD,2026-07-29,short,-0.0009541696736853776,-64246352415.13149,1.14714,0.004751000000000005,0.012459999999999916,0.007709999999999884,2026-08-02,2.622605767206883,1.6228162492106661,5.3974,1.8444065551142852,1.1412820658050578
EUR/USD,2026-07-30,short,-0.0003499830384820101,-57901314457.02393,1.15286,0.005035499999999993,0.0103899999999999,0.0019700000000000273,2026-08-03,2.0633502134842447,0.39122232151723363,5.7166,1.4449100593057544,0.27396273501755564
EUR/USD,2026-07-31,long,0.0070029838732217735,26734997382.012615,1.15306,0.00529599999999999,0.005859999999999976,0.00022999999999995246,2026-08-04,1.1064954682779433,0.04342900302113914,5.6455,0.8250550763066171,0.03238270777312005
EUR/USD,2026-08-01,long,0.0070029838732217735,26734997382.012615,1.15306,0.00529599999999999,0.005859999999999976,0.00022999999999995246,2026-08-04,1.1064954682779433,0.04342900302113914,,,
EUR/USD,2026-08-02,long,0.006742175769943354,41334293624.66861,1.15485,0.005277499999999979,0.005900000000000016,0.0006300000000001305,2026-08-05,1.117953576504034,0.11937470393181107,,,
EUR/USD,2026-08-03,long,0.006745304785878081,23921534161.922165,1.15089,0.005309499999999978,0.005749999999999922,0.0012799999999999478,2026-08-06,1.0829644975986337,0.2410773142480371,5.4489,0.8403589572986311,0.1870712113638641
EUR/USD,2026-08-04,long,0.004612140136816018,-34407776858.87875,1.15329,0.005335999999999985,0.006610000000000005,0.0025100000000000122,2026-08-07,1.23875562218891,0.4703898050974549,5.2672,0.9972929913628751,0.37869975920133536
EUR/USD,2026-08-05,long,0.006600978054524127,-8698392847.894045,1.15548,0.005157499999999993,0.006610000000000005,8.999999999992347e-05,2026-08-09,1.2816286960736818,0.01745031507511849,5.3597,0.9782237174732877,0.01331923367209092
EUR/USD,2026-08-06,long,0.008773279202569683,28291733444.283653,1.15217,0.004959499999999994,0.006310000000000038,0.0022100000000000453,2026-08-10,1.2723056759754099,0.4456094364351341,5.4503,0.9209414740088564,0.3225484401837721
EUR/USD,2026-08-07,long,0.00595775444357991,34440891119.605446,1.1558,0.004893000000000003,0.003509999999999902,0.0014600000000000168,2026-08-11,0.7173513182096668,0.2983854486000441,5.2184,0.5333676901340036,0.22185664603865413
EUR/USD,2026-08-08,long,0.00595775444357991,34440891119.605446,1.1558,0.004893000000000003,0.003509999999999902,0.0014600000000000168,2026-08-11,0.7173513182096668,0.2983854486000441,,,
EUR/USD,2026-08-09,long,0.00595775444357991,34440891119.605446,1.15557,0.004724499999999998,0.004589999999999872,0.0028999999999999027,2026-08-12,0.9715313789818762,0.6138215684199183,,,
EUR/USD,2026-08-10,long,0.00895255804474925,56852921264.09376,1.15438,0.004714499999999999,0.005159999999999831,0.0012199999999999989,2026-08-13,1.094495704740658,0.25877611623714053,5.1133,0.8011969309744068,0.18943028212961383
EUR/USD,2026-08-11,long,0.007719362852857689,32935283042.97911,1.15434,0.004739499999999985,0.007359999999999811,0.0027000000000001467,2026-08-14,1.552906424728312,0.5696803460280948,5.164,1.1316118294278998,0.41512933959994214
EUR/USD,2026-08-12,long,0.007719362852857689,32935283042.97911,1.15267,0.004721499999999978,0.007359999999999811,0.00478999999999985,2026-08-16,1.5588266440749434,1.0145081012389858,4.9969,1.1711480752436838,0.7622009891871214
EUR/USD,2026-08-13,long,0.007719362852857689,32935283042.97911,1.15316,0.004733999999999972,0.008259999999999934,0.004709999999999992,2026-08-17,1.744824672581323,0.9949302915082425,4.8873,1.343263216954518,0.7659527544619635
EUR/USD,2026-08-14,long,0.007719362852857689,32935283042.97911,1.15704,0.004885499999999976,0.005019999999999802,0.0005999999999999339,2026-08-18,1.0275304472418028,0.12281240405279642,5.0971,0.780138719029412,0.09324367159713427
EUR/USD,2026-08-15,long,0.007719362852857689,32935283042.97911,1.15704,0.004885499999999976,0.005019999999999802,0.0005999999999999339,2026-08-18,1.0275304472418028,0.12281240405279642,,,
EUR/USD,2026-08-16,long,0.007719362852857689,32935283042.97911,1.15746,0.004581499999999972,0.011419999999999986,0.010059999999999958,2026-08-19,2.492633417003177,2.1957874058714437,,,
EUR/USD,2026-08-17,long,0.007719362852857689,32935283042.97911,1.15787,0.004615999999999965,0.014389999999999903,0.01046999999999998,2026-08-20,3.1174176776429836,2.2681975736568587,5.345,2.131046497661644,1.5505251445807864
EUR/USD,2026-08-18,long,0.007719362852857689,32935283042.97911,1.15764,0.004576499999999961,0.014140000000000041,0.010019999999999918,2026-08-21,3.0896973669835384,2.189446083251394,5.2845,2.118417842680238,1.5011702110081862
GBP/USD,2026-07-28,short,-0.0031659519666888103,-4884399616.866384,1.32849,0.006737500000000007,0.021649999999999947,0.019889999999999963,2026-07-31,3.213358070500916,2.9521335807050004,6.7739,2.204958769342378,2.0257103890170867
GBP/USD,2026-07-29,short,-0.0034637337087848994,-5505614845.919004,1.33694,0.006936500000000012,0.017349999999999977,0.012659999999999894,2026-08-02,2.5012614430908884,1.8251279463706296,6.0404,1.9690715896531732,1.4367980590783285
GBP/USD,2026-07-30,long,0.0003803267692042426,-3966923275.871514,1.34672,0.007391000000000014,0.010619999999999852,0.0037199999999999456,2026-08-03,1.4368826951697784,0.5033148423758542,5.9992,1.2047404972308045,0.4219994962051402
GBP/USD,2026-07-31,long,0.00191654202854579,12533912050.64561,1.34838,0.007425500000000007,0.008889999999999842,0.0032399999999999096,2026-08-04,1.197225776041995,0.43633425358560457,5.9666,1.0127498278802183,0.3691011746155089
GBP/USD,2026-08-01,long,0.00191654202854579,12533912050.64561,1.34838,0.007425500000000007,0.008889999999999842,0.0032399999999999096,2026-08-04,1.197225776041995,0.43633425358560457,,,
GBP/USD,2026-08-02,long,0.0017621085261190245,12449315244.434952,1.3496,0.007294,0.008549999999999836,0.0028799999999999937,2026-08-05,1.1721963257471668,0.39484507814642084,,,
GBP/USD,2026-08-03,long,0.00191654202854579,12533912050.64561,1.343,0.00742299999999999,0.006659999999999888,0.0021299999999999653,2026-08-06,0.8972113700659972,0.28694597871480104,5.9986,0.7576837208504618,0.24232227108280543
GBP/USD,2026-08-04,short,-0.0008916741268225228,2426636922.044022,1.34514,0.007442999999999989,0.007460000000000022,0.0041400000000000325,2026-08-07,1.0022840252586367,0.5562273276904526,5.7073,0.890595059575556,0.49424444324970773
GBP/USD,2026-08-05,short,-0.0016671652154586925,-1384260199.521981,1.34672,0.007307499999999978,0.007460000000000022,0.0021800000000000708,2026-08-09,1.020868970236065,0.2983236400958026,5.7265,0.8865676813394933,0.25907741894372016
GBP/USD,2026-08-06,short,-0.0003009247398728123,-1396489773.41518,1.34513,0.006976499999999985,0.009640000000000093,0.005770000000000053,2026-08-10,1.3817816956926987,0.8270622805131607,5.7205,1.1482023417352096,0.6872538912668212
GBP/USD,2026-08-07,short,-0.0014176507531572541,-903114098.6084015,1.34928,0.006461499999999986,0.0047600000000000975,0.0017400000000000748,2026-08-11,0.7366710516134191,0.26928731718642396,5.4229,0.5962287541398642,0.217949166429283
GBP/USD,2026-08-08,short,-0.0014176507531572541,-903114098.6084015,1.34928,0.006461499999999986,0.0047600000000000975,0.0017400000000000748,2026-08-11,0.7366710516134191,0.26928731718642396,,,
GBP/USD,2026-08-09,short,-0.0014176507531572541,-903114098.6084015,1.3489,0.006108499999999994,0.006280000000000063,0.0007200000000000539,2026-08-12,1.028075632315637,0.11786854383237368,,,
GBP/USD,2026-08-10,long,0.0011845462271019222,-1093825201.1302507,1.3509,0.006072999999999995,0.007170000000000121,0.0020199999999999108,2026-08-13,1.1806356001976168,0.3326197925242734,5.4513,0.8923505875098584,0.25140142074892663
GBP/USD,2026-08-11,short,-0.0009720697135889024,-679901897.5624721,1.35102,0.0061249999999999916,0.008770000000000167,0.0023199999999998777,2026-08-14,1.4318367346939067,0.3787755102040622,5.4315,1.0953620098153443,0.28976509267633027
GBP/USD,2026-08-12,short,-0.0009720697135889024,-679901897.5624721,1.34962,0.006071999999999989,0.008770000000000167,0.0047200000000000575,2026-08-16,1.44433465085642,0.7773386034255708,5.4129,1.1002660870455112,0.5921614516368047
GBP/USD,2026-08-13,short,-0.0009720697135889024,-679901897.5624721,1.34888,0.005784999999999996,0.008340000000000014,0.005549999999999944,2026-08-17,1.4416594641313778,0.9593777009507256,5.1509,1.100143303932918,0.732109752617221
GBP/USD,2026-08-14,short,-0.0009720697135889024,-679901897.5624721,1.35334,0.0059520000000000016,0.00515000000000021,1.999999999990898e-05,2026-08-18,0.8652553763441211,0.0033602150537481476,5.2821,0.6602878941210972,0.002564224831526467
GBP/USD,2026-08-15,short,-0.0009720697135889024,-679901897.5624721,1.35334,0.0059520000000000016,0.00515000000000021,1.999999999990898e-05,2026-08-18,0.8652553763441211,0.0033602150537481476,,,
GBP/USD,2026-08-16,short,-0.0009720697135889024,-679901897.5624721,1.35434,0.0055435000000000016,0.011090000000000044,0.006009999999999849,2026-08-19,2.0005411743483434,1.0841526111662032,,,
GBP/USD,2026-08-17,short,-0.0009720697135889024,-679901897.5624721,1.35443,0.005504500000000001,0.014010000000000078,0.009190000000000031,2026-08-20,2.5451902988464123,1.6695431010991062,5.5196,1.717566685200121,1.1266550918621754
GBP/USD,2026-08-18,short,-0.0009720697135889024,-679901897.5624721,1.35336,0.0055135000000000045,0.015220000000000011,0.01118000000000019,2026-08-21,2.7604969620023576,2.0277500680149054,5.4641,1.886350190574458,1.3856369993838884
NAS100_USD,2026-07-28,short,-0.0003856481489785705,-1641776.2964290883,27638.0,558.2250000000006,1519.2000000000007,553.7999999999993,2026-07-31,2.7214832728738396,0.9920730888082738,,,
