Date, ISO BE,ISO BE Change %,DAX,DAX Change %
01/04/2014,102,0.196463654,9603.23,0.495190934
01/05/2014,100.6,-1.37254902,9943.27,3.540891971
01/06/2014,100.1,-0.497017893,9833.07,-1.108287314
01/07/2014,99.8,-0.2997003,9407.48,-4.328149805
01/08/2014,98,-1.803607214,9470.17,0.666384622
01/09/2014,97,-1.020408163,9474.3,0.043610622
01/10/2014,95.9,-1.134020619,9326.87,-1.556104409
01/11/2014,95.9,0,9980.85,7.011784232
01/12/2014,98.1,2.294056309,9805.55,-1.756363436
01/01/2015,98.9,0.815494393,10694.32,9.063948478
01/02/2015,99.5,0.606673407,11401.66,6.614165277
01/03/2015,99.6,0.100502513,11966.17,4.951121153
01/04/2015,100,0.401606426,11454.38,-4.27697417
01/05/2015,100.2,0.2,11413.82,-0.354100353
01/06/2015,100.1,-0.099800399,10944.97,-4.107739565
01/07/2015,98.7,-1.398601399,11308.99,3.325911355
01/08/2015,100.3,1.621073961,10259.46,-9.280492776
01/09/2015,99.2,-1.09670987,9660.44,-5.83870886
01/10/2015,101,1.814516129,10850.14,12.31517405
01/11/2015,101.6,0.594059406,11382.23,4.903992022
01/12/2015,100.8,-0.787401575,10743.01,-5.615946963
01/01/2016,99.3,-1.488095238,9798.11,-8.795486554
01/02/2016,97.6,-1.711983887,9495.4,-3.089473378
01/03/2016,98.8,1.229508197,9965.51,4.950923605
01/04/2016,99.9,1.113360324,10038.97,0.737142404
01/05/2016,99.4,-0.500500501,10262.74,2.229013534
01/06/2016,99,-0.402414487,9680.09,-5.677333733
01/07/2016,100.1,1.111111111,10337.5,6.791362477
01/08/2016,99.8,-0.2997003,10592.69,2.468585248
01/09/2016,101,1.20240481,10511.02,-0.7710034
01/10/2016,101.9,0.891089109,10665.01,1.465033841
01/11/2016,101,-0.883218842,10640.3,-0.231692235
01/12/2016,100.2,-0.792079208,11481.06,7.901656908
01/01/2017,100.7,0.499001996,11535.31,0.472517346
01/02/2017,100,-0.695134062,11834.41,2.59290821
01/03/2017,100.4,0.4,12312.87,4.042956092
01/04/2017,102.2,1.792828685,12438.01,1.016334941
01/05/2017,101,-1.174168297,12615.06,1.423459219
01/06/2017,100.7,-0.297029703,12325.12,-2.298364019
01/07/2017,101,0.297914598,12118.25,-1.678442076
01/08/2017,101.6,0.594059406,12055.84,-0.515008355
01/09/2017,101.9,0.295275591,12828.86,6.411996178
01/10/2017,102.4,0.490677134,13229.57,3.123504349
01/11/2017,103.4,0.9765625,13023.98,-1.554018763
01/12/2017,102.5,-0.87040619,12917.64,-0.816493883
01/01/2018,101.7,-0.780487805,13189.48,2.104409165
01/02/2018,100.6,-1.081612586,12435.85,-5.713871965
01/03/2018,101,0.397614314,12096.73,-2.726954732
01/04/2018,100.6,-0.396039604,12612.11,4.260490232
01/05/2018,99.1,-1.491053678,12604.89,-0.057246567
01/06/2018,97.6,-1.513622603,12306,-2.371222597
01/07/2018,97.5,-0.102459016,12805.5,4.058995612
01/08/2018,100.6,3.179487179,12364.06,-3.447268752
01/09/2018,100.4,-0.198807157,12246.73,-0.948960131
01/10/2018,99.6,-0.796812749,11447.51,-6.525986937
01/11/2018,98.6,-1.004016064,11257.24,-1.662108179
01/12/2018,97.3,-1.318458418,10558.96,-6.202941396
01/01/2019,94.5,-2.877697842,11173.1,5.816292514
01/02/2019,94,-0.529100529,11515.64,3.065756146
01/03/2019,95.8,1.914893617,11526.04,0.090311958
01/04/2019,97,1.252609603,12344.08,7.097320502
01/05/2019,95.3,-1.75257732,11726.84,-5.000291638
01/06/2019,92.6,-2.833158447,12398.8,5.730102909
01/07/2019,91.2,-1.51187905,12189.04,-1.691776624
01/08/2019,91,-0.219298246,11939.28,-2.049053904
01/09/2019,90.9,-0.10989011,12428.08,4.094049222
01/10/2019,92,1.210121012,12866.79,3.529990151
01/11/2019,92.4,0.434782609,13236.38,2.872433606
01/12/2019,94,1.731601732,13249.01,0.095418838
01/01/2020,92.7,-1.382978723,12981.97,-2.015546822
01/02/2020,93.1,0.431499461,11890.35,-8.408739198
01/03/2020,80.1,-13.96348013,9935.84,-16.43778358
01/04/2020,71,-11.360799,10861.64,9.317782895
01/05/2020,80.4,13.23943662,11586.85,6.676800189
01/06/2020,89.9,11.8159204,12310.93,6.249153135
01/07/2020,94.8,5.450500556,12313.36,0.019738558
01/08/2020,96.6,1.898734177,12945.38,5.132798846
01/09/2020,97.7,1.138716356,12760.73,-1.426377596
01/10/2020,95.4,-2.354145343,11556.48,-9.437156025
01/11/2020,93,-2.51572327,13291.16,15.01045301
01/12/2020,94.7,1.827956989,13718.78,3.217326403
01/01/2021,91.8,-3.062302006,13432.87,-2.084077447
01/02/2021,94.5,2.941176471,13786.29,2.631008861
01/03/2021,99.1,4.867724868,15008.34,8.864241214
01/04/2021,97.8,-1.311806256,15135.91,0.84999407
01/05/2021,100.8,3.067484663,15421.13,1.884392812
01/06/2021,102,1.19047619,15531.04,0.712723387
01/07/2021,100.9,-1.078431373,15544.39,0.085956897
01/08/2021,98.5,-2.378592666,15835.09,1.870128065
01/09/2021,99.2,0.710659898,15260.69,-3.627387025
01/10/2021,97,-2.217741935,15688.77,2.805115627
01/11/2021,95,-2.06185567,15100.13,-3.751983106
01/12/2021,93.4,-1.684210526,15884.86,5.196842676
01/01/2022,95.7,2.462526767,15471.2,-2.604114862
01/02/2022,98.3,2.716823406,14461.02,-6.529422411
01/03/2022,83.2,-15.36113937,14414.75,-0.319963599
01/04/2022,85.5,2.764423077,14097.88,-2.198234447
01/05/2022,85.4,-0.116959064,14388.35,2.06038071
01/06/2022,85.1,-0.351288056,12783.77,-11.1519389
01/07/2022,80.4,-5.522914219,13484.05,5.477883285
01/08/2022,81.3,1.119402985,12834.96,-4.813761444
01/09/2022,77.4,-4.79704797,12114.36,-5.614353298
01/10/2022,77,-0.516795866,13253.74,9.405201761
01/11/2022,80.8,4.935064935,14397.04,8.626244366
01/12/2022,84.5,4.579207921,13923.59,-3.288523196
01/01/2023,86.6,2.485207101,15128.27,8.652078954
01/02/2023,88.2,1.847575058,15365.14,1.565744133
01/03/2023,89.8,1.814058957,15628.84,1.716222566
01/04/2023,90.7,1.002227171,15922.38,1.878194415
01/05/2023,87.2,-3.858875413,15664.02,-1.622621744
01/06/2023,83,-4.816513761,16147.9,3.089117608
01/07/2023,83.6,0.722891566,16446.83,1.851200466
01/08/2023,82.8,-0.956937799,15947.08,-3.038579471
01/09/2023,83.7,1.086956522,15386.58,-3.514750036
01/10/2023,84.8,1.314217443,14810.34,-3.745081753
01/11/2023,85.2,0.471698113,16215.43,9.487223116
01/12/2023,85.1,-0.117370892,16751.64,3.306788657
01/01/2024,84.3,-0.940070505,16903.76,0.908090193
01/02/2024,84.8,0.59311981,17678.19,4.58140674
01/03/2024,87.3,2.948113208,18492.49,4.606240797
01/04/2024,89.3,2.290950745,17932.17,-3.029986768
01/05/2024,89.4,0.111982083,18497.94,3.155055969
01/06/2024,88.1,-1.454138702,18235.45,-1.419022875
01/07/2024,86.9,-1.362088536,18508.65,1.498180741
01/08/2024,86.6,-0.345224396,18906.92,2.151804697
01/09/2024,86.7,0.115473441,19324.93,2.210883634
01/10/2024,87.3,0.692041522,19077.54,-1.280159876
01/11/2024,87.1,-0.229095074,19626.45,2.87725776
01/12/2024,84.8,-2.640642939,19909.14,1.440352178
01/01/2025,84.7,-0.117924528,21732.05,9.156146373
01/02/2025,85.8,1.298701299,22551.43,3.770376011
01/03/2025,87.7,2.214452214,22163.49,-1.720245678
01/04/2025,87.3,-0.456100342,22496.98,1.504681799
01/05/2025,88.8,1.718213058,23997.48,6.669784122
01/06/2025,90.3,1.689189189,23909.61,-0.366163447
01/07/2025,90.7,0.442967885,24065.47,0.651871779
01/08/2025,91.4,0.771775083,23902.21,-0.678399383
01/09/2025,89.7,-1.859956236,23880.72,-0.089908004
01/10/2025,91.6,2.118171683,23958.3,0.324864577
01/11/2025,90.5,-1.200873362,23836.79,-0.50717288
01/12/2025,89.7,-0.883977901,24220.62,1.610241983
01/01/2026,89.8,0.11148272017836602,24538.81,1.3137175963084389
01/02/2026,90.4,0.6681514476614795,25284.26,3.0378376218603327
01/03/2026,85.9,-4.97787610619469,22680.04,-10.299770399707512
01/04/2026,83.5,-2.7939464493597272,24292.38,7.109078570948779
01/05/2026,83.9,0.4790419161676715,25104.70,3.3439223766389587
01/06/2026,84.1,0.23837902264599356,24995.81,-0.4337382054498948
