combo,ic_select
vix +smallcap_largecap_oanda,-0.4294277816512082
leg_discretionary_staples_yahoo -vix -smallcap_largecap_oanda,0.4187800333385799
vix +smallcap_largecap_oanda -hy_oas,-0.41115496246809
jordan_composite_yahoo -vix -leg_smallcap_largecap_yahoo,0.4091037656098683
vix -nas_rvol +smallcap_largecap_oanda,-0.40682922420672935
leg_discretionary_staples_yahoo -vix +hy_oas,0.40320269962814514
vix +oil -hy_oas,-0.4020327989705183
jordan_composite_yahoo -vix -smallcap_largecap_oanda,0.3989248317974803
jordan_composite_yahoo -vix +hy_oas,0.39878020093227806
leg_discretionary_staples_yahoo -vix +nas_rvol,0.393862023942353
vix -nas_rvol -hy_oas,-0.39277116601788964
vix +smallcap_largecap_oanda +xauusd_skew,-0.39142731040134193
vix +smallcap_largecap_oanda -leg_hy_ig_credit_yahoo,-0.38318087443349325
leg_discretionary_staples_yahoo -vix +hy_ig_oas_diff,0.38221649391065315
leg_discretionary_staples_yahoo -vix -oil,0.3814850680876069
vix +smallcap_largecap_oanda +nzdjpy,-0.37895739896738057
jordan_composite_yahoo -vix +nas_rvol,0.37892685013359345
vix +oil +smallcap_largecap_oanda,-0.37638930470629794
vix -silver_gold_ratio_oanda +smallcap_largecap_oanda,-0.3748637508896873
leg_discretionary_staples_yahoo +jordan_composite_yahoo +hy_oas,0.37197056046060734
vix -hy_oas +nzdjpy,-0.37166214408259596
leg_discretionary_staples_yahoo -vix -nzdjpy,0.370863111459201
vix -leg_hy_ig_credit_yahoo -hy_oas,-0.36738101132740575
vix -nas_rvol,-0.36682950120547364
vix -hy_oas -be10,-0.36628451706703213
jordan_composite_yahoo -vix -oil,0.3659162375226764
vix +oil -leg_hy_ig_credit_yahoo,-0.3654841339766606
leg_discretionary_staples_yahoo -vix -xauusd_skew,0.3643681615594694
vix +smallcap_largecap_oanda -real10,-0.3629411976837427
vix -em_fx_basket -hy_oas,-0.36135626462536846
leg_discretionary_staples_yahoo -vix +leg_hy_ig_credit_yahoo,0.3611177708909174
vix +oil +xauusd_skew,-0.36078357935288025
jordan_composite_yahoo -vix +hy_ig_oas_diff,0.35982756788973425
vix +smallcap_largecap_oanda +nfci,-0.3589810481539101
