lag_h,train_level_corr,n,key
45,-0.6868033108922434,45765,smallcap_largecap_oanda
48,-0.6873111918673518,45753,smallcap_largecap_oanda
51,-0.6878111379722479,45744,smallcap_largecap_oanda
54,-0.6884595176906587,45744,smallcap_largecap_oanda
57,-0.6888802033705704,45744,smallcap_largecap_oanda
60,-0.6891093563442512,45744,smallcap_largecap_oanda
3,-0.8216684829567805,45928,hy_oas
6,-0.8215439739843683,45917,hy_oas
9,-0.8213065651051111,45905,hy_oas
12,-0.8209506840729572,45893,hy_oas
15,-0.8203962523211332,45881,hy_oas
18,-0.81956272210228,45869,hy_oas
21,-0.818579107606538,45857,hy_oas
24,-0.8177760680428855,45845,hy_oas
27,-0.8166384005809822,45836,hy_oas
30,-0.8154722266402499,45825,hy_oas
33,-0.8143161951879992,45813,hy_oas
36,-0.8131052841492313,45801,hy_oas
39,-0.8118173033927729,45789,hy_oas
42,-0.8105276395909023,45777,hy_oas
45,-0.8092035315433614,45765,hy_oas
48,-0.8084363000489787,45753,hy_oas
51,-0.8072742543619787,45744,hy_oas
54,-0.8061743527690293,45744,hy_oas
57,-0.8050832559212735,45744,hy_oas
60,-0.8040224660750248,45744,hy_oas
3,-0.886184889745603,45928,ig_oas
6,-0.8857565198525302,45917,ig_oas
9,-0.8852940694152314,45905,ig_oas
12,-0.8847840760765332,45893,ig_oas
15,-0.8841816540449315,45881,ig_oas
18,-0.8834820310745618,45869,ig_oas
21,-0.8827870692439929,45857,ig_oas
24,-0.8823572471680279,45845,ig_oas
27,-0.8817731818052561,45836,ig_oas
30,-0.8811384183463832,45825,ig_oas
33,-0.8804880472511746,45813,ig_oas
36,-0.8798096728286429,45801,ig_oas
39,-0.879104574629622,45789,ig_oas
42,-0.8783515393650976,45777,ig_oas
45,-0.8775708797590983,45765,ig_oas
48,-0.8771638043335204,45753,ig_oas
51,-0.8766001773406094,45744,ig_oas
54,-0.8761285710115709,45744,ig_oas
57,-0.8756721730851632,45744,ig_oas
60,-0.8752332686059247,45744,ig_oas
3,-0.7727480297677385,45928,hy_ig_oas_diff
6,-0.7727843142370829,45917,hy_ig_oas_diff
9,-0.7726793228348878,45905,hy_ig_oas_diff
12,-0.7724279324070147,45893,hy_ig_oas_diff
15,-0.7719373983465745,45881,hy_ig_oas_diff
18,-0.7710987676101144,45869,hy_ig_oas_diff
21,-0.770047981882775,45857,hy_ig_oas_diff
24,-0.7690948607503144,45845,hy_ig_oas_diff
27,-0.7677130360927341,45836,hy_ig_oas_diff
30,-0.7663189755864153,45825,hy_ig_oas_diff
33,-0.7649489485387748,45813,hy_ig_oas_diff
36,-0.7635141715488707,45801,hy_ig_oas_diff
39,-0.7619826599960424,45789,hy_ig_oas_diff
42,-0.7604677821325634,45777,hy_ig_oas_diff
45,-0.758915527596397,45765,hy_ig_oas_diff
48,-0.7579768709994968,45753,hy_ig_oas_diff
51,-0.7565044332386995,45744,hy_ig_oas_diff
54,-0.7550546161244959,45744,hy_ig_oas_diff
57,-0.7536120641384554,45744,hy_ig_oas_diff
60,-0.7522061391669966,45744,hy_ig_oas_diff
3,0.7093720746280308,45928,usb02y
6,0.7093279564931884,45917,usb02y
9,0.7092205583441265,45905,usb02y
12,0.7091603734730345,45893,usb02y
15,0.7090170816891025,45881,usb02y
18,0.7088279699506946,45869,usb02y
21,0.7086276879782011,45857,usb02y
24,0.7083298608168517,45845,usb02y
27,0.7080138429496527,45836,usb02y
30,0.7077311886719542,45825,usb02y
33,0.7074749410926676,45813,usb02y
36,0.7072064516827188,45801,usb02y
39,0.7069947984646145,45789,usb02y
42,0.7065863976747797,45777,usb02y
45,0.7062746109319439,45765,usb02y
48,0.7059162837349322,45753,usb02y
51,0.7055535123412949,45744,usb02y
54,0.7052391690636243,45744,usb02y
57,0.70512207363752,45744,usb02y
60,0.7052160264072335,45744,usb02y
3,0.36359499674290635,45928,usb10y
6,0.3633118571944264,45917,usb10y
9,0.36286310336399963,45905,usb10y
12,0.3625428021146487,45893,usb10y
15,0.3619113344550862,45881,usb10y
18,0.36125746243414036,45869,usb10y
21,0.3605302818732245,45857,usb10y
24,0.3599318987967533,45845,usb10y
27,0.35909475409925173,45836,usb10y
30,0.35842908128835116,45825,usb10y
33,0.35796590475734935,45813,usb10y
36,0.35780918816802476,45801,usb10y
39,0.357715085401033,45789,usb10y
42,0.35764038775288737,45777,usb10y
45,0.3576807894347223,45765,usb10y
48,0.35780673379636113,45753,usb10y
51,0.3576200469896902,45744,usb10y
54,0.35733499435475924,45744,usb10y
57,0.35710602406640174,45744,usb10y
60,0.35737185116729203,45744,usb10y
3,0.7496945804423303,45928,slope_2s10s
6,0.7496389755844253,45917,slope_2s10s
9,0.7495906056518501,45905,slope_2s10s
12,0.7495534802867025,45893,slope_2s10s
15,0.7495328783452125,45881,slope_2s10s
18,0.7495730647692436,45869,slope_2s10s
21,0.7496405515660033,45857,slope_2s10s
24,0.7497258047100488,45845,slope_2s10s
27,0.7500206605637245,45836,slope_2s10s
30,0.7502809652265094,45825,slope_2s10s
33,0.750499903682345,45813,slope_2s10s
36,0.7507222491190505,45801,slope_2s10s
39,0.7509258408537351,45789,slope_2s10s
42,0.7510838650589146,45777,slope_2s10s
45,0.7512116849405511,45765,slope_2s10s
48,0.7509962247303463,45753,slope_2s10s
51,0.7507764948453105,45744,slope_2s10s
54,0.7507441907157155,45744,slope_2s10s
57,0.7507096362489767,45744,slope_2s10s
60,0.7506669070283544,45744,slope_2s10s
3,-0.1751511209179245,45928,real10
6,-0.17491346953195877,45917,real10
9,-0.17470272344988955,45905,real10
12,-0.1745159800000468,45893,real10
15,-0.17421577776926953,45881,real10
18,-0.17381450058805245,45869,real10
21,-0.17351685905674621,45857,real10
24,-0.1728689758203166,45845,real10
27,-0.17178947119486201,45836,real10
30,-0.17071954614854215,45825,real10
33,-0.16966039404616348,45813,real10
36,-0.16861917150926306,45801,real10
39,-0.16763320875757098,45789,real10
42,-0.16671155496091208,45777,real10
45,-0.1658169587515343,45765,real10
48,-0.16534295305094937,45753,real10
51,-0.16456407686587485,45744,real10
54,-0.16368510590508287,45744,real10
57,-0.16282287480861507,45744,real10
60,-0.1619380063916158,45744,real10
3,0.12874669610026698,45928,be10
6,0.12813708774508747,45917,be10
9,0.12743207213963945,45905,be10
12,0.12663593655166747,45893,be10
15,0.1257717412680548,45881,be10
18,0.12452286084682729,45869,be10
21,0.12334859866620555,45857,be10
24,0.12291060938542639,45845,be10
27,0.12211605708500788,45836,be10
30,0.12136475711323245,45825,be10
33,0.12063349596683229,45813,be10
36,0.11987692215392363,45801,be10
39,0.11909667457869391,45789,be10
42,0.11845399587707664,45777,be10
45,0.1178144467332058,45765,be10
48,0.11715569308777418,45753,be10
51,0.11582600681601973,45744,be10
54,0.1144686737585314,45744,be10
57,0.11316029598141239,45744,be10
60,0.11185347674417435,45744,be10
3,-0.3593929998001173,45928,fwd5y5y
6,-0.3594816180489215,45917,fwd5y5y
9,-0.35961031343290084,45905,fwd5y5y
12,-0.35978192495546096,45893,fwd5y5y
15,-0.35996175212538045,45881,fwd5y5y
18,-0.36043686751722775,45869,fwd5y5y
21,-0.3607207279520289,45857,fwd5y5y
24,-0.36065653288161476,45845,fwd5y5y
27,-0.360848763975932,45836,fwd5y5y
30,-0.36099405280082575,45825,fwd5y5y
33,-0.3611068019975371,45813,fwd5y5y
36,-0.361283401063583,45801,fwd5y5y
39,-0.36150120285271575,45789,fwd5y5y
42,-0.36163790064363655,45777,fwd5y5y
45,-0.3617476328625704,45765,fwd5y5y
48,-0.3614554706019004,45753,fwd5y5y
51,-0.36159630581355995,45744,fwd5y5y
54,-0.36189625931397723,45744,fwd5y5y
57,-0.3621700277278954,45744,fwd5y5y
60,-0.3624466599703393,45744,fwd5y5y
3,-0.15600132850054554,45928,usd_basket
6,-0.1563103380027085,45917,usd_basket
9,-0.1566008783026665,45905,usd_basket
12,-0.15668261793259733,45893,usd_basket
15,-0.15663831882281792,45881,usd_basket
18,-0.15666604833623268,45869,usd_basket
21,-0.15658810545998222,45857,usd_basket
24,-0.15633056187912808,45845,usd_basket
27,-0.15625418631215915,45836,usd_basket
30,-0.15629775320593822,45825,usd_basket
33,-0.15628729736644725,45813,usd_basket
