combo,target_lag_h,ic_select,n_select
leg_discretionary_staples_yahoo+jordan_composite_yahoo+vix+hy_ig_oas_diff+copper_gold_ratio_yahoo+leg_hy_ig_credit_yahoo+usd_basket,3,0.17597011190142184,12368
leg_discretionary_staples_yahoo+jordan_composite_yahoo+vix+copper_gold_ratio_yahoo+leg_hy_ig_credit_yahoo+usd_basket,3,0.17590494252433955,12368
leg_discretionary_staples_yahoo+jordan_composite_yahoo+vix+hy_ig_oas_diff+copper_gold_ratio_yahoo+leg_hy_ig_credit_yahoo,3,0.17560751743349035,12368
leg_discretionary_staples_yahoo+jordan_composite_yahoo+vix+copper_gold_ratio_yahoo+leg_hy_ig_credit_yahoo,3,0.17555445041714576,12368
leg_discretionary_staples_yahoo+jordan_composite_yahoo+vix+copper_gold_ratio_yahoo+usd_basket,3,0.17444328804993858,12368
leg_discretionary_staples_yahoo+jordan_composite_yahoo+vix+hangseng+leg_hy_ig_credit_yahoo+usd_basket,3,0.17443615905865137,12368
leg_discretionary_staples_yahoo+jordan_composite_yahoo+vix+hangseng+leg_hy_ig_credit_yahoo,3,0.1744035738162042,12368
leg_discretionary_staples_yahoo+jordan_composite_yahoo+vix+hy_ig_oas_diff+copper_gold_ratio_yahoo+usd_basket,3,0.17426938591352323,12368
leg_discretionary_staples_yahoo+jordan_composite_yahoo+vix+hy_ig_oas_diff+hangseng+leg_hy_ig_credit_yahoo+usd_basket,3,0.17414295397576204,12368
leg_discretionary_staples_yahoo+jordan_composite_yahoo+vix+hy_ig_oas_diff+hangseng+leg_hy_ig_credit_yahoo,3,0.17411058005758226,12368
leg_discretionary_staples_yahoo+jordan_composite_yahoo+vix+hy_ig_oas_diff+copper_gold_ratio_yahoo,3,0.1740931999074856,12368
leg_discretionary_staples_yahoo+jordan_composite_yahoo+vix+copper_gold_ratio_yahoo,3,0.17397502353585317,12368
leg_discretionary_staples_yahoo+jordan_composite_yahoo+vix+hangseng,3,0.17321079532339015,12368
leg_discretionary_staples_yahoo+jordan_composite_yahoo+vix+hangseng+usd_basket,3,0.1730399421677508,12368
leg_discretionary_staples_yahoo+jordan_composite_yahoo+vix+hy_ig_oas_diff+hangseng,3,0.173024551679698,12368
leg_discretionary_staples_yahoo+jordan_composite_yahoo+vix+hy_ig_oas_diff+hangseng+usd_basket,3,0.1729812162524404,12368
jordan_composite_yahoo+vix+copper_gold_ratio_yahoo+hangseng+leg_hy_ig_credit_yahoo+usd_basket,3,0.1707210076330462,12368
jordan_composite_yahoo+vix+copper_gold_ratio_yahoo+hangseng+leg_hy_ig_credit_yahoo,3,0.1706715545892169,12368
jordan_composite_yahoo+vix+hy_ig_oas_diff+copper_gold_ratio_yahoo+hangseng+leg_hy_ig_credit_yahoo+usd_basket,3,0.1705924242592832,12368
jordan_composite_yahoo+vix+hy_ig_oas_diff+copper_gold_ratio_yahoo+hangseng+leg_hy_ig_credit_yahoo,3,0.17048915816974344,12368
jordan_composite_yahoo+vix+hy_ig_oas_diff+copper_gold_ratio_yahoo+leg_hy_ig_credit_yahoo,3,0.1687141651024168,12368
jordan_composite_yahoo+vix+copper_gold_ratio_yahoo+leg_hy_ig_credit_yahoo,3,0.16862027653774714,12368
jordan_composite_yahoo+vix+copper_gold_ratio_yahoo+leg_hy_ig_credit_yahoo+usd_basket,3,0.16859937857095883,12368
jordan_composite_yahoo+vix+hy_ig_oas_diff+copper_gold_ratio_yahoo+leg_hy_ig_credit_yahoo+usd_basket,3,0.1684482578851511,12368
jordan_composite_yahoo+vix+copper_gold_ratio_yahoo+hangseng,3,0.16837096444752261,12368
leg_discretionary_staples_yahoo+vix+copper_gold_ratio_yahoo+hangseng+leg_hy_ig_credit_yahoo+usd_basket,3,0.16834961833557874,12368
leg_discretionary_staples_yahoo+vix+hy_ig_oas_diff+copper_gold_ratio_yahoo+hangseng+leg_hy_ig_credit_yahoo+usd_basket,3,0.16827516396754383,12368
jordan_composite_yahoo+vix+copper_gold_ratio_yahoo+hangseng+usd_basket,3,0.16818817321861368,12368
jordan_composite_yahoo+vix+hy_ig_oas_diff+copper_gold_ratio_yahoo+hangseng,3,0.1681639060192485,12368
jordan_composite_yahoo+vix+hy_ig_oas_diff+copper_gold_ratio_yahoo+hangseng+usd_basket,3,0.168034334368429,12368
