time,entry_time,day,r,direction,sl_atr,tp_r,cell,r_bench,r_excess,fold
2020-07-28 14:45:00+00:00,2020-07-28 15:00:00+00:00,2020-07-28 00:00:00+00:00,0.9401507514456091,-1,0.75,1.0,round_10|side-1|dist_dopen_t=mid|sl0.75|tp1.0|d-1,-0.18673413033865408,1.1268848817842632,0
2020-07-29 01:00:00+00:00,2020-07-29 01:15:00+00:00,2020-07-29 00:00:00+00:00,0.9091015660941919,-1,0.75,1.0,round_10|side-1|dist_dopen_t=mid|sl0.75|tp1.0|d-1,-0.18673413033865408,1.095835696432846,0
2020-07-30 01:00:00+00:00,2020-07-30 01:15:00+00:00,2020-07-30 00:00:00+00:00,0.8868572776909197,-1,0.75,1.0,round_10|side-1|dist_dopen_t=mid|sl0.75|tp1.0|d-1,-0.18673413033865408,1.0735914080295739,0
2020-08-02 22:00:00+00:00,2020-08-02 22:15:00+00:00,2020-08-02 00:00:00+00:00,0.8660045725917587,-1,0.75,1.0,round_10|side-1|dist_dopen_t=mid|sl0.75|tp1.0|d-1,-0.18673413033865408,1.0527387029304127,0
2020-08-05 06:30:00+00:00,2020-08-05 06:45:00+00:00,2020-08-05 00:00:00+00:00,-1.1225173555454033,-1,0.75,1.0,round_10|side-1|dist_dopen_t=mid|sl0.75|tp1.0|d-1,-0.18673413033865408,-0.9357832252067493,0
2020-08-06 00:30:00+00:00,2020-08-06 00:45:00+00:00,2020-08-06 00:00:00+00:00,-1.1353353816823237,-1,0.75,1.0,round_10|side-1|dist_dopen_t=mid|sl0.75|tp1.0|d-1,-0.18673413033865408,-0.9486012513436697,0
2020-08-07 00:00:00+00:00,2020-08-07 00:15:00+00:00,2020-08-07 00:00:00+00:00,-1.1098152115829065,-1,0.75,1.0,round_10|side-1|dist_dopen_t=mid|sl0.75|tp1.0|d-1,-0.18673413033865408,-0.9230810812442525,0
2020-08-07 00:45:00+00:00,2020-08-07 01:00:00+00:00,2020-08-07 00:00:00+00:00,0.8901847884170934,-1,0.75,1.0,round_10|side-1|dist_dopen_t=mid|sl0.75|tp1.0|d-1,-0.18673413033865408,1.0769189187557475,0
2020-08-07 03:00:00+00:00,2020-08-07 03:15:00+00:00,2020-08-07 00:00:00+00:00,0.8955145942015892,-1,0.75,1.0,round_10|side-1|dist_dopen_t=mid|sl0.75|tp1.0|d-1,-0.18673413033865408,1.0822487245402432,0
2020-08-10 00:00:00+00:00,2020-08-10 00:15:00+00:00,2020-08-10 00:00:00+00:00,-1.0839431786619311,-1,0.75,1.0,round_10|side-1|dist_dopen_t=mid|sl0.75|tp1.0|d-1,-0.18673413033865408,-0.8972090483232771,0
2020-08-10 03:15:00+00:00,2020-08-10 03:30:00+00:00,2020-08-10 00:00:00+00:00,0.8923485819204915,-1,0.75,1.0,round_10|side-1|dist_dopen_t=mid|sl0.75|tp1.0|d-1,-0.18673413033865408,1.0790827122591455,0
2020-08-12 00:00:00+00:00,2020-08-12 00:15:00+00:00,2020-08-12 00:00:00+00:00,-1.0505353581131238,-1,0.75,1.0,round_10|side-1|dist_dopen_t=mid|sl0.75|tp1.0|d-1,-0.18673413033865408,-0.8638012277744698,0
2020-08-12 06:15:00+00:00,2020-08-12 06:30:00+00:00,2020-08-12 00:00:00+00:00,-1.0426709187050323,-1,0.75,1.0,round_10|side-1|dist_dopen_t=mid|sl0.75|tp1.0|d-1,-0.18673413033865408,-0.8559367883663782,0
2020-08-12 06:45:00+00:00,2020-08-12 07:00:00+00:00,2020-08-12 00:00:00+00:00,-1.0430976278920825,-1,0.75,1.0,round_10|side-1|dist_dopen_t=mid|sl0.75|tp1.0|d-1,-0.18673413033865408,-0.8563634975534284,0
2020-08-14 00:30:00+00:00,2020-08-14 00:45:00+00:00,2020-08-14 00:00:00+00:00,0.9160568213380689,-1,0.75,1.0,round_10|side-1|dist_dopen_t=mid|sl0.75|tp1.0|d-1,-0.18673413033865408,1.102790951676723,0
2020-08-16 22:30:00+00:00,2020-08-16 22:45:00+00:00,2020-08-16 00:00:00+00:00,0.8810858617574832,-1,0.75,1.0,round_10|side-1|dist_dopen_t=mid|sl0.75|tp1.0|d-1,-0.18673413033865408,1.0678199920961373,0
2020-08-20 00:00:00+00:00,2020-08-20 00:15:00+00:00,2020-08-20 00:00:00+00:00,-1.0629021617215977,-1,0.75,1.0,round_10|side-1|dist_dopen_t=mid|sl0.75|tp1.0|d-1,-0.18673413033865408,-0.8761680313829436,0
