date,spike_ratio,join_ok,r0,r1,r5
2016-01-27,7.7173913043497775,True,0.0003060840235607059,-0.0028614876767442676,-0.020652664197165754
2016-03-16,17.58241758241825,True,-0.01171665541079267,-0.013913873789847583,0.001089517803801871
2016-04-27,17.614457831322827,True,0.0014504963445093947,-0.011416478936204214,-0.0049731270358886895
2016-06-15,11.428571428569072,True,-0.0017474647679547365,0.0020485510921797786,-0.00982133174009489
2016-07-27,12.09523809523588,True,0.0007411515385761299,-0.005496060303877704,-0.018813351554800357
2016-09-21,18.82142857142506,True,-0.0006340503623923231,-0.004740928237587231,-0.001722850957703103
2016-11-02,7.938461538458427,True,0.0004123831895826941,-0.0028964827403809004,0.007033217545723734
2016-12-14,15.472527472524126,True,0.006610551794791071,0.013658440752308995,0.019693881340802393
2017-02-01,8.500000000000252,True,-0.0032750706575938324,-0.0010499951539715553,0.0021377946594364804
2017-03-15,22.46666666666072,True,-0.006849654814799524,-0.0026920463436639736,-0.01168186104034783
2017-05-03,6.6197183098567765,True,0.0019293288105549002,-1.2388577627658211e-05,0.004094368176606821
2017-06-14,11.625000000000304,True,0.0020917515315818144,0.007634046014961516,0.009383373213937512
2017-07-26,18.566666666675832,True,-0.004204864543488345,0.0026681650045337654,-0.000779707987763476
2017-09-20,21.45679012345172,True,0.008555982633520354,0.0012666204850351904,0.009795051393344967
2017-11-01,6.583333333334824,True,0.0011609059063781887,-0.0014136917121706073,-0.0017916070618282532
2017-12-13,8.450704225351945,True,-0.0012270456861173343,-0.003001285858723546,-0.0010183834963767085
2018-01-31,8.571428571429175,True,0.0017504829385729102,-0.003339572358382828,0.015287279098017224
2018-03-21,20.984126984122653,True,-0.0011797812076245584,-0.0012700378258299213,0.002011017322140547
2018-05-02,13.333333333331764,True,-0.003259025193545691,0.0011040339564711273,0.006057397812928555
2018-06-13,8.254901960784236,True,0.0057057419246083,0.004641113867459655,0.011490964220552466
2018-08-01,3.298969072166086,True,-0.0003258987135062665,0.004221864656659239,0.0030304849513543473
2018-09-26,11.909090909092988,True,-9.996078533064954e-05,0.006649954439471205,0.014416789442979722
2018-11-08,6.222222222220813,True,0.001964650494410715,0.0036978724921223247,0.0033905486601875333
2018-12-19,14.999999999997645,True,0.003104776700058819,-0.002552882441146493,0.0033657797007684257
2019-01-30,15.611940298503693,True,-0.005344651341755523,-0.0004738846650075821,0.00994582788051916
