date,gross,cost,net,nights
2016-01-27,-0.020652664197165754,0.00016020658925047928,-0.02081287078641623,6
2016-03-16,0.001089517803801871,0.00015955111897639362,0.0009299666848254773,6
2016-04-27,-0.0049731270358886895,0.00015935537927825173,-0.0051324824151669415,6
2016-06-15,-0.00982133174009489,0.0001599709810825297,-0.00998130272117742,6
2016-07-27,-0.018813351554800357,0.00016036230016617435,-0.01897371385496653,6
2016-09-21,-0.001722850957703103,0.00015975911989416145,-0.0018826100775972644,6
2016-11-02,0.007033217545723734,0.00015993069324947478,0.006873286852474259,7
2016-12-14,0.019693881340802393,0.0001587140672404857,0.01953516727356191,6
2017-02-01,0.0021377946594364804,0.0001585718991019447,0.001979222760334536,6
2017-03-15,-0.01168186104034783,0.00015963943336225984,-0.01184150047371009,6
2017-05-03,0.004094368176606821,0.00015985488596638786,0.003934513290640433,6
2017-06-14,0.009383373213937512,0.00015853866529604688,0.009224834548641465,6
2017-07-26,-0.000779707987763476,0.00015647565611190834,-0.0009361836438753844,6
2017-09-20,0.009795051393344967,0.00015596022539157383,0.009639091167953393,6
2017-11-01,-0.0017916070618282532,0.00015823480040782638,-0.0019498418622360795,7
2017-12-13,-0.0010183834963767085,0.00015798591094017008,-0.0011763694073168786,6
2018-01-31,0.015287279098017224,0.00015594141389689374,0.01513133768412033,6
2018-03-21,0.002011017322140547,0.00015683546819895798,0.0018541818539415888,6
2018-05-02,0.006057397812928555,0.0001579759478722513,0.005899421865056304,6
2018-06-13,0.011490964220552466,0.00015856796367624498,0.011332396256876221,6
2018-08-01,0.0030304849513543473,0.00016033536073055993,0.0028701495906237875,6
2018-09-26,0.014416789442979722,0.00016174088278657302,0.014255048560193148,6
2018-11-08,0.0033905486601875333,0.00016061956752289397,0.0032299290926646393,6
2018-12-19,0.0033657797007684257,0.00016135292147158095,0.0032044267792968447,6
2019-01-30,0.00994582788051916,0.0001606775000456341,0.009785150380473525,6
2019-03-20,0.007998645806306555,0.00016057009477535037,0.007838075711531205,6
2019-05-01,0.00522542469012754,0.0001620825863139837,0.005063342103813557,6
2019-06-19,-0.010892492445548824,0.00016506844811257684,-0.011057560893661401,6
2019-07-31,0.0005884364954406922,0.00016590801746160422,0.000422528477979088,6
2019-09-18,0.0030954596045602986,0.00016734213495965335,0.0029281174696006453,6
2019-10-30,0.0005650552038403634,0.00016644437133563048,0.0003986108325047329,7
2019-12-11,0.001734217152183814,0.0001648276804283845,0.0015693894717554297,6
2020-01-29,0.003031997319353106,0.00016618525317868966,0.0028658120661744163,6
2020-04-29,0.008813225704576681,0.00017033036633692589,0.008642895338239755,6
2020-06-10,0.013852627040115275,0.00016527873221868766,0.013687348307896587,6
2020-07-29,-0.0025389174095825063,0.0001646495406022202,-0.0027035669501847266,6
2020-09-16,0.01803272959776254,0.00016405746206259397,0.017868672135699946,6
2020-11-05,0.003803521054562403,0.00016432983992979773,0.0036391912146326055,6
2020-12-16,-0.0018676956790061258,0.0001617534053223112,-0.002029449084328437,6
2021-01-27,0.00555426879760089,0.0001603775634050059,0.0053938912341958845,6
2021-03-17,0.013790951598301484,0.00015848065708821477,0.01363247094121327,6
2021-04-28,0.002706607176217184,0.00015857638808733693,0.0025480307881298467,6
2021-06-16,0.006914198122332423,0.00016010754809701977,0.006754090574235403,6
2021-07-28,-0.005642122028829635,0.00016163318128546893,-0.005803755210115104,6
2021-09-22,0.016197958291648756,0.00016115946443060695,0.01603679882721815,6
2021-11-03,0.007079999184187869,0.00016039961252473022,0.006919599571663139,7
2021-12-15,-0.008367490301298113,0.00016368412442709508,-0.008531174425725208,6
2022-01-26,0.001100802270635405,0.00016395998761737954,0.0009368422830180255,6
2022-03-16,-0.013316260574259551,0.0001626272999762142,-0.013478887874235766,6
2022-05-04,0.013065340463857444,0.00016388014027862315,0.01290146032357882,6
2022-06-15,-0.012241218051447067,0.0001658145349980585,-0.012407032586445125,6
2022-07-27,-0.00638037449146815,0.00016725318080549042,-0.006547627672273641,6
2022-09-21,0.015157315887773746,0.00017146323892125903,0.014985852648852487,6
2022-11-02,0.002145461451172938,0.0001700040319315949,0.001975457419241343,7
2022-12-14,0.006072324113025585,0.00016515793404564945,0.005907166178979935,6
2023-02-01,0.013540673262800897,0.00016505486688901062,0.013375618395911887,6
2023-03-22,0.00020042514767970959,0.00016707651146013108,3.3348636219578505e-05,6
2023-05-03,-0.005838488187266779,0.00016726208687062815,-0.006005750274137407,6
2023-06-14,-0.006204522973505698,0.00016703914408093675,-0.006371562117586634,6
2023-07-26,0.015717329854855265,0.00016757761018124863,0.015549752244674017,6
2023-09-20,0.016480604586733654,0.00016978154771741716,0.016310823039016237,6
2023-11-01,-0.009987878889407017,0.00017060865989010194,-0.010158487549297119,7
2023-12-13,-0.011022356359975624,0.00016777493528904766,-0.011190131295264673,6
2024-01-31,0.007398433852733387,0.00016867134672974652,0.00722976250600364,6
2024-03-20,0.006851406203449638,0.0001677017502001436,0.006683704453249495,6
2024-05-01,-0.0079111721190127,0.00016797596182166079,-0.008079148080834361,6
2024-06-12,0.005227704205244164,0.00016520338262972822,0.005062500822614436,6
2024-07-31,-0.008794011380311523,0.0001686047535611322,-0.008962616133872656,6
2024-09-18,0.0033815039912380835,0.00016651105898243847,0.003214992932255645,6
2024-11-07,0.020697436809939018,0.00016724556742041851,0.0205301912425186,6
2025-01-29,-0.00966192198676064,0.0001717852513459302,-0.009833707238106571,6
2025-03-19,0.006920514296724251,0.00016996094746109307,0.006750553349263158,6
2025-05-07,0.013306139312963695,0.00017009886366344847,0.013136040449300246,6
2025-06-18,-0.003934543251374239,0.0001689811716960024,-0.004103524423070241,6
2025-07-30,-0.0066035268924987045,0.0001701040292488051,-0.006773630921747509,6
2025-09-17,0.01741737253436154,0.00016879539566421942,0.017248577138697322,6
2025-10-29,0.015056772231808735,0.00017042349263402687,0.014886348739174708,7
2025-12-10,-0.001916061980814128,0.00016949707501888938,-0.0020855590558330173,6
