date,R,MAE (R)
5/31/2022,-2.06,-3.49
6/30/2022,11.15,-2.23
7/29/2022,-5.48,-5.72
8/31/2022,-4.81,-5.38
9/30/2022,5.61,-5.69
10/31/2022,-9.41,-9.85
11/30/2022,8.63,-1.74
12/30/2022,-3.29,-4.21
1/31/2023,8.65,0.00
2/28/2023,1.57,-0.14
3/31/2023,1.72,-5.90
4/28/2023,1.88,-0.93
5/31/2023,1.62,-2.57
6/30/2023,-3.09,-4.87
7/31/2023,1.85,-4.28
8/31/2023,3.04,0.00
9/29/2023,-3.51,-5.07
10/31/2023,-3.75,-4.92
11/30/2023,9.49,-0.16
12/29/2023,-3.31,-4.86
1/31/2024,-0.91,-1.48
2/29/2024,4.58,-0.49
3/28/2024,4.61,-0.33
4/30/2024,-3.03,-4.68
5/31/2024,3.16,-0.31
6/28/2024,1.42,-1.55
7/31/2024,-1.50,-2.98
8/30/2024,-2.15,-2.50
9/30/2024,2.21,-3.69
10/31/2024,-1.28,-2.14
11/29/2024,-2.88,-2.95
12/30/2024,-1.44,-4.57
1/31/2025,-9.16,-9.50
2/28/2025,3.77,-2.21
3/31/2025,-1.72,-2.54
4/30/2025,-1.50,-2.00
5/30/2025,6.67,0.00
6/30/2025,-0.37,-3.94
7/31/2025,0.65,-1.21
8/29/2025,-0.68,-2.84
9/30/2025,0.09,-0.61
10/31/2025,0.32,-0.82
11/28/2025,0.51,-2.02
12/30/2025,-2.74,-2.90
1/30/2026,0.20,-0.91
2/27/2026,3.04,-1.08
3/31/2026,10.30,0.00
4/30/2026,-7.11,-9.31
5/29/2026,3.34,-2.04
6/30/2026,-0.43,-4.23
