Year,Month,Date,IFO_Level,DAX_Price,DAX_Return,IFO_Previous,IFO_Direction,Position,Strategy_Return,Cum_Strategy,Cum_BuyHold
2006,2,2006-02-01,102.3,5796.04,2.1481631610021035,101.5,0.7999999999999972,1,2.1481631610021035,0.021481631610021035,0.021481631610021035
2006,3,2006-03-01,102.1,5970.08,3.0027398016576834,102.3,-0.20000000000000284,-1,-3.0027398016576834,-0.009190803908955325,0.052154067128997506
2006,4,2006-04-01,101.8,6009.89,0.6668252351727411,102.1,-0.29999999999999716,-1,-0.6668252351727411,-0.015797769660902627,0.059170095961510016
2006,5,2006-05-01,100.8,5692.86,-5.275138147287228,101.8,-1.0,-1,5.275138147287228,0.03612025763816673,0.0032974101847855763
2006,6,2006-06-01,101.4,5683.31,-0.16775399359898469,100.8,0.6000000000000085,1,-0.16775399359898469,0.034382124527490676,0.0016143387115254981
2006,7,2006-07-01,100.2,5681.97,-0.02357780941036891,101.4,-1.2000000000000028,-1,0.02357780941036891,0.03462600917338676,0.0013781799917171877
2006,8,2006-08-01,100.1,5859.57,3.1256764819243887,100.2,-0.10000000000000853,-1,-3.1256764819243887,0.00228694732878143,0.032678022258840755
2006,9,2006-09-01,100.1,6004.33,2.4704884488111034,100.1,0.0,-1,-2.4704884488111034,-0.022474435928917513,0.058190213512156364
2006,10,2006-10-01,100.0,6268.92,4.406653198608335,100.1,-0.09999999999999432,-1,-4.406653198608335,-0.06555059746527003,0.1048209864032501
2006,11,2006-11-01,101.6,6309.19,0.6423754011855243,100.0,1.5999999999999943,1,0.6423754011855243,-0.05954792436686185,0.11191808464703978
2006,12,2006-12-01,102.3,6596.92,4.560490332356459,101.6,0.7000000000000028,1,4.560490332356459,-0.016658698377166936,0.1626270014010911
2007,1,2007-01-01,102.9,6789.11,2.913329250619978,102.3,0.6000000000000085,1,2.913329250619978,0.01198927139643824,0.1964981539085151
2007,2,2007-02-01,101.3,6715.44,-1.0851201409315836,102.9,-1.6000000000000085,-1,1.0851201409315836,0.02297057080442788,0.1835147114545792
2007,3,2007-03-01,101.6,6917.03,3.0018881860309987,101.3,0.29999999999999716,1,3.0018881860309987,0.053679003515979984,0.21904249975767298
2007,4,2007-04-01,101.3,7408.87,7.1105662401348635,101.6,-0.29999999999999716,-1,-7.1105662401348635,-0.021243539987416682,0.30572332419833814
2007,5,2007-05-01,101.8,7883.04,6.400031313817078,101.3,0.5,1,6.400031313817078,0.04139717993939618,0.389290025818845
2007,6,2007-06-01,100.9,8007.32,1.5765491485518313,101.8,-0.8999999999999915,-1,-1.5765491485518313,0.024979041566018934,0.4111928658918076
2007,7,2007-07-01,101.1,7584.14,-5.28491430341237,100.9,0.19999999999998863,1,-5.28491430341237,-0.02919022240868263,0.3366125322735565
2007,8,2007-08-01,100.6,7638.17,0.712407735089271,101.1,-0.5,-1,-0.712407735089271,-0.03610634635724608,0.3461346633416458
2007,9,2007-09-01,99.7,7861.51,2.9239988112335746,100.6,-0.8999999999999915,-1,-2.9239988112335746,-0.06429058533131604,0.3854956248953585
2007,10,2007-10-01,100.0,8019.22,2.006103153211014,99.7,0.29999999999999716,1,2.006103153211014,-0.04551928925875526,0.41329009631398494
2007,11,2007-11-01,98.7,7870.52,-1.8542950561276528,100.0,-1.2999999999999972,-1,1.8542950561276528,-0.027820400627788344,0.387083527929293
2007,12,2007-12-01,99.8,8067.32,2.5004701087094627,98.7,1.0999999999999943,1,2.5004701087094627,-0.0035113403425147682,0.4217671369279976
2008,1,2008-01-01,97.6,6851.75,-15.067829217137785,99.8,-2.200000000000003,-1,15.067829217137785,0.1466378690628205,0.20753769287029744
2008,2,2008-02-01,97.5,6748.13,-1.512314372240664,97.6,-0.09999999999999432,-1,1.512314372240664,0.16397863835421167,0.18927592679079663
2008,3,2008-03-01,97.3,6534.97,-3.1588010308040926,97.5,-0.20000000000000284,-1,3.1588010308040926,0.2007464075808838,0.15170906655622396
2008,4,2008-04-01,95.7,6948.82,6.332852331380234,97.3,-1.5999999999999943,-1,-6.332852331380234,0.12470491071443335,0.22464510102834723
2008,5,2008-05-01,95.6,7096.79,2.1294262910825257,95.7,-0.10000000000000853,-1,-2.1294262910825257,0.10075514864858404,0.250723015782099
2008,6,2008-06-01,94.3,6418.32,-9.560237797652182,95.6,-1.2999999999999972,-1,9.560237797652182,0.20598995842928836,0.13115092128336348
2008,7,2008-07-01,91.1,6479.56,0.9541437634770666,94.3,-3.200000000000003,-1,-0.9541437634770666,0.19448308045277574,0.14194372725430204
2008,8,2008-08-01,89.7,6422.3,-0.8837019797640622,91.1,-1.3999999999999915,-1,0.8837019797640622,0.20503875108268366,0.13185234792876432
2008,9,2008-09-01,90.1,5831.02,-9.206670507450598,89.7,0.3999999999999915,1,-9.206670507450598,0.09409480378340329,0.027646431624119616
2008,10,2008-10-01,83.8,4987.97,-14.458019351674324,90.1,-6.299999999999997,-1,14.458019351674324,0.25227924224007103,-0.12093088832688625
2008,11,2008-11-01,81.5,4669.44,-6.385964630901963,83.8,-2.299999999999997,-1,6.385964630901963,0.332249351729649,-0.17706793087951533
2008,12,2008-12-01,79.3,4810.2,3.014494243421062,81.5,-2.200000000000003,-1,-3.014494243421062,0.29208877171374437,-0.1522606910286125
2009,1,2009-01-01,81.3,4338.35,-9.80936343603176,79.3,2.0,1,-9.80936343603176,0.1653430881801845,-0.23541852083572012
2009,2,2009-02-01,82.7,3843.74,-11.400878214067578,81.3,1.4000000000000057,1,-11.400878214067578,0.032483741920707576,-0.3225875241225562
2009,3,2009-03-01,82.0,4084.76,6.270455337769998,82.7,-0.7000000000000028,-1,-6.270455337769998,-0.03225768998616685,-0.28011067737017914
2009,4,2009-04-01,84.8,4769.45,16.76206190816596,82.0,2.799999999999997,1,16.76206190816596,0.12995587512986728,-0.15944238344069195
2009,5,2009-05-01,86.6,4940.82,3.593076769858161,84.8,1.7999999999999972,1,3.593076769858161,0.17055605718880607,-0.12924050298282597
2009,6,2009-06-01,90.1,4808.64,-2.675264429790991,86.6,3.5,1,-2.675264429790991,0.13924058736006995,-0.15253562207555338
2009,7,2009-07-01,92.1,5332.14,10.886654022759036,90.1,2.0,1,10.886654022759036,0.2632657685928086,-0.060275107284791796
2009,8,2009-08-01,95.5,5458.04,2.361153308052666,92.1,3.4000000000000057,1,2.361153308052666,0.2930934100774347,-0.038086761893852294
2009,9,2009-09-01,98.2,5675.16,3.977984771089993,95.5,2.700000000000003,1,3.977984771089993,0.3445324690062834,0.0001780002291089655
2009,10,2009-10-01,98.1,5414.96,-4.584892760732739,98.2,-0.10000000000000853,-1,4.584892760732739,0.40617784084345354,-0.04567908849783697
2009,11,2009-11-01,99.5,5625.95,3.8964276744426485,98.1,1.4000000000000057,1,3.8964276744426485,0.46096854338595805,-0.008494664399073315
2009,12,2009-12-01,98.7,5957.43,5.891982687368369,99.5,-0.7999999999999972,-1,-5.891982687368369,0.37488852974175946,0.04992465831886683
2010,1,2010-01-01,98.0,5608.79,-5.852187940101694,98.7,-0.7000000000000028,-1,5.852187940101694,0.45534959046914825,-0.011518905915423816
2010,2,2010-02-01,97.4,5598.46,-0.18417519643274538,98.0,-0.5999999999999943,-1,0.18417519643274538,0.45802998343617785,-0.013339442912154609
2010,3,2010-03-01,99.6,6153.55,9.9150480667898,97.4,2.1999999999999886,1,9.9150480667898,0.6025943571220822,0.08448842557916136
2010,4,2010-04-01,101.1,6135.7,-0.2900764599296446,99.6,1.5,1,-0.2900764599296446,0.5979456081439103,0.08134257994589467
2010,5,2010-05-01,100.4,5964.33,-2.792998353896048,101.1,-0.6999999999999886,-1,2.792998353896048,0.6425762026755237,0.051140699488028796
2010,6,2010-06-01,100.3,5965.52,0.019951947662200098,100.4,-0.10000000000000853,-1,-0.019951947662200098,0.6422484767312542,0.0513504225302468
2010,7,2010-07-01,102.2,6147.97,3.0584089903310963,100.3,1.9000000000000057,1,3.0584089903310963,0.6924751517871783,0.08350501837279589
2010,8,2010-08-01,103.7,5925.22,-3.6231471526373737,102.2,1.5,1,-3.6231471526373737,0.6311542865161062,0.044248037150938835
2010,9,2010-09-01,103.5,6229.02,5.127235781962525,103.7,-0.20000000000000284,-1,-5.127235781962525,0.5475211602788368,0.09778909616418319
2010,10,2010-10-01,104.8,6601.37,5.977665828653622,103.5,1.2999999999999972,1,5.977665828653622,0.6400268038680088,0.1634112598362749
2010,11,2010-11-01,106.1,6688.49,1.3197260568639457,104.8,1.2999999999999972,1,1.3197260568639457,0.6616706649382078,0.17876510138082335
2010,12,2010-12-01,105.6,6914.19,3.374453725728821,106.1,-0.5,-1,-3.374453725728821,0.6055983572758576,0.2185419842619596
2011,1,2011-01-01,103.6,7077.48,2.3616649238739518,105.6,-2.0,-1,-2.3616649238739518,0.5676795040537774,0.24731986288695196
2011,2,2011-02-01,103.1,7272.32,2.752957267275935,103.6,-0.5,-1,-2.752957267275935,0.5245219572193336,0.2816580456984745
2011,3,2011-03-01,102.4,7041.31,-3.1765653876617006,103.1,-0.6999999999999886,-1,3.1765653876617006,0.5729493940396655,0.24094533983063537
2011,4,2011-04-01,101.7,7514.46,6.719630296067058,102.4,-0.7000000000000028,-1,-6.719630296067058,0.46725301001597286,0.324332278843527
2011,5,2011-05-01,101.5,7293.69,-2.9379356600474305,101.7,-0.20000000000000284,-1,2.9379356600474305,0.5103599594203514,0.28542424856586424
2011,6,2011-06-01,101.3,7376.24,1.1318002273197791,101.5,-0.20000000000000284,-1,-1.1318002273197791,0.49326570196628494,0.29997268313315617
2011,7,2011-07-01,101.3,7158.77,-2.948250056939572,101.3,0.0,-1,2.948250056939572,0.537290908874765,0.26164623776248397
2011,8,2011-08-01,97.1,5784.85,-19.192123786628144,101.3,-4.200000000000003,-1,19.192123786628144,0.8323296830665909,0.01950953006177114
2011,9,2011-09-01,95.8,5502.02,-4.889150107608664,97.1,-1.2999999999999972,-1,4.889150107608664,0.9219150317379867,-0.030335821224324544
2011,10,2011-10-01,95.6,6141.34,11.619732389195224,95.8,-0.20000000000000284,-1,-11.619732389195224,0.6985936483023163,0.08233656142329648
2011,11,2011-11-01,95.5,6088.84,-0.8548622938967743,95.6,-0.09999999999999432,-1,0.8548622938967743,0.7131142849281784,0.07308407426662988
2011,12,2011-12-01,95.4,5898.35,-3.1285105208873953,95.5,-0.09999999999999432,-1,3.1285105208873953,0.7667092455669815,0.03951252610523115
2012,1,2012-01-01,96.8,6458.91,9.503674756499692,95.4,1.3999999999999915,1,9.503674756499692,0.9346115461586768,0.13830441563934626
2012,2,2012-02-01,97.9,6856.08,6.149179969994933,96.8,1.1000000000000085,1,6.149179969994933,1.0535742918522755,0.2083008027634088
2012,3,2012-03-01,98.7,6946.83,1.3236426646130228,97.9,0.7999999999999972,1,1.3236426646130228,1.080756277328757,0.2242943877056469
2012,4,2012-04-01,98.6,6761.19,-2.672298012186858,98.7,-0.10000000000000853,-1,2.672298012186858,1.1363602859662665,0.1915775931196737
2012,5,2012-05-01,96.9,6264.38,-7.347966851989063,98.6,-1.6999999999999886,-1,7.347966851989063,1.2933393316181263,0.104020866561511
2012,6,2012-06-01,94.8,6416.28,2.4248209719078373,96.9,-2.1000000000000085,-1,-2.4248209719078373,1.237729958548039,0.13079139606813306
2012,7,2012-07-01,93.7,6772.26,5.54807458527371,94.8,-1.0999999999999943,-1,-5.54807458527371,1.1135790314307794,0.1935285461258509
2012,8,2012-08-01,92.8,6970.79,2.9315176912876995,93.7,-0.9000000000000057,-1,-2.9315176912876995,1.051619088205039,0.22851704660609906
2012,9,2012-09-01,93.4,7216.15,3.5198306074347263,92.8,0.6000000000000085,1,3.5198306074347263,1.1238326048196532,0.2717587656300937
2012,10,2012-10-01,93.7,7260.63,0.6163951691691594,93.4,0.29999999999999716,1,0.6163951691691594,1.136923806397001,0.27959782522492294
2012,11,2012-11-01,92.9,7405.5,1.9952814012007103,93.7,-0.7999999999999972,-1,-1.9952814012007103,1.0942861631301315,0.30512940264180455
2012,12,2012-12-01,95.2,7612.39,2.7937343866045516,92.9,2.299999999999997,1,2.7937343866045516,1.1527949558233992,0.3415912515530952
2013,1,2013-01-01,96.2,7776.05,2.149916123582729,95.2,1.0,1,2.149916123582729,1.1990782416863222,0.3704343381828106
2013,2,2013-02-01,99.3,7741.7,-0.44174098674777396,96.2,3.0999999999999943,1,-0.44174098674777396,1.1893640117621413,0.3643805680145915
2013,3,2013-03-01,98.8,7795.31,0.6924835630417236,99.3,-0.5,-1,-0.6924835630417236,1.1742030258455376,0.37382867918542795
2013,4,2013-04-01,97.9,7913.71,1.5188619823971017,98.8,-0.8999999999999915,-1,-1.5188619823971017,1.1411798826658424,0.3946952406968436
2013,5,2013-05-01,98.5,8348.84,5.498432467199321,97.9,0.5999999999999943,1,5.498432467199321,1.2589112125154815,0.4713816166298026
2013,6,2013-06-01,97.7,7959.22,-4.666756100248659,98.5,-0.7999999999999972,-1,4.666756100248659,1.3643290893247486,0.40271582527779404
2013,7,2013-07-01,98.9,8275.97,3.979661323597017,97.7,1.2000000000000028,1,3.979661323597017,1.4584213796551593,0.458539164456349
2013,8,2013-08-01,100.4,8103.15,-2.0882144328701058,98.9,1.5,1,-2.0882144328701058,1.4070842695844359,0.4280817391151084
2013,9,2013-09-01,100.9,8594.4,6.062457192573256,100.4,0.5,1,6.062457192573256,1.553012723017157,0.5146585832239174
2013,10,2013-10-01,99.8,9033.92,5.114027738992832,100.9,-1.1000000000000085,-1,-5.114027738992832,1.4224509441820437,0.5921186433210244
2013,11,2013-11-01,101.3,9405.3,4.110950727923202,99.8,1.5,1,4.110950727923202,1.5220367089054778,0.657569856278031
2013,12,2013-12-01,101.7,9552.16,1.5614600278566426,101.3,0.4000000000000057,1,1.5614600278566426,1.5614173040029082,0.6834521470176131
2014,1,2014-01-01,102.7,9306.48,-2.571983718865689,101.7,1.0,1,-2.571983718865689,1.495538067971745,0.6401540318814252
2014,2,2014-02-01,102.8,9692.08,4.143349580077538,102.7,0.09999999999999432,1,4.143349580077538,1.5989369340317272,0.708111347074009
2014,3,2014-03-01,101.8,9555.91,-1.4049615768751411,102.8,-1.0,-1,1.4049615768751411,1.63545099936209,0.6841130389573749
2014,4,2014-04-01,102.0,9603.23,0.4951909341967431,101.8,0.20000000000000284,1,0.4951909341967431,1.6485015137861287,0.692452614047917
2014,5,2014-05-01,100.6,9943.27,3.5408919707223596,102.0,-1.4000000000000057,-1,-3.5408919707223596,1.5547209363400154,0.7523805327670203
2014,6,2014-06-01,100.1,9833.07,-1.1082873139319438,100.6,-0.5,-1,1.1082873139319438,1.5830345843838356,0.7329591216305504
2014,7,2014-07-01,99.8,9407.48,-4.328149804689685,100.1,-0.29999999999999716,-1,4.328149804689685,1.694832190702912,0.6579540547923457
2014,8,2014-08-01,98.0,9470.17,0.666384621598981,99.8,-1.7999999999999972,-1,-0.666384621598981,1.6768742434061688,0.6690024056466586
2014,9,2014-09-01,97.0,9474.3,0.043610621562217844,98.0,-1.0,-1,-0.043610621562217844,1.6757068419101806,0.6697302679696495
2014,10,2014-10-01,95.9,9326.87,-1.5561044087689657,97.0,-1.0999999999999943,-1,1.5561044087689657,1.7173436340428778,0.643747521655224
2014,11,2014-11-01,95.9,9980.85,7.011784232009233,95.9,0.0,-1,-7.011784232009233,1.5268093615815528,0.7590035511926876
2014,12,2014-12-01,98.1,9805.55,-1.756363435979913,95.9,2.1999999999999886,1,-1.756363435979913,1.482429405857817,0.728109055981951
2015,1,2015-01-01,98.9,10694.32,9.06394847815779,98.1,0.8000000000000114,1,9.06394847815779,1.7074355282114082,0.884743970462534
2015,2,2015-02-01,99.5,11401.66,6.614165276520612,98.9,0.5999999999999943,1,6.614165276520612,1.8865097888025497,1.0094040517081826
2015,3,2015-03-01,99.6,11966.17,4.951121152533933,99.5,0.09999999999999432,1,4.951121152533933,2.0294243855259153,1.1088920807521805
2015,4,2015-04-01,100.0,11454.38,-4.276974169680026,99.6,0.4000000000000057,1,-4.276974169680026,1.899856687066984,1.018695311191982
2015,5,2015-05-01,100.2,11413.82,-0.35410035287810615,100.0,0.20000000000000284,1,-0.35410035287810615,1.8895882843051206,1.0115471039715174
2015,6,2015-06-01,100.1,10944.97,-4.107739564843326,100.2,-0.10000000000000853,-1,4.107739564843326,2.008285045520599,0.9289179877162193
2015,7,2015-07-01,98.7,11308.99,3.3259113547136288,100.1,-1.3999999999999915,-1,-3.3259113547136288,1.9082321516094773,0.9930720900927865
2015,8,2015-08-01,100.3,10259.46,-9.280492776101145,98.7,1.5999999999999943,1,-9.280492776101145,1.638333876867109,0.8081051787492373
